year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled
1960,-13.270270270269975,68.3982905982906,0.075,0.3102786324786324,0.63,-1.7533096452127666,285.3,17.179351258276938,-0.333449999999857,41.762
1961,-11.7773826458033,68.21606837606839,0.076,0.313556239316239,0.654,-1.6855578173684194,281.0,17.56345727298458,0.39988571428580144,42.181999999999995
1962,-10.284495021336625,68.03384615384613,0.075,0.31683384615384647,0.6779999999999999,-1.6178059895240438,276.7,17.947563287692333,1.13322142857146,42.591
1963,-8.791607396870404,67.85162393162392,0.061,0.32011145299145305,0.7020000000000001,-1.5500541616796966,272.6,18.331669302399973,1.8665571428571184,43.0
1964,-7.298719772403729,67.66940170940171,0.07200000000000001,0.32338905982905963,0.726,-1.4823023338353494,268.2,18.715775317107727,2.599892857143004,43.413999999999994
1965,-5.805832147937053,67.4871794871795,0.07,0.3266666666666662,0.75,-1.4145505059909738,264.1,19.099881331815368,3.3332285714286627,43.836999999999996
1966,-4.312944523470378,67.30495726495724,0.069,0.3299442735042737,0.784,-1.3467986781466266,259.8,19.483987346523122,4.066564285714321,44.266999999999996
1967,-2.8200568990037027,67.12273504273503,0.057999999999999996,0.33322188034188027,0.818,-1.279046850302251,255.2,19.868093361230763,4.79989999999998,44.7
1968,-1.3271692745374821,66.94051282051282,0.057,0.33649948717948686,0.852,-1.2112950224579038,250.6,20.252199375938517,5.5332357142858655,45.13399999999999
1969,0.1657183499291932,66.75829059829061,0.069,0.3397770940170943,0.8859999999999999,-1.1435431946135282,245.8,20.636305390646157,6.266571428571524,45.573
1970,1.6586059743958685,66.57606837606835,0.081,0.3430547008547009,0.92,-1.075791366769181,241.0,21.02041140535391,6.999907142857182,46.027
1971,3.151493598862544,66.39384615384614,0.083,0.3463323076923075,0.9620000000000001,-1.0080395389248054,236.1,21.404517420061552,7.733242857142841,46.508
1972,4.6443812233287645,66.21162393162393,0.08,0.3496099145299141,1.004,-0.9402877110804582,231.0,21.788623434769192,8.4665785714285,47.019
1973,6.13726884779544,66.02940170940172,0.085,0.35288752136752155,1.046,-0.8725358832360826,225.8,22.172729449476947,9.199914285714385,47.559
1974,7.630156472262115,65.84717948717946,0.09300000000000001,0.35616512820512813,1.088,-0.8047840553917354,220.4,22.556835464184587,9.933250000000044,48.119
1975,9.12304409672879,65.66495726495725,0.09300000000000001,0.3594427350427347,1.13,-0.7370322275473598,214.9,22.94094147889234,10.666585714285702,48.683
1976,10.615931721195011,65.48273504273504,0.128,0.3627203418803422,1.194,-0.6692803997030126,209.5,23.325047493599982,11.39992142857136,49.232
1977,12.108819345661686,65.30051282051284,0.133,0.3659979487179488,1.258,-0.601528571858637,204.3,23.709153508307736,12.133257142857246,49.746
1978,13.601706970128362,65.11829059829057,0.138,0.36927555555555536,1.3219999999999998,-0.5337767440142898,199.1,24.093259523015377,12.866592857142905,50.215
1979,15.094594594595037,64.93606837606836,0.135,0.37255316239316194,1.386,-0.46602491616991415,194.1,24.47736553772313,13.599928571428563,50.635
1980,3,64.75384615384615,0.132,0.3758307692307694,1.45,-0.39827308832556696,189.1,24.86147155243077,14.333264285714222,51.00899999999999
1981,14,64.57162393162395,0.132,0.379108376068376,1.6,-0.33052126048119135,184.2,25.245577567138525,15.066600000000108,51.347
1982,13,64.38940170940168,0.138,0.3823859829059826,1.75,-0.26276943263684416,179.4,25.629683581846166,15.799935714285766,51.668
1983,9,64.20717948717947,0.146,0.38566358974358916,1.9,-0.19501760479246855,174.7,26.013789596553806,16.533271428571425,51.986999999999995
1984,14,64.02495726495727,0.146,0.38894119658119664,2.05,-0.12726577694812136,170.0,26.39789561126156,17.266607142857083,52.309
1985,19,63.84273504273506,0.147,0.3922188034188032,2.2,-0.059513949103745745,165.4,26.7820016259692,17.99994285714297,52.637
1986,24,63.66051282051279,0.129,0.3954964102564098,2.256,0.008237878740601445,161.1,27.166107640676955,18.733278571428627,52.97
1987,28,63.478290598290585,0.136,0.3987740170940173,2.312,0.07598970658497706,156.8,27.550213655384596,19.466614285714286,53.302
1988,48,63.296068376068376,0.15,0.40205162393162386,2.3680000000000003,0.14374153442932425,152.7,27.93431967009235,20.199949999999944,53.628
1989,50,63.11384615384617,0.15,0.40532923076923044,2.424,0.21149336227369986,148.7,28.31842568479999,20.93328571428583,53.949
1990,41,62,0.139,0.408,2.48,0.27924519011804705,144.6,28.44041061,21.66662142857149,54.265
