year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,-13.677361853832736,68.23931623931622,0.129,0.2737829059829062,3400,0.74,6.703495174390895,316.5,5.142031094892445,57.97692307692307,36.095,-5.404838709677506
1961,-11.84982174688048,68.48888888888888,0.149,0.2771237606837609,3588,0.752,9.932555156,308.6,6.2003777862619245,57.62692307692305,36.948,-4.715120967741996
1962,-10.022281639928678,68.73846153846154,0.154,0.28046461538461553,3613,0.764,1.22699449,300.8,7.258724477630949,57.276923076923026,37.78,-4.025403225806485
1963,-8.194741532976877,68.98803418803413,0.155,0.2838054700854702,4039,0.7759999999999999,14.49035586,293.4,8.317071169000428,56.926923076923,38.583,-3.335685483870975
1964,-6.367201426025076,69.23760683760679,0.183,0.28714632478632485,4569,0.7879999999999999,17.61308783,286.1,9.375417860369453,56.57692307692298,39.358000000000004,-2.645967741935465
1965,-4.539661319073275,69.48717948717945,0.271,0.2904871794871795,4278,0.8,6.240588380547251,278.9,10.433764551738477,56.22692307692307,40.115,-1.9562499999999545
1966,-2.712121212121474,69.7367521367521,0.287,0.29382803418803416,4407,0.828,11.57735969,271.8,11.492111243107956,55.87692307692305,40.873000000000005,-1.2665322580644442
1967,-0.8845811051696728,69.98632478632476,0.32,0.2971688888888888,4259,0.856,4.598151785,264.7,12.55045793447698,55.526923076923026,41.647,-0.5768145161291613
1968,0.9429590017825831,70.23589743589741,0.364,0.30050974358974347,4681,0.884,12.54824864,257.6,13.60880462584646,55.176923076923,42.449,0.11290322580634893
1969,2.770499108734384,70.48547008547007,0.414,0.30385059829059813,4647,0.912,9.539218771,250.6,14.667151317215485,54.82692307692298,43.276,0.8026209677418592
1970,4.598039215686185,70.73504273504273,0.465,0.3071914529914528,4893,0.94,10.37503184,243.5,15.725498008584964,54.47692307692307,44.123000000000005,1.4923387096773695
1971,6.4255793226379865,70.98461538461538,0.493,0.31053230769230744,4881,0.9840000000000001,9.456637661,236.0,16.78384469995399,54.12692307692305,44.979,2.1820564516128798
1972,8.253119429589788,71.23418803418798,0.525,0.3138731623931621,4902,1.028,4.236625012,228.2,17.842191391323468,53.776923076923026,45.824,2.87177419354839
1973,10.080659536541589,71.48376068376064,0.534,0.31721401709401675,5050,1.072,5.939197536,219.9,18.900538082692492,53.426923076923,46.64,3.5614919354839003
1974,11.908199643493845,71.73333333333329,0.565,0.3205548717948714,4977,1.1159999999999999,4.327380857,211.3,19.95888477406197,53.07692307692298,47.418,4.251209677419411
1975,13.735739750445646,71.98290598290595,0.604,0.32389572649572607,4773,1.16,8.252886369,202.6,21.017231465430996,52.72692307692307,48.147,4.940927419354921
1976,15.563279857397447,72.2324786324786,0.5720000000000001,0.3272365811965816,5124,1.206,12.91639744,194.2,22.07557815680002,52.37692307692305,48.825,5.630645161290204
1977,17.390819964349248,72.48205128205126,0.5589999999999999,0.33057743589743627,5149,1.252,7.314459155,186.4,23.1339248481695,52.026923076923026,49.456,6.320362903225714
1978,19.21836007130105,72.73162393162391,0.634,0.3339182905982909,5437,1.298,10.90945365,179.3,24.192271539538524,51.676923076923,50.041000000000004,7.010080645161224
1979,21.04590017825285,72.98119658119657,0.6829999999999999,0.3372591452991456,5328,1.344,2.394407464,173.3,25.250618230908003,51.32692307692298,50.57899999999999,7.699798387096735
1980,22.87344028520465,73.23076923076923,0.75,0.34060000000000024,5524,1.39,4.851867999016321,168.2,26.308964922277028,50.97692307692307,51.071999999999996,8.389516129032245
1981,24.700980392156907,73.48034188034183,0.515,0.3439408547008549,5506,1.4340000000000002,3.500498907,164.1,27.367311613646507,50.62692307692305,51.525,9.079233870967755
1982,26.52852049910871,73.72991452991448,0.674,0.34728170940170955,5316,1.4780000000000002,0.20082235199999998,160.6,28.42565830501553,50.276923076923026,51.94,9.768951612903265
1983,28.35606060606051,73.97948717948714,0.513,0.3506225641025642,4924,1.5219999999999998,4.574123922710129,157.8,29.48400499638501,49.926923076923,52.31399999999999,10.458669354838776
1984,19.0,74.22905982905979,0.55,0.35396341880341886,4591,1.5659999999999998,4.481542563941389,155.7,30.542351687754035,49.57692307692298,52.645,11.148387096774286
1985,25.0,74.47863247863245,0.716,0.3573042735042735,4645,1.61,4.501223175,154.1,31.60069837912306,49.22692307692307,52.922,6.8
1986,30.0,74.7282051282051,0.561,0.3606451282051282,4614,1.656,3.259348767,152.9,32.65904507049254,48.87692307692305,53.138999999999996,3.1
1987,31.0,74.97777777777776,0.6970000000000001,0.36398598290598283,4379,1.702,4.203798487635197,152.2,33.71739176186156,48.526923076923026,53.286,6.8
1988,31.0,75.22735042735042,0.8009999999999999,0.3673268376068375,4148,1.7480000000000002,1.136483964,151.9,34.77573845323104,48.176923076923,53.357,10.7
1989,42.0,75.47692307692307,0.72,0.37066769230769214,3979,1.794,2.948004945,152.0,35.83408514460007,47.82692307692298,53.35,13.625
1990,54.0,76,0.41,0.389,3538,1.84,3.9260544113290337,152.3,36.65949249,47.47692307692307,53.254,16.55
1991,39.0,76,0.359,0.3896,3391,1.944,0.040925169,152.5,37.78728104,47.12692307692305,53.062,19.475
1992,49.0,76,0.311,0.3902,3286,2.048,3.7408916937915535,152.8,38.91461563,46.776923076923026,52.778999999999996,22.4
1993,50.0,77,0.392,0.3908,3176,2.1519999999999997,3.648310335022842,152.9,40.03924942,46.426923076923,52.423,21.4667
1994,50.0,77,0.332,0.3914,3067,2.256,0.811206685,152.7,36.5,46.07692307692298,52.013000000000005,20.5333
1995,52.0,77,0.455,0.392,3136,2.36,7.125744724,152.0,42.269569399999995,45.72692307692307,51.568999999999996,19.6
1996,55.0,77,0.522,0.3926,3294,2.454,7.729327422000001,150.9,43.36985016,45.37692307692305,51.108999999999995,21.6667
1997,58.0,77,0.489,0.3932,3393,2.548,3.743553144,149.3,44.45660019,45.026923076923026,50.657,23.7333
1998,58.0,78,0.435,0.3938,3481,2.642,4.930679628,147.3,45.52711487,44.676923076923,50.242,25.8
1999,58.0,78,0.384,0.3944,3448,2.736,1.6175274430000002,145.0,48.2,44.32692307692298,49.891000000000005,25.15
2000,65.0,78,0.40700000000000003,0.395,3292,2.83,3.0002408236417466,142.3,47.61742401,40.7,49.635,24.5
2001,66.0,78,0.45299999999999996,0.3996,3214,2.892,0.121371915,139.1,48.64391708,41.5333,49.495,23.85
2002,64.0,79,0.419,0.4042,3093,2.9539999999999997,2.8150781061042665,135.9,51.4,42.3667,49.475,23.2
