year,dtp3-diphtheriaNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1960,86.15315315315314,4.037,0.684680341880342,5.876015482718344,122.4,100.0,54.81
1961,86.38809862494071,3.505,0.6879801709401709,5.758453895169623,110.1,100.0,55.81
1962,86.62304409672828,4.133,0.6912800000000008,5.640892307620874,98.5,100.0,56.805
1963,86.8579895685159,3.847,0.6945798290598297,5.523330720072124,88.2,100.0,57.756
1964,87.09293504030347,3.475,0.6978796581196587,5.405769132523403,79.7,100.0,58.638000000000005
1965,87.32788051209104,3.222,0.7011794871794876,5.288207544974654,73.0,100.0,59.434
1966,87.56282598387861,4.566,0.7044793162393166,5.170645957425904,68.0,100.0,60.147
1967,87.79777145566618,3.911,0.7077791452991455,5.053084369877183,64.1,100.0,60.803000000000004
1968,88.03271692745375,3.6460000000000004,0.7110789743589745,4.935522782328434,60.7,100.0,61.422
1969,88.26766239924137,3.963,0.7143788034188034,4.817961194779684,57.5,100.0,62.013000000000005
1970,88.50260787102894,63.28,0.7176786324786333,4.700399607230963,54.0,100.0,62.582
1971,88.73755334281651,55.332,0.7209784615384622,4.582838019682214,50.0,100.0,63.13399999999999
1972,88.97249881460408,66.515,0.7242782905982912,4.465276432133493,45.9,100.0,63.67100000000001
1973,89.20744428639165,67.111,0.7275781196581201,4.347714844584743,41.7,100.0,64.196
1974,89.44238975817922,52.736999999999995,0.7308779487179491,4.230153257035994,37.6,100.0,64.709
1975,89.67733522996679,43.793,0.734177777777778,0.355463068,33.8,100.0,65.209
1976,89.91228070175441,35.786,0.737477606837607,20.15539436,30.5,100.0,65.696
1977,90.14722617354198,36.562,0.7407774358974359,10.91669706,27.5,100.0,66.164
1978,90.38217164532955,52.577,0.7440772649572649,6.775834422000001,24.9,100.0,66.61
1979,90.61711711711712,39.594,0.7473770940170947,22.56242876,22.6,100.0,67.031
1980,89,35.473,0.7506769230769237,3.524783731743554,20.7,100.0,67.425
1981,94,7.347,0.7539767521367526,3.407222144194833,19.0,100.0,67.786
1982,99,10.139,0.7572765811965816,3.9566549380000002,17.6,100.0,68.117
1983,85,12.728,0.7605764102564105,0.501465966,16.5,100.0,68.421
1984,96,8.798,0.7638762393162395,0.5998765420000001,15.5,100.0,68.7
1985,88,11.536,0.7671760683760684,2.9369757939998635,14.8,100.0,68.96
1986,86,9.958,0.7704758974358974,2.819414206451114,14.2,100.0,69.208
1987,85,13.972000000000001,0.7737757264957272,2.009129814,13.8,100.0,69.45
1988,89,23.358,0.7770755555555562,1.097367166,13.5,100.0,69.691
1989,91,25.206999999999997,0.7803753846153851,2.466729443804894,13.3,100.0,69.935
1990,93,23.919,0.782,1.089420535,13.3,100,70.185
1991,95,19.942,0.7857,3.145941362,13.3,100,70.439
1992,96,19.017,0.7894,4.758580846,13.2,100,70.696
1993,99,17.604,0.7931,0.304572874,13.1,100,70.95100000000001
1994,99,16.199,0.7968,3.145397395,12.8,100,71.207
1995,99,16.118,0.8005,4.47870734,12.4,100,71.465
1996,99,15.982999999999999,0.8042,2.878317747,12.0,100,71.727
1997,99,16.215999999999998,0.8079,1.5262367434149837,11.5,100,71.994
1998,97,16.509,0.8116,1.4086751558662343,11.1,100,72.265
1999,92,11.982999999999999,0.8153,3.052157142,10.7,100,72.538
2000,99,14.134,0.8190000000000001,2.849421858,10.3,100,72.809
2001,97,13.231,0.8217,2.7440405180000003,10.0,100,73.07600000000001
2002,94,12.597999999999999,0.8244,3.872096967,9.8,100,73.332
2003,92,12.989,0.8271,2.903955477,9.7,100,73.575
2004,92,13.88,0.8298,0.504318253,9.6,100,73.801
2005,94,13.693,0.8325,0.387507208,9.5,100,74.006
2006,97,13.126,0.8352,4.3977196780000005,9.5,100,74.189
2007,99,22.435,0.8379,0.15458181199999999,9.5,100,74.351
2008,98,24.021,0.8406,0.23305928037885337,9.5,100,74.494
2009,99,20.480999999999998,0.8433,0.11549769283010392,9.6,100,74.623
2010,95,21.098000000000003,0.846,2.5989657459999997,9.7,100,74.74
2011,97,24.593000000000004,0.852,3.745318352,9.8,100,74.852
2012,99,24.165,0.86,0.9128416709999999,10.0,100,74.962
2013,99,19.225,0.863,-0.3547486573648655,10.2,100,75.075
2014,99,22.103,0.8640000000000001,-0.47231024491358653,10.4,100,75.193
2015,99,23.279,0.865,-0.589871832462336,10.6,100.0,75.318
2016,99,23.701,0.8694707692307695,-0.7074334200110854,10.8,100.0,75.45
2017,99.54504504504501,19.47865476190475,0.8727705982905984,-0.8249950075598065,11.0,100.0,75.585
2018,99.77999051683264,19.42295804165586,0.8760704273504274,-0.9425565951085559,11.2,100.0,75.722
2019,100.01493598862021,19.367261321406957,0.8793702564102563,-1.0601181826573054,11.4,100.0,78.44684161309169
2020,100.24988146040778,19.311564601158068,0.8826700854700862,-1.1776797702060264,-11.297344632768272,100.0,78.77193237872586
