year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
2008,98,97,1.1638888888888879,16.569000000000003,0.7908,52755,6.249772752,13.6,100.0,73.598
2009,98,97,1.1788888888888884,17.575,0.7969,50272,1.3391333717388534,12.7,100.0,73.75
2010,98,97,1.193888888888889,18.89,0.8029999999999999,51334,5.039493675,11.9,100.0,73.917
2011,98,97,1.2088888888888896,17.688,0.818,54842,9.996857794,11.1,100.0,74.089
2012,98,97,1.2238888888888901,19.404,0.83,56123,5.411444902,10.4,100.0,74.25399999999999
2013,98,97,1.2388888888888907,18.053,0.841,55972,2.6992547210000004,9.7,100.0,74.402
2014,98,97,1.2538888888888877,19.512999999999998,0.845,56462,3.652481701,9.1,100.0,74.533
2015,98,97,1.2688888888888883,19.768,0.847,57326,4.106408869,8.4,100.0,74.65100000000001
2016,98,98.38461538461542,1.2838888888888889,19.655,0.8451938461538475,56987,1.741529998,7.9,100.0,74.76100000000001
2017,106.83783783783792,98.61538461538464,1.2988888888888894,20.384126566416057,0.851229572649574,55426,-0.586008363862561,7.4,100.0,74.874
2018,107.73968705547645,98.84615384615387,1.31388888888889,20.652524155215588,0.8572652991453005,55614,-0.8266510808127236,7.0,100.0,74.998
2019,108.64153627311521,99.0769230769231,1.3288888888888906,20.92092174401523,0.863301025641027,56085,-1.0672937977628862,6.6,100.0,80.84125365283467
2020,109.54338549075396,99.30769230769232,1.3438888888888911,21.18931933281476,0.8693367521367534,58451.965536723146,-1.3079365147131057,-22.209929078014284,100.0,81.37290052600815
