year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1960,55.432432432432506,85.46153846153845,0.443888888888889,0.653,0.5071931623931629,19844,13.130626502297332,150.0490809089597,100.0,45.638000000000005
1961,56.33428165007126,85.69230769230774,0.45888888888888957,0.846,0.5132288888888894,21697,12.88998378534717,147.1780974091762,100.0,46.145
1962,57.23613086770979,85.92307692307696,0.47388888888889014,1.433,0.5192646153846159,23719,12.649341068397007,144.3071139093936,100.0,46.665
1963,58.137980085348545,86.15384615384619,0.4888888888888907,1.537,0.5253003418803424,25160,12.408698351446844,141.436130409611,100.0,47.207
1964,59.0398293029873,86.38461538461542,0.5038888888888913,1.505,0.5313360683760688,26703,12.168055634496625,138.5651469098275,100.0,47.781000000000006
1965,59.94167852062583,86.61538461538464,0.5188888888888883,0.871,0.5373717948717953,29182,11.927412917546462,135.6941634100449,100.0,48.408
1966,60.843527738264584,86.84615384615387,0.5338888888888889,1.278,0.5434075213675218,32558,11.6867702005963,132.8231799102623,100.0,49.107
1967,61.74537695590334,87.0769230769231,0.5488888888888894,4.907,0.5494432478632483,34484,11.446127483646137,129.9521964104788,100.0,49.888000000000005
1968,62.647226173542094,87.30769230769232,0.56388888888889,5.398,0.5554789743589748,36539,11.205484766695974,127.0812129106962,100.0,50.751000000000005
1969,63.54907539118062,87.53846153846155,0.5788888888888906,6.2989999999999995,0.5615147008547012,38255,6.0378865489999995,124.2102294109136,100.0,51.692
1970,64.45092460881938,87.76923076923077,0.5938888888888911,7.752999999999999,0.5675504273504277,40677,58.64733065,121.33924591113009,100.0,52.703
1971,65.35277382645813,88.0,0.6088888888888881,9.795,0.5735861538461542,45222,20.51221675,118.4682624113475,100.0,53.771
1972,66.25462304409666,88.23076923076923,0.6238888888888887,10.993,0.5796218803418807,50670,22.93064025,160.5,100.0,54.872
1973,67.15647226173542,88.46153846153845,0.6388888888888893,14.158,0.5856576068376071,58904,24.17052854,150.2,100.0,55.981
1974,68.05832147937417,88.69230769230774,0.6538888888888899,13.982999999999999,0.5916933333333336,65802,16.22806527,140.7,100.0,57.078
1975,68.96017069701293,88.92307692307696,0.6688888888888904,11.209000000000001,0.5977290598290619,62891,9.520985748044723,131.5,100.0,58.148
1976,69.86201991465146,89.15384615384619,0.683888888888891,12.978,0.6037647863247884,64592,17.8209742,123.2,100.0,59.178999999999995
1977,70.76386913229021,89.38461538461542,0.698888888888888,14.345,0.6098005128205148,69705,7.093359899,115.3,100.0,60.169
1978,71.66571834992897,89.61538461538464,0.7138888888888886,13.254000000000001,0.6158362393162413,68932,8.799057597194235,107.9,100.0,61.11600000000001
1979,72.56756756756772,89.84615384615387,0.7288888888888891,15.035,0.6218719658119678,68524,11.91943156,100.9,100.0,62.016000000000005
1980,41,90.0769230769231,0.7438888888888897,17.378,0.6279076923076943,70522,5.652457601,94.3,100.0,62.863
1981,53,90.30769230769232,0.7588888888888903,16.915,0.6339434188034208,71609,1.943004458,88.0,100.0,63.66
1982,62,90.53846153846155,0.7738888888888908,14.298,0.6399791452991472,68737,7.836486729393528,82.0,100.0,64.411
1983,67,90.76923076923077,0.7888888888888914,13.679,0.6460148717948737,57963,7.595844012443365,76.4,100.0,65.122
1984,76,91.0,0.8038888888888884,12.462,0.6520505982906002,54706,7.3552012954932025,71.1,100.0,65.795
1985,81,91.23076923076923,0.818888888888889,13.08,0.6580863247863267,48275,7.114558578542983,65.9,100.0,66.43
1986,86,91.46153846153845,0.8338888888888896,14.76,0.6641220512820531,43171,17.01274626,61.1,100.0,67.028
1987,89,91.69230769230768,0.8488888888888901,13.118,0.6701577777777796,43246,6.633273144642658,56.5,100.0,67.589
1988,89,91.92307692307696,0.8638888888888907,13.354000000000001,0.6761935042735061,42832,13.10931294,52.2,100.0,68.116
1989,96,92.15384615384619,0.8788888888888913,12.92,0.6822292307692326,42707,6.151987710742333,48.1,100.0,68.611
1990,92,92,0.8938888888888883,11.370999999999999,0.698,47985,15.19342589,44.4,100.0,69.078
1991,91,92,0.9088888888888889,15.862,0.7024,53416,15.00788025,41.0,100.0,69.52199999999999
1992,91,92,0.9238888888888894,16.417,0.7068,53913,3.987540164,37.9,100.0,69.945
1993,94,93,0.93888888888889,17.557000000000002,0.7112,51746,5.189416842941625,35.1,100.0,70.34899999999999
1994,95,93,0.9538888888888906,16.805,0.7156,50752,0.55872019,32.6,100.0,70.733
1995,96,93,0.9688888888888911,12.540999999999999,0.72,49707,0.212091345,30.4,100.0,71.09899999999999
1996,93,94,0.9838888888888881,13.514000000000001,0.7244,49963,2.637424215,28.3,100.0,71.445
1997,92,94,0.9988888888888887,11.077,0.7288,49546,1.1037820520000001,26.5,100.0,71.766
1998,94,94,1.0138888888888893,10.437000000000001,0.7332,50013,2.8933625210000002,24.8,100.0,72.06
1999,93,95,0.9,11.149000000000001,0.7376,47154,3.745560541240593,23.3,100.0,72.327
2000,95,95,0.9,14.288,0.742,48679,5.625416146,22.0,100.0,72.561
2001,97,95,1.1,13.94,0.7481,46872,3.264275107340211,20.7,100.0,72.759
2002,95,96,1.3,14.888,0.7542,44297,3.0236323903900484,19.5,100.0,72.92
2003,95,96,1.1,14.497,0.7603,47857,11.24206139,18.4,100.0,73.051
2004,96,96,1.3,17.027,0.7664,50170,7.958441666000001,17.4,100.0,73.15899999999999
2005,96,97,1.2,16.62,0.7725,51467,5.5738501220000005,16.4,100.0,73.256
2006,96,97,1.0,17.592,0.7786,51454,2.788402224,15.4,100.0,73.355
2007,96,97,1.0,15.343,0.7847,51005,1.847130255,14.5,100.0,73.467
