year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1989,86,95.33695652173913,6.598181818181729,7.742999999999999,0.7684014705882352,6.727329799,24.5,90.49094809530004,69.854
1990,86,95.45652173913044,7.436363636363467,7.607,0.7693088235294117,3.044386576618365,23.5,90.26911926,70.199
1991,92,95.57608695652175,8.274545454545432,6.817,0.7702161764705882,2.9092938241377624,22.4,90.83250427,70.518
1992,92,95.69565217391306,9.11272727272717,6.726,0.7711235294117647,2.774201071657103,21.3,91.39544678,70.807
1993,91,96.0,9.950909090909136,6.269,0.7720308823529409,0.30780693800000003,20.3,91.95567322,71.061
1994,91,96.0,10.789090909090874,6.126,0.7729382352941174,3.148916191,19.4,92.51049042,71.27600000000001
1995,87,96.0,11.627272727272612,5.997000000000001,0.7738455882352939,4.3787513989999995,18.5,93.05719757,71.45100000000001
1996,85,96.0,12.465454545454577,5.885,0.7747529411764704,4.22353068,17.7,93.59307098,71.589
1997,86,96.0,13.303636363636315,4.739,0.7756602941176469,2.06223949,17.0,94.11541748,71.69800000000001
1998,89,96.0,14.141818181818053,5.792000000000001,0.7765676470588234,4.716473825,16.6,94.62153625,71.786
1999,82,96.0,14.980000000000018,5.689,0.7774749999999999,7.144129932,16.3,95.10980988,71.858
2000,99,97.0,24.9,5.606,0.778,4.1492464,16.3,95.58304596,71.914
2001,99,97.0,14.3,5.178999999999999,0.779,2.625627121,16.4,96.065547,71.954
2002,94,97.0,17.0,5.111000000000001,0.78,2.704629513,16.5,96.49997711,71.977
2003,92,97.0,16.1,4.814,0.7809999999999999,1.2881807943702483,16.7,96.95147705,71.986
2004,93,97.0,14.0,5.332999999999999,0.782,0.882884233,16.8,97.40352631,71.988
2005,93,97.0,16.3,5.285,0.7829999999999999,3.39529267,16.8,97.86003113,71.987
2006,95,98.0,19.1,4.9430000000000005,0.784,2.516863841,16.7,98.33274841,71.988
2007,95,98.0,23.7,4.937,0.785,1.446522215,16.5,98.80426025,71.998
2008,93,98.0,21.6,4.273,0.7859999999999999,0.6127170319671791,16.2,99.25509644,72.02199999999999
2009,96,98.0,25.7,4.622,0.787,0.47762427948651975,15.9,99.62670898,72.067
2010,99,98.0,27.4,4.573,0.7879999999999999,1.5470051569999999,15.6,99.86366272,72.14399999999999
2011,98,98.0,25.038181818181783,5.074,0.789,0.611979167,15.2,99.96853638,72.263
2012,98,98.0,25.87636363636352,5.295,0.79,3.08010871,14.9,99.99661255,72.42399999999999
2013,97,98.0,26.714545454545487,7.422000000000001,0.789,0.012554928,14.6,100.0,72.62
2014,96,98.0,27.552727272727225,6.306,0.79,-0.19783948291654951,14.3,100.0,72.847
2015,95,98.0,28.390909090908963,6.513999999999999,0.792,-0.33293223539720884,14.0,101.80277161670006,73.08800000000001
2016,94,98.56521739130434,29.229090909090928,6.518,0.7928999999999999,0.256640575,13.6,102.23784175213848,73.329
2017,104.40540540540542,98.68478260869566,30.067272727272666,3.162381578947361,0.7938073529411764,-0.6031177403584138,13.3,102.6729118875769,73.554
2018,105.30867709815084,98.80434782608697,30.905454545454404,2.8436016333938596,0.7947147058823527,-0.7382104928390731,12.9,103.10798202301544,73.752
2019,106.21194879089626,98.92391304347828,31.74363636363637,2.524821687840358,0.7956220588235292,-0.8733032453196756,12.6,103.54305215845386,74.29349912331969
2020,107.11522048364145,99.04347826086956,32.58181818181811,2.206041742286743,0.7965294117647057,-1.008395997800278,10.611764705882365,103.97812229389228,74.45805926358855
