year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1960,52.91891891891896,91.86956521739131,-17.709090909090946,3.7430000000000003,0.7420882352941174,7.097169151037008,36.37467770852902,77.87391416758464,64.74
1961,53.82219061166438,91.98913043478262,-16.87090909090921,4.7780000000000005,0.7429955882352939,10.66709743,35.94529582515156,78.30898430302307,64.885
1962,54.725462304409575,92.1086956521739,-16.032727272727243,6.029,0.7439029411764704,10.45197189,35.5159139417741,78.7440544384616,65.01100000000001
1963,55.628733997154995,92.22826086956522,-15.194545454545505,5.5760000000000005,0.7448102941176469,10.5240552,35.08653205839664,79.17912457390003,65.12100000000001
1964,56.532005689900416,92.34782608695653,-14.356363636363767,8.078,0.7457176470588234,10.501567199999998,34.65715017501918,79.61419470933845,65.219
1965,57.435277382645836,92.46739130434784,-13.518181818181802,9.425,0.7466249999999999,10.42559649,34.22776829164184,80.04926484477699,65.31
1966,58.338549075391256,92.58695652173913,-12.680000000000064,7.447,0.7475323529411764,9.071928711,33.79838640826438,80.48433498021541,65.402
1967,59.24182076813645,92.70652173913044,-11.841818181818326,11.14,0.7484397058823526,9.598113867,33.36900452488692,80.91940511565383,65.499
1968,60.14509246088187,92.82608695652175,-11.00363636363636,10.276,0.7493470588235291,8.421763563999999,29.5,81.35447525109237,65.607
1969,61.04836415362729,92.94565217391306,-10.165454545454622,10.594000000000001,0.7502544117647056,8.981662578,30.0,81.78954538653079,65.73
1970,61.95163584637271,93.06521739130434,-9.327272727272884,15.175,0.7511617647058821,5.7462416262308125,30.4,82.22461552196921,65.87
1971,62.85490753911813,93.18478260869566,-8.489090909090919,38.709,0.7520691176470586,1.6265087409999999,30.9,82.65968565740775,66.031
1972,63.75817923186355,93.30434782608697,-7.650909090909181,36.494,0.7529764705882351,5.476056121269551,31.3,83.09475579284617,66.209
1973,64.66145092460874,93.42391304347828,-6.812727272727443,43.364,0.7538838235294116,7.567568823999999,31.5,83.52982592828471,66.39699999999999
1974,65.56472261735416,93.54347826086956,-5.974545454545478,39.871,0.7547911764705881,5.205870616308289,31.6,83.96489606372313,66.593
1975,66.46799431009958,93.66304347826087,-5.13636363636374,43.678000000000004,0.7556985294117644,5.070777863827686,31.5,84.39996619916155,66.785
1976,67.371266002845,93.78260869565219,-4.298181818182002,33.489000000000004,0.7566058823529409,5.185184972,31.3,84.83503633460009,66.962
1977,68.27453769559042,93.90217391304347,-3.4600000000000364,49.262,0.7575132352941174,9.154929219,30.9,85.27010647003851,67.118
1978,69.17780938833562,94.02173913043478,-2.6218181818182984,32.751999999999995,0.7584205882352939,14.17952014,30.4,85.70517660547694,67.253
1979,70.08108108108104,94.1413043478261,-1.783636363636333,33.586999999999996,0.7593279411764704,26.13929577,30.0,86.14024674091547,67.372
1980,36,94.2608695652174,-0.9454545454545951,37.881,0.7602352941176469,6.495281921,29.5,86.5753168763539,67.488
1981,55,94.38043478260869,-0.10727272727285708,12.999,0.7611426470588234,4.260221348943958,29.0,87.01038701179232,67.615
1982,69,94.5,0.7309090909091083,10.26,0.7620499999999999,6.698897756,28.7,87.44545714723085,67.76899999999999
1983,65,94.61956521739131,1.5690909090908463,8.97,0.7629573529411764,3.5970518680000003,28.4,87.88052728266928,67.962
1984,69,94.73913043478262,2.4072727272725842,8.043,0.7638647058823527,14.17114862,28.1,88.3155974181077,68.196
1985,86,94.8586956521739,3.2454545454545496,6.434,0.7647720588235292,4.829180114,27.8,88.75066755354624,68.47399999999999
1986,85,94.97826086956522,4.083636363636288,5.896,0.7656794117647057,1.7970002269999998,27.3,89.18573768898466,68.793
1987,85,95.09782608695653,4.9218181818180256,5.834,0.7665867647058822,2.984519345,26.5,89.62080782442308,69.139
1988,85,95.21739130434784,5.759999999999991,6.22,0.7674941176470587,2.309707661,25.6,90.05587795986162,69.49600000000001
