year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,99.52840909090907,41.47350427350375,6.158333333333331,2.8689999999999998,0.5285948717948727,6703,3.64,-8.861236968206128,4.947935290796067,87.2,100.0,65.64243902,22.624242424242425
1961,99.42045454545453,42.57367521367496,6.071547619047607,2.967,0.5336297435897439,7094,3.71,-8.612190975774354,6.11101648786007,80.0,100.0,66.41587805,22.184848484848544
1962,99.31249999999997,43.673846153845716,5.9847619047619105,3.373,0.5386646153846169,7298,3.78,-8.363144983342522,7.274097684923618,70.4,100.0,67.02907317,21.74545454545455
1963,99.20454545454544,44.774017094016926,5.897976190476186,3.645,0.543699487179488,7768,3.85,-8.114098990910747,8.43717888198762,61.3,100.0,67.44107317,21.30606060606067
1964,99.09659090909088,45.87418803418768,5.811190476190461,3.752,0.5487343589743592,8210,3.92,-7.865052998478916,9.600260079051168,54.8,100.0,67.65043902,20.866666666666674
1965,98.98863636363635,46.97435897435844,5.724404761904765,4.059,0.5537692307692321,8675,3.99,-7.616007006047141,10.76334127611517,52.8,100.0,67.69785366,20.427272727272793
1966,98.88068181818178,48.07452991452965,5.63761904761904,4.295,0.5588041025641033,9609,4.1339999999999995,-7.3669610136153665,11.926422473178718,56.7,100.0,67.65946341,19.9878787878788
1967,98.77272727272725,49.174700854700404,5.5508333333333155,4.647,0.5638389743589745,9973,4.2780000000000005,-7.117915021183535,13.08950367024272,63.8,100.0,67.62690244,19.548484848484918
1968,98.66477272727269,50.274871794871615,5.464047619047619,4.992,0.5688738461538474,9959,4.422,-6.86886902875176,14.252584867306723,67.0,100.0,67.67124390000001,19.109090909090924
1969,98.55681818181816,51.37504273504237,5.377261904761895,5.494,0.5739087179487186,10267,4.566,-6.6198230363199855,15.41566606437027,62.4,100.0,67.81492683,18.669696969697043
1970,98.44886363636363,52.475213675213126,5.29047619047617,5.84,0.5789435897435897,10372,4.71,-6.370777043888154,16.578747261434273,55.2,100.0,68.05641463,18.230303030303048
1971,98.34090909090907,53.57538461538434,5.203690476190474,6.0489999999999995,0.5839784615384627,11711,4.862,-6.121731051456379,17.74182845849782,50.0,100.0,68.50414634,17.790909090909167
1972,98.23295454545453,54.67555555555509,5.116904761904749,6.297000000000001,0.5890133333333338,12348,5.013999999999999,-5.8726850590246045,18.904909655561823,47.1,100.0,68.4702439,17.351515151515173
1973,98.12499999999997,55.7757264957263,5.030119047619053,6.821000000000001,0.5940482051282068,12640,5.166,-5.623639066592773,20.06799085262537,45.3,100.0,69.00560976,16.912121212121292
1974,98.01704545454544,56.87589743589706,4.943333333333328,7.031000000000001,0.5990830769230779,13223,5.318,-5.374593074160998,21.231072049689374,44.0,100.0,69.4997561,16.472727272727298
1975,97.90909090909088,57.976068376067815,4.856547619047603,7.483,0.6041179487179491,13675,5.47,-5.1255470817292235,22.394153246753376,42.5,100.0,69.61390244,16.033333333333417
1976,97.80113636363635,59.076239316239025,4.769761904761907,7.982,0.609152820512822,14240,5.5760000000000005,-4.876501089297392,23.557234443816924,40.7,100.0,69.69878049,15.593939393939422
1977,97.69318181818178,60.17641025640978,4.682976190476182,8.072000000000001,0.6141876923076932,14421,5.682,-4.627455096865617,24.720315640880926,38.8,100.0,69.74195122,15.154545454545541
1978,97.58522727272725,61.27658119658099,4.596190476190458,8.696,0.6192225641025644,14772,5.787999999999999,-4.3784091044338425,25.883396837944474,37.4,100.0,69.4804878,14.715151515151547
1979,97.47727272727269,62.37675213675175,4.5094047619047615,8.724,0.6242574358974373,15082,5.894,-4.129363112002011,27.046478035008477,36.7,100.0,69.15317073,14.275757575757666
1980,97.36931818181816,63.47692307692296,4.422619047619037,8.687999999999999,0.6292923076923085,15035,6.0,-3.880317119570236,28.209559232072024,35.9,100.0,69.09097561,13.836363636363672
1981,97.26136363636363,64.57709401709371,4.335833333333312,8.707,0.6343271794871796,14858,6.074,-3.6312711271384615,29.372640429136027,34.5,100.0,69.36829268,13.39696969696979
