year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,200.61230769230679,101.47374364765668,21.487500000000068,6.331,0.6041025641025639,11573.81801125704,-13.164384606620729,-17.55867647058858,36.44714285714281,77.95090757756918,96.37165952380974,68.29953659,14.221857575757667
1961,197.90384615384482,101.37831733483907,21.17102941176472,6.4479999999999995,0.6065128205128207,11502.445403377118,-12.883308101298098,-15.815882352941117,35.9580408163265,78.39289828024619,94.61451190476191,68.76385366,13.940472380952428
1962,195.19538461538377,101.28289102202146,20.854558823529487,6.683,0.6089230769230767,11431.072795497195,-12.602231595975354,-14.073088235294108,35.468938775510196,78.83488898292308,92.85736428571454,69.14609756,13.659087186147303
1963,192.4869230769218,101.18746470920382,20.53808823529414,7.08,0.6113333333333335,11359.700187617273,-12.321155090652724,-12.3302941176471,34.97983673469378,79.27687968559997,91.10021666666671,69.45770732,13.377701991342065
1964,189.77846153846076,101.09203839638622,20.221617647058906,7.444,0.6137435897435894,11288.32757973732,-12.040078585330093,-10.587500000000091,34.49073469387747,79.71887038827686,89.34306904761934,69.70821951,13.096316796536826
1965,187.0699999999988,100.9966120835686,19.90514705882356,7.815,0.6161538461538463,11216.954971857398,-11.759002080007463,-8.844705882353082,34.001632653061165,80.16086109095386,87.58592142857151,69.90563415,12.8149316017317
1966,184.36153846153775,100.90118577075097,19.58867647058821,8.177,0.6185641025641022,11145.582363977475,-11.477925574684718,-7.101911764706074,33.51253061224486,80.60285179363075,85.82877380952368,70.05653659,12.533546406926462
1967,181.6530769230758,100.80575945793336,19.272205882352978,8.48,0.620974358974359,11074.209756097553,-11.196849069362088,-5.359117647059065,33.02342857142855,81.04484249630764,84.07162619047631,70.16112195,12.252161212121337
1968,178.94461538461474,100.71033314511575,18.95573529411763,8.652999999999999,0.6233846153846159,11002.83714821763,-10.915772564039457,-3.616323529412057,32.53432653061225,81.48683319898464,82.31447857142848,70.22307317,11.970776017316098
1969,176.23615384615277,100.61490683229812,18.639264705882397,8.947000000000001,0.6257948717948718,10931.464540337707,-10.634696058716827,-1.8735294117650483,32.04522448979583,81.92882390166153,80.55733095238111,70.24756098,11.689390822510859
1970,173.52769230769172,100.51948051948051,18.32279411764705,9.342,0.6282051282051286,10860.091932457784,-10.353619553394083,-0.130735294117585,31.556122448979522,82.37081460433842,78.80018333333328,70.23521951,11.408005627705734
1971,170.81923076922976,100.4240542066629,18.006323529411816,9.843,0.6306153846153846,10788.719324577862,-10.072543048071452,1.6120588235294235,33.8,82.81280530701531,77.0430357142859,70.18263415,11.126620432900495
1972,168.1107692307687,100.32862789384527,17.68985294117647,10.282,0.6330256410256414,10717.346716697939,-9.791466542748822,3.354852941176432,32.7,83.25479600969231,75.28588809523808,70.09085366,10.84523523809537
1973,165.40230769230675,100.23320158102766,17.373382352941235,10.642000000000001,0.6354358974358973,10645.974108818016,-9.510390037426191,5.097647058823441,31.6,83.6967867123692,73.5287404761907,69.96292683,10.563850043290131
1974,162.6938461538457,100.13777526821005,17.056911764705887,10.974,0.6378461538461542,10574.601500938094,-9.229313532103447,6.840441176470449,30.6,84.13877741504609,71.77159285714288,69.80885366,10.282464848484892
1975,159.98538461538374,100.04234895539241,16.740441176470654,11.466,0.6402564102564101,10503.22889305817,-8.948237026780816,8.583235294117458,29.8,84.5807681177231,70.0144452380955,69.63463415,10.001079653679767
1976,157.27692307692178,99.9469226425748,16.423970588235306,11.841,0.6426666666666669,10431.856285178248,-8.667160521458186,10.326029411764466,29.1,85.02275882039999,68.25729761904768,69.44617073,9.719694458874528
1977,154.56846153846072,99.8514963297572,16.107500000000073,12.181,0.6450769230769229,10360.483677298296,-8.386084016135442,12.068823529411475,28.6,85.46474952307688,66.50014999999985,69.25343902,9.43830926406929
1978,151.85999999999876,99.75607001693956,15.791029411764725,12.54,0.6474871794871797,10289.111069418374,-8.105007510812811,13.811617647058483,28.0,85.90674022575388,64.74300238095248,69.07090244,9.156924069264164
1979,149.1515384615377,99.66064370412195,15.474558823529492,12.588,0.6498974358974356,10217.73846153845,-7.823931005490181,15.554411764705947,27.5,86.34873092843077,62.98585476190465,68.91512195,8.875538874458925
1980,146.44307692307575,99.56521739130434,15.158088235294144,13.027000000000001,0.6523076923076925,10323.0,-7.54285450016755,17.297205882352955,26.8,86.79072163110766,61.228707142857274,68.81782927,8.5941536796538
