year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,34.9549549549547,100.0,1.5530000000000002,0.5906735042735054,4880,4.28,14.555201719534466,107.30976480186484,32.6154081632651,100.0,69.618,0.09999999999999999
1961,36.333096254148586,100.0,1.492,0.5957336752136762,5369,4.328,14.281101606731681,106.86524312354322,32.015551020407884,100.0,69.949,0.09999999999999999
1962,37.71123755334247,100.0,1.575,0.6007938461538469,5879,4.376,14.007001493928897,106.42072144522149,31.415693877550893,100.0,70.27199999999999,0.09999999999999999
1963,39.08937885253681,100.0,1.713,0.6058540170940176,6175,4.4239999999999995,13.732901381126112,105.97619976689987,30.815836734693676,100.0,70.587,0.09999999999999999
1964,40.467520151730696,100.0,1.7280000000000002,0.6109141880341884,5545,4.4719999999999995,13.458801268323327,105.53167808857813,30.215979591836458,100.0,70.895,0.09999999999999999
1965,41.84566145092458,100.0,1.979,0.6159743589743591,6736,4.52,13.184701155520543,105.08715641025651,29.616122448979468,100.0,71.197,0.09999999999999999
1966,43.223802750118466,100.0,2.119,0.6210345299145299,7096,4.55,12.910601042717758,104.64263473193478,29.01626530612225,100.0,71.491,0.09999999999999999
1967,44.60194404931235,100.0,2.3,0.6260947008547006,8003,4.58,12.636500929914973,104.19811305361316,28.416408163265032,100.0,71.77600000000001,0.09999999999999999
1968,45.980085348506236,100.0,2.707,0.6311548717948714,8303,4.61,12.362400817112189,103.75359137529142,27.816551020408042,100.0,72.05199999999999,0.09999999999999999
1969,47.35822664770012,100.0,2.755,0.6362150427350439,9000,4.64,12.088300704309404,103.3090696969698,27.216693877550824,100.0,72.318,0.09999999999999999
1970,48.736367946894006,100.0,2.77,0.6412752136752147,9200,4.67,11.81420059150662,102.86454801864807,26.616836734693607,100.0,72.57600000000001,0.09999999999999999
1971,50.11450924608789,100.0,3.028,0.6463353846153854,10306,4.712,11.540100478703835,102.42002634032644,38.2,100.0,72.825,0.09999999999999999
1972,51.492650545281776,100.0,3.822,0.6513955555555562,10903,4.754,11.26600036590105,101.97550466200471,35.4,100.0,73.067,0.09999999999999999
1973,52.870791844476116,100.0,3.9360000000000004,0.6564557264957269,11047,4.796,10.991900253098265,101.53098298368309,33.0,100.0,73.30199999999999,0.09999999999999999
1974,54.24893314367,100.0,2.989,0.6615158974358977,9081,4.838,10.71780014029548,101.08646130536135,30.4,100.0,73.53,0.09999999999999999
1975,55.627074442863886,100.0,3.0469999999999997,0.6665760683760684,7719,4.88,10.443700027492696,100.64193962703973,27.6,100.0,73.753,0.09999999999999999
1976,57.00521574205777,100.0,3.741,0.6716362393162392,9287,4.918,20.26629219,100.197417948718,24.9,100.0,73.971,0.09999999999999999
1977,58.38335704125166,100.0,4.012,0.6766964102564099,10756,4.956,16.36200095,99.75289627039638,22.5,100.0,74.183,0.09999999999999999
1978,59.76149834044554,100.0,4.1739999999999995,0.6817565811965824,11528,4.994,7.777403359,99.30837459207464,20.7,100.0,74.39,0.09999999999999999
1979,61.13963963963943,100.0,4.412,0.6868167521367532,12580,5.032,9.905569384,98.86385291375302,19.5,100.0,74.592,0.09999999999999999
1980,34,100.0,4.683,0.6918769230769239,13196,5.07,5.753244701,98.41933123543129,18.8,100.0,74.79,0.09999999999999999
1981,56,100.0,4.4110000000000005,0.6969370940170947,13447,5.142,2.516998441,97.97480955710967,18.2,100.0,74.983,0.09999999999999999
1982,26,100.0,4.482,0.7019972649572654,14146,5.2139999999999995,6.021708985,97.53028787878793,17.4,100.0,75.173,0.09999999999999999
1983,34,100.0,4.466,0.7070574358974362,14722,5.2860000000000005,5.582181702000001,97.08576620046631,16.2,100.0,75.358,0.09999999999999999
