year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled
1960,-32.943850267379275,-46.15555555555602,12.109090909090924,0.04,0.058804615384616454,771,1.06,9.594176262889334,279.92751866491017,-66.62436626446924,201.02074592074587,41.242
1961,-30.617981283422523,-43.95008547008547,11.917272727272746,0.049,0.06805846153846318,743,1.11,9.550644438391316,275.2646728151085,-64.56239379423278,197.5242424242424,41.36600000000001
1962,-28.29211229946486,-41.74461538461583,11.725454545454568,0.051,0.0773123076923099,782,1.16,9.507112613893284,270.601826965305,-62.50042132399631,194.02773892773894,41.526
1963,-25.96624331550811,-39.539145299145275,11.53363636363639,0.063,0.08656615384615662,818,1.21,9.463580789395266,265.93898111550334,-60.43844885375984,190.53123543123547,41.71
1964,-23.640374331550447,-37.33367521367563,11.341818181818212,0.054000000000000006,0.09582000000000335,775,1.26,9.420048964897234,261.27613526570167,-58.37647638352337,187.034731934732,41.893
1965,-21.314505347593695,-35.12820512820508,11.150000000000034,0.062,0.10507384615384652,790,1.31,9.376517140399216,256.6132894158982,-56.314503913286444,183.53822843822854,42.083
1966,-18.988636363636033,-32.92273504273544,10.958181818181856,0.071,0.11432769230769324,804,1.37,9.332985315901198,251.9504435660965,-54.252531443049975,180.04172494172508,42.298
1967,-16.66276737967928,-30.717264957264888,10.766363636363678,0.063,0.12358153846153996,824,1.43,9.289453491403165,247.28759771629302,-52.190558972813506,176.5452214452216,42.486000000000004
1968,-14.336898395721619,-28.511794871795246,10.5745454545455,0.07200000000000001,0.1328353846153867,839,1.49,9.245921666905147,242.62475186649135,-50.128586502577036,173.04871794871815,42.55
1969,-12.011029411764866,-26.306324786324694,10.382727272727323,0.195,0.1420892307692334,830,1.55,9.202389842407115,237.96190601668968,-48.06661403234057,169.55221445221468,42.369
1970,-9.685160427807205,-24.100854700855052,10.190909090909145,0.16699999999999998,0.15134307692308013,744,1.61,9.158858017909097,233.2990601668862,-46.0046415621041,166.05571095571122,41.566
1971,-7.359291443850452,-21.8953846153845,9.99909090909091,0.035,0.1605969230769233,707,1.6740000000000002,9.115326193411079,228.63621431708452,-43.94266909186763,162.55920745920776,39.699
1972,-5.03342245989279,-19.68991452991486,9.807272727272732,0.016,0.16985076923077003,663,1.7380000000000002,9.071794368913046,223.97336846728103,-41.88069662163116,159.0627039627043,36.676
1973,-2.7075534759351285,-17.484444444444307,9.615454545454554,0.017,0.17910461538461675,893,1.8019999999999998,9.028262544415028,219.31052261747936,-39.81872415139469,155.56620046619992,32.667
1974,-0.3816844919783762,-15.278974358974665,9.423636363636376,0.009000000000000001,0.18835846153846347,756,1.8659999999999999,8.984730719916996,214.6476767676777,-37.756751681157766,152.06969696969645,28.04
1975,1.9441844919792857,-13.073504273505023,9.231818181818198,0.009000000000000001,0.1976123076923102,666,1.93,8.941198895418978,307.8,-35.6947792109213,148.573193473193,23.595
1976,4.270053475936038,-10.868034188034471,9.04000000000002,0.009000000000000001,0.20686615384615692,740,1.99,8.89766707092096,284.3,-33.63280674068483,145.07668997668952,20.317
1977,6.5959224598937,-8.66256410256483,8.848181818181843,0.01,0.2161200000000001,825,2.05,8.854135246422928,260.2,-31.57083427044836,141.58018648018606,18.907
1978,8.921791443850452,-6.457094017094278,8.656363636363665,0.006999999999999999,0.2253738461538468,931,2.11,8.81060342192491,233.6,-29.50886180021189,138.0836829836826,19.725
1979,11.247660427808114,-4.251623931624636,8.464545454545487,0.004,0.23462769230769354,955,2.17,8.767071597426877,206.1,-27.44688932997542,134.58717948717913,22.744
1980,13.573529411764866,-2.046153846154084,8.272727272727309,0.043,0.24388153846154026,952,2.23,8.72353977292886,180.0,-25.38491685973895,131.09067599067566,27.535999999999998
1981,15.899398395722528,0.15931623931555805,8.080909090909131,0.044000000000000004,0.253135384615387,937,2.2680000000000002,8.680007948430841,157.3,-23.32294438950248,127.5941724941722,33.342
1982,18.22526737967928,2.3647863247861096,7.889090909090953,0.049,0.2623892307692337,980,2.306,8.636476123932809,139.9,-21.260971919266012,124.09766899766873,39.157
1983,20.551136363636942,4.570256410255752,7.697272727272775,0.052000000000000005,0.27164307692308043,1018,2.344,8.59294429943479,129.0,-19.19899944902909,120.60116550116527,44.173
1984,17.0,6.775726495726303,7.505454545454597,0.055,0.2808969230769236,1064,2.3819999999999997,8.549412474936759,122.9,-17.13702697879262,117.1046620046618,48.025
1985,23.0,8.981196581195945,7.313636363636363,0.054000000000000006,0.2901507692307703,1110,2.42,8.50588065043874,119.6,-15.07505450855615,113.60815850815834,50.563
1986,37.0,11.186666666666497,7.121818181818185,0.054000000000000006,0.29940461538461705,1138,2.468,8.462348825940722,117.6,-13.01308203831968,110.11165501165488,51.916000000000004
1987,37.0,13.392136752136139,6.930000000000007,0.054000000000000006,0.30865846153846377,1075,2.516,8.41881700144269,116.6,-10.951109568082757,106.61515151515141,52.586999999999996
1988,45.0,15.59760683760669,6.738181818181829,0.053,0.3179123076923105,1063,2.5639999999999996,8.375285176944672,116.1,-8.889137097846287,103.11864801864795,52.998999999999995
1989,47.0,17.803076923076333,6.546363636363651,0.052000000000000005,0.3271661538461572,1050,2.612,8.33175335244664,116.0,-6.827164627609818,99.62214452214448,53.302
1990,38.0,23,6.354545454545473,0.14,0.3364200000000004,1013,2.66,8.288221527948622,115.9,-4.765192157373349,96.12564102564102,53.595
1991,38.0,24,6.162727272727295,0.14,0.3625,1052,2.698,8.244689703450604,115.9,0.103671074,92.62913752913755,53.916000000000004
