year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled
1992,32.0,24,5.970909090909117,0.14,0.368,1078,2.736,8.201157878952571,116.2,0.47017082600000004,89.13263403263409,54.228
1993,35.0,26,5.7790909090909395,0.138,0.3735,1070,2.7739999999999996,8.157626054454553,117.0,0.554133475,85.63613053613062,54.513999999999996
1994,37.0,28,5.587272727272762,0.14300000000000002,0.379,1121,2.812,9.099464507999999,118.0,2.740148067,82.13962703962716,54.82
1995,39.0,30,3.6,0.145,0.3845,1161,2.85,6.442902796,119.1,4.918045521,78.64312354312369,55.18899999999999
1996,43.0,33,4.7,0.14800000000000002,0.39,1202,2.8960000000000004,5.412339379,119.8,7.085119724,75.14662004662023,55.653
1997,46.0,35,6.8,0.136,0.3955,1225,2.9419999999999997,5.619792925,119.6,9.238664627,71.65011655011676,56.211999999999996
1998,47.0,37,6.6,0.168,0.401,1259,2.988,5.00903275,117.6,18.67,68.1536130536133,56.861999999999995
1999,53.0,39,4.8,0.159,0.4065,1394,3.034,11.90975793,113.5,13.49544525,64.65710955710983,57.604
2000,59.0,42,4.6,0.162,0.41200000000000003,1503,3.08,8.767471484,106.3,16.6,61.16060606060637,58.431999999999995
2001,60.0,44,3.2,0.18100000000000002,0.4241,1607,3.148,8.148386098,96.7,17.693159100000003,52.3,59.335
2002,54.0,46,3.3,0.175,0.4362,1687,3.216,6.578939502000001,86.7,19.779199600000002,51.1667,60.283
2003,69.0,48,3.9,0.185,0.4483,1804,3.284,8.505895557,77.9,19.3,50.0333,61.24100000000001
2004,85.0,51,3.9,0.187,0.4604,1962,3.352,10.34052878,70.8,23.94514465,48.9,62.18600000000001
2005,82.0,53,3.4,0.209,0.4725,2190,3.42,13.25008691,64.8,20.5,46.02,63.088
2006,80.0,55,3.28545454545457,0.223,0.4846,2390,3.502,10.77108367,59.9,28.12889481,43.14,63.927
2007,82.0,57,3.093636363636392,0.253,0.4967,2592,3.5839999999999996,10.21257391,55.6,30.23625374,40.26,64.697
2008,91.0,60,2.9018181818182143,0.28,0.5088,2718,3.6660000000000004,6.691577475,51.5,26.4,37.38,65.39399999999999
2009,94.0,62,2.7100000000000364,0.33,0.5209,2673,3.748,0.086696959,47.7,34.48071671,34.5,66.014
2010,89.0,64,2.5181818181818585,0.35,0.5329999999999999,2784,3.83,5.963078575,44.0,31.1,26.8333,66.56
2011,88.0,67,2.3263636363636806,0.358,0.54,2930,3.898,7.0695699460000005,40.6,38.75318146,19.1667,67.043
2012,86.0,69,2.1345454545455027,0.369,0.546,3092,3.966,7.313345505,37.7,40.89553833,11.5,67.48
2013,83.0,71,1.942727272727268,0.373,0.5529999999999999,3264,4.034,7.4279000989999995,35.3,43.03964233,15.706060606060419,67.888
2014,88.0,73,1.75090909090909,0.43700000000000006,0.5579999999999999,3440,4.102,7.071525352,33.3,56.1,12.209557109556954,68.273
2015,89.0,76,1.5590909090909122,0.45799999999999996,0.563,3623,4.17,7.036087179,31.6,46.78411959853929,8.71305361305349,68.637
2016,90.0,77.35076923076849,1.3672727272727343,0.48,0.577020000000001,3812,4.224,6.882578402,30.1,48.84609206877576,5.2165501165500245,68.977
2017,99.63068181818198,79.55623931623904,1.1754545454545564,0.32024060150376066,0.5862738461538477,4016,4.2780000000000005,7.112862266501978,28.8,50.90806453901223,1.7200466200465598,69.289
2018,101.95655080213965,81.76170940170869,0.9836363636363785,0.32645579465906316,0.5955276923076944,4243,4.332,7.0693304420039595,27.6,52.9700370092487,-1.7764568764569049,69.57
2019,104.2824197860964,83.96717948717924,0.7918181818182006,0.3326709878143639,0.6047815384615411,4474,4.386,7.0257986175059415,26.6,55.03200947948517,-5.27296037296037,70.61913150204578
2020,106.60828877005406,86.17264957264888,0.6000000000000227,0.3388861809696664,0.6140353846153879,3156.553672316397,4.44,6.982266793007909,0.15676767676814052,57.09398194972164,-8.769463869463834,71.30758503798961
