year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,76.59459459459458,97.02564102564102,-0.2750000000000057,0.273,0.41204444444444555,2.66,4.554149746978143,104.3,98.48652650816925,58.74521951,-0.3665499999999966
1961,76.9914651493599,97.08205128205128,-0.20397058823530756,0.28,0.4187329914529929,2.752,4.554232099136962,98.7,98.49977219454618,59.74836585,-0.3498857142857048
1962,77.3883357041251,97.13846153846153,-0.132941176470581,0.358,0.4254215384615403,2.844,4.554314451295779,92.5,98.5130178809231,60.62690244,-0.3332214285714201
1963,77.78520625889041,97.19487179487179,-0.06191176470588289,0.293,0.43211008547008767,2.9360000000000004,4.554396803454598,87.1,98.52626356730002,61.35765854,-0.31655714285713543
1964,78.18207681365573,97.25128205128205,0.009117647058815237,0.42100000000000004,0.43879863247863327,3.028,4.554479155613415,84.0,98.53950925367694,61.93495122,-0.29989285714285074
1965,78.57894736842104,97.3076923076923,0.08014705882354178,0.39799999999999996,0.44548717948718064,3.12,4.554561507772233,84.8,98.55275494005387,62.35829268,-0.28322857142856606
1966,78.97581792318624,97.36410256410255,0.1511764705882399,0.35100000000000003,0.452175726495728,3.208,4.554643859931051,90.9,98.56600062643079,62.63870732,-0.26656428571428137
1967,79.37268847795156,97.42051282051281,0.22220588235293803,0.637,0.4588642735042754,3.2960000000000003,4.554726212089869,98.0,98.57924631280771,62.81531707,-0.24989999999999668
1968,79.76955903271687,97.47692307692307,0.29323529411763616,0.8009999999999999,0.46555282051282276,3.384,4.554808564248687,97.5,98.59249199918463,62.93168293,-0.2332357142857049
1969,80.16642958748218,97.53333333333333,0.3642647058823627,0.701,0.47224136752136836,3.472,4.554890916407505,87.5,98.60573768556156,63.02019512,-0.2165714285714202
1970,80.5633001422475,97.58974358974359,0.43529411764706083,0.605,0.47892991452991573,3.56,4.554973268566323,78.4,98.61898337193848,63.11804878,-0.1999071428571355
1971,80.9601706970127,97.64615384615384,0.506323529411759,0.47600000000000003,0.4856184615384631,3.556,4.555055620725141,77.7,98.6322290583154,63.25334146,-0.18324285714285082
1972,81.35704125177801,97.7025641025641,0.5773529411764571,0.809,0.4923070085470105,3.552,4.555137972883959,81.8,98.64547474469234,63.43995122,-0.16657857142856614
1973,81.75391180654333,97.75897435897436,0.6483823529411836,0.7859999999999999,0.49899555555555786,3.548,4.555220325042777,81.8,98.65872043106926,63.68553659,-0.14991428571428145
1974,82.15078236130864,97.81538461538462,0.7194117647058818,0.7859999999999999,0.5056841025641035,3.5439999999999996,4.555302677201595,73.6,98.67196611744617,63.99997561,-0.13324999999999676
1975,82.54765291607396,97.87179487179486,0.7904411764705799,0.6609999999999999,0.5123726495726508,3.54,4.555385029360413,63.1,98.6852118038231,64.39053659,-0.11658571428570497
1976,82.94452347083916,97.92820512820512,0.861470588235278,0.684,0.5190611965811982,3.552,4.5554673815192315,55.3,98.69845749020001,64.85563415,-0.09992142857142028
1977,83.34139402560447,97.98461538461538,0.9325000000000045,0.6940000000000001,0.5257497435897456,3.5639999999999996,6.547619052999999,50.3,98.71170317657695,65.37243902,-0.08325714285713559
1978,83.73826458036979,98.04102564102564,1.0035294117647027,0.672,0.532438290598293,3.576,3.830806085,46.7,98.72494886295387,65.91331707,-0.0665928571428509
1979,84.1351351351351,98.09743589743589,1.0745588235294008,0.693,0.5391268376068385,3.588,3.5165257469999998,43.9,98.73819454933079,66.45578049,-0.049928571428566215
1980,89,98.15384615384615,1.1455882352941273,0.611,0.5458153846153859,3.6,4.555796790154504,41.0,98.75144023570772,66.96539024,-0.03326428571428153
1981,82,98.2102564102564,1.2166176470588255,0.552,0.5525039316239333,3.648,5.882352901,37.4,98.76468592208464,67.40739024,-0.01659999999999684
1982,94,98.26666666666667,1.2876470588235236,0.506,0.5591924786324807,3.696,5.497075927000001,33.8,98.77793160846156,67.76536585,6.428571429495378e-05
1983,89,98.32307692307691,1.3586764705882217,0.601,0.565881025641028,3.7439999999999998,0.38379531100000003,31.1,98.79117729483849,68.03760976,0.01672857142857964
1984,85,98.37948717948717,1.4297058823529483,0.625,0.5725695726495736,3.792,4.698385727,29.5,98.80442298121541,68.23036585,0.03339285714286433
1985,88,98.43589743589743,1.5007352941176464,0.6990000000000001,0.579258119658121,3.84,6.954475462,28.8,98.81766866759233,68.37068293,0.05005714285714902
1986,86,98.49230769230769,1.5717647058823445,0.782,0.5859466666666684,3.9019999999999997,9.742033321000001,28.7,98.83091435396925,68.49936585,0.0667214285714337
1987,84,98.54871794871794,1.6427941176470426,0.903,0.5926352136752158,3.964,8.891039826,28.5,98.84416004034617,68.6555122,0.08338571428571839
1988,86,98.6051282051282,1.7138235294117692,0.8190000000000001,0.5993237606837614,4.026,6.791346749,27.3,98.8574057267231,68.86302439,0.10005000000000308
1989,85,98.66153846153846,1.7848529411764673,1.004,0.6060123076923087,4.088,4.46514861,25.2,98.87065141310002,69.12402439,0.11671428571429487
1990,85,99,1.8558823529411654,1.383,0.62,4.15,7.1867367710000005,23.0,98.63817596,69.40487805,0.13337857142857956
1991,91,99,1.926911764705892,1.423,0.6253,4.2,4.435446229,21.6,98.7210083,69.95609756,0.15004285714286425
1992,88,99,1.99794117647059,1.579,0.6306,4.25,6.512698604,21.1,98.8033905,70.05853659,0.16670714285714894
