year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1960,80.43427419354839,100.0,2.6500000000000057,3.6839999999999997,0.7027999999999999,29049,7.05,1.6117833171924918,94.00007183557187,26.5,100.0,71.31341463
1961,80.72580645161293,100.0,2.6111764705882337,3.7769999999999997,0.7073092307692317,30546,7.013999999999999,1.61464319443136,93.98643752543757,26.0,100.0,71.64487805
1962,81.01733870967735,100.0,2.572352941176476,4.385,0.7118184615384617,31140,6.978,1.6175030716702272,93.97280321530326,25.4,100.0,71.19609756
1963,81.30887096774188,100.0,2.533529411764704,5.176,0.7163276923076918,31973,6.942,1.6203629489090945,93.95916890516894,24.6,100.0,71.18756098
1964,81.60040322580642,100.0,2.494705882352946,4.9110000000000005,0.7208369230769236,33092,6.906000000000001,1.6232228261479618,93.94553459503463,23.6,100.0,72.07780488
1965,81.89193548387095,100.0,2.455882352941174,5.206,0.7253461538461536,33822,6.87,1.626082703386829,93.93190028490032,22.6,100.0,72.20170732
1966,82.18346774193549,100.0,2.417058823529416,5.324,0.7298553846153855,34344,6.836,1.6289425806256963,93.91826597476602,21.6,100.0,72.33560976
1967,82.47500000000002,100.0,2.378235294117644,5.431,0.7343646153846155,35004,6.8020000000000005,1.6318024578645645,93.9046316646317,20.7,100.0,72.63658537
1968,82.76653225806444,100.0,2.3394117647058863,5.944,0.7388738461538455,35851,6.768,1.6346623351034317,93.89099735449739,19.9,100.0,72.5902439
1969,83.05806451612898,100.0,2.3005882352941143,6.226,0.7433830769230774,37384,6.734,1.637522212342299,93.87736304436308,19.2,100.0,72.61268293
1970,83.34959677419351,100.0,2.2617647058823565,6.526,0.7478923076923074,39419,6.7,1.6403820895811663,93.86372873422877,18.4,100.0,73.0202439
1971,83.64112903225805,100.0,2.2229411764705844,6.736000000000001,0.7524015384615392,40532,6.69,1.6432419668200335,93.85009442409446,17.6,100.0,73.13073171
1972,83.93266129032259,100.0,2.1841176470588266,6.848,0.7569107692307693,41449,6.68,1.6461018440589017,93.83646011396016,16.7,100.0,73.64439024
1973,84.22419354838712,100.0,2.1452941176470546,7.325,0.7614199999999993,42450,6.67,1.648961721297769,93.82282580382584,15.8,100.0,73.94097561
1974,84.51572580645154,100.0,2.1064705882352968,6.537000000000001,0.7659292307692311,42942,6.66,1.6518215985366362,93.80919149369153,14.8,100.0,74.28707317
1975,84.80725806451608,100.0,2.0676470588235247,6.147,0.7704384615384612,40166,6.65,1.6546814757755035,93.79555718355722,13.8,100.0,74.66560976
1976,85.09879032258061,100.0,2.028823529411767,6.365,0.774947692307693,40041,6.648,1.6575413530143708,93.78192287342291,12.9,100.0,74.78536585
1977,85.39032258064515,100.0,1.9899999999999949,6.474,0.779456923076923,41125,6.646,1.660401230253239,93.76828856328859,12.1,100.0,75.23804878
1978,85.68185483870968,100.0,1.951176470588237,6.672000000000001,0.7839661538461531,41188,6.644,1.6632611074921062,93.75465425315429,11.4,100.0,75.18731707
1979,85.97338709677422,100.0,1.912352941176465,6.324,0.7884753846153849,42093,6.642,1.6661209847309735,93.74101994301998,10.8,100.0,75.46609756
1980,86.26491935483864,100.0,1.8735294117647072,6.426,0.792984615384615,43792,6.64,1.6689808619698407,93.72738563288567,10.4,100.0,75.45926829
1981,86.55645161290317,100.0,1.8347058823529352,6.148,0.7974938461538468,44215,6.55,1.601335856,93.71375132275136,10.0,100.0,75.69317073
1982,86.84798387096771,100.0,1.7958823529411774,5.771,0.8020030769230768,43348,6.46,1.6747006164475753,93.70011701261706,9.7,100.0,76.03390244
1983,87.13951612903224,100.0,1.7570588235294053,6.279,0.8065123076923086,43404,6.37,0.639079452,93.68648270248273,9.4,100.0,76.03121951
1984,87.43104838709678,100.0,1.7182352941176475,6.1,0.8110215384615387,44514,6.28,3.008456414,93.67284839234843,9.2,100.0,76.60853659
1985,87.72258064516132,100.0,1.6794117647058755,6.162999999999999,0.8155307692307687,45910,6.19,3.673595911,93.65921408221412,9.0,100.0,76.73365854
1986,90.0,100.0,1.6405882352941177,6.507000000000001,0.8200400000000005,46484,6.1339999999999995,1.8586327980000001,93.6455797720798,8.9,100.0,76.89902439
1987,90.0,100.0,1.6017647058823457,6.157,0.8245492307692306,46889,6.077999999999999,1.5854781690000002,93.63194546194549,8.8,100.0,77.19756098
1988,90.0,100.0,1.5629411764705878,6.19,0.8290584615384624,48034,6.022,3.277596235,93.61831115181118,8.6,100.0,77.22658537
1989,90.0,100.0,1.52411764705883,5.957999999999999,0.8335676923076925,49674,5.966,4.330794056,93.60467684167688,8.4,100.0,77.42121951
1990,90.0,100,1.485294117647058,6.617000000000001,0.831,50949,5.91,3.674625648,93.59104253154257,8.2,100,77.24243902
1991,89.0,100,1.4464705882353002,6.854,0.8367,49856,5.864,1.7004395115973825,93.57740822140826,7.9,100,77.51463415
1992,89.0,100,1.4076470588235281,6.752000000000001,0.8424,49287,5.818,1.7032993888362498,93.56377391127394,7.5,100,77.80609756
1993,89.0,100,1.3688235294117703,6.327000000000001,0.8481,48779,5.772,1.706159266075118,93.55013960113963,7.1,100,78.08536585
1994,89.0,100,1.3299999999999983,6.13,0.8538,49006,5.726,1.269757686,93.4,6.7,100,78.35
1995,89.0,100,1.2,6.186,0.8595,48914,5.68,0.480866434,93.4067,6.4,100,78.41707317
1996,89.0,100,1.2,6.252999999999999,0.8652,48961,5.636,0.601093571,93.4133,6.1,100,78.89609756
1997,89.0,100,1.2,6.069,0.8709,49987,5.5920000000000005,2.312047342,93.42,6.0,100,79.0795122
1998,88.0,100,1.1,6.27,0.8766,51328,5.547999999999999,2.9447724660000003,93.4267,5.8,100,79.32439024
1999,93.0,100,1.2,6.224,0.8823,51950,5.504,1.64337202,93.4333,5.7,100,79.5804878
2000,93.0,100,1.0,6.085,0.888,53692,5.46,3.946102508,93.44,5.6,100,79.68048780000001
2001,93.0,100,1.2,6.257000000000001,0.8924,54054,5.47,1.446594802,93.4467,5.5,100,80.18048780000001
2002,93.0,100,1.2,5.997999999999999,0.8968,53734,5.48,0.143394375,93.4533,5.4,100,80.38536585
