year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1960,77.79279279279274,100.0,3.2387254901960745,0.851,0.46130085470085547,6207,10.184511268087675,47.7,100.0,65.65982927
1961,78.18871503082028,100.0,3.1794117647058755,1.237,0.4701458119658106,6508,8.137624686,43.7,100.0,66.08719512
1962,78.58463726884781,100.0,3.1200980392156907,1.482,0.47899076923076933,6773,7.121762697,40.4,100.0,66.4322439
1963,78.98055950687524,100.0,3.0607843137254918,1.9,0.48783572649572804,7258,9.984910883,38.0,100.0,66.70080488
1964,79.37648174490278,100.0,3.001470588235293,2.017,0.4966806837606832,6829,9.797590379150535,36.4,100.0,66.91021951
1965,79.77240398293031,100.0,2.942156862745094,1.347,0.5055256410256419,7168,7.597241261000001,35.1,100.0,67.08580488
1966,80.16832622095785,100.0,2.882843137254895,0.349,0.5143705982905971,7770,10.87190206,33.5,100.0,67.25595122
1967,80.56424845898528,100.0,2.82352941176471,1.5619999999999998,0.5232155555555558,8500,12.28353667,31.8,100.0,67.44573171
1968,80.96017069701281,100.0,2.764215686274511,2.714,0.5320605128205145,9514,13.61812018,30.1,100.0,67.67373171
1969,81.35609293504035,100.0,2.704901960784312,3.5389999999999997,0.5409054700854696,10655,13.72467613,28.5,100.0,67.95107317
1970,81.75201517306778,100.0,2.645588235294113,8.783,0.5497504273504283,11929,13.88564039,27.1,100.0,68.27941463
1971,82.14793741109531,100.0,2.586274509803914,7.854,0.5585953846153835,13179,12.08123703,25.7,100.0,68.65046341
1972,82.54385964912285,100.0,2.5269607843137294,10.332,0.5674403418803422,14673,13.52658878,24.1,100.0,69.04290244
1973,82.93978188715027,100.0,2.4676470588235304,9.682,0.5762852991453009,16063,11.12795375,22.0,100.0,69.44031707
1974,83.33570412517781,100.0,2.4083333333333314,9.859,0.5851302564102561,16865,6.467887264,19.5,100.0,69.83478049
1975,83.73162636320535,100.0,2.3490196078431325,10.850999999999999,0.5939752136752148,17280,4.609005081,17.3,100.0,70.21970732
1976,84.12754860123277,100.0,2.2897058823529335,13.110999999999999,0.6028201709401699,18266,7.436719232000001,15.9,100.0,70.59397561
1977,84.52347083926031,100.0,2.2303921568627487,12.22,0.6116651282051286,19412,7.486151919,15.3,100.0,70.96090244
1978,84.91939307728785,100.0,2.1710784313725497,14.154000000000002,0.6205100854700838,20832,8.70318587,15.1,100.0,71.32334146
1979,85.31531531531527,100.0,2.1117647058823508,15.210999999999999,0.6293550427350425,22473,9.419556972,15.0,100.0,71.68273171
1980,84,100.0,2.052450980392152,13.024000000000001,0.6382000000000012,24342,10.026774900000001,14.8,100.0,72.1902439
1981,87,100.0,1.9931372549019528,10.905,0.6470449572649564,25396,10.68384263,14.1,100.0,72.58780488
1982,83,100.0,1.933823529411768,11.809000000000001,0.6558899145299151,25943,7.17245362,13.2,100.0,72.68780488
1983,84,100.0,1.874509803921569,13.552999999999999,0.6647348717948702,27675,8.540483535,12.3,100.0,73.03658537
1984,77,100.0,1.81519607843137,12.625,0.6735798290598289,29394,8.800553182,11.5,100.0,73.29024390000001
1985,78,100.0,1.7558823529411711,12.341,0.6824247863247876,28781,7.766255712230702,10.9,100.0,73.8902439
1986,91,100.0,1.6965686274509721,12.665,0.6912697435897428,29291,1.327634019,10.3,100.0,74.24634146
1987,96,100.0,1.6372549019607874,11.550999999999998,0.7001147008547015,31558,10.75688114,9.8,100.0,74.54878049
1988,90,100.0,1.5779411764705884,12.540999999999999,0.7089596581196567,34177,11.11518875,9.1,100.0,74.69756098
1989,90,100.0,1.5186274509803894,14.232999999999999,0.7178046153846154,36213,10.18317852,8.4,100.0,74.94634146
1990,85,100,1.4593137254901904,14.755999999999998,0.718,38214,10.04421048,7.7,100,75.29512195
1991,91,100,1.3999999999999915,14.606,0.7282,39412,6.687076218,6.9,100,75.64634146
1992,89,100,1.3406862745098067,15.172,0.7384,40858,7.087600945,6.3,100,75.94634146
1993,92,100,1.2813725490196077,15.559000000000001,0.7486,44158,11.53738744,5.7,100,76.04634146
1994,95,100,1.2220588235294088,18.205,0.7588,47514,10.92545611,5.3,100,76.19756098
1995,98,100,1.5,12.113,0.769,49391,7.02804585,5.0,100,76.29512195
1996,97,100,0.9,13.925,0.7792,51637,7.531933911,4.8,100,76.59512195
1997,98,100,1.1,15.998,0.7894,54416,8.291117708,4.6,100,76.89756098
1998,97,100,1.0,13.019,0.7996,51847,6.508762823185066,4.4,100,77.3
1999,97,100,1.0,13.102,0.8098,53668,6.095204493,4.1,100,77.55121951
2000,98,100,0.9,12.512,0.82,57030,8.897544417999999,3.9,100,77.95121951
2001,96,100,0.8,12.317,0.8291,55048,6.2185721564822245,3.6,100,78.25121951
2002,94,100,0.5,11.423,0.8382,55870,4.211686552,3.4,100,78.55121951
2003,96,100,0.6,7.321000000000001,0.8473,56894,4.435328147,3.2,100,79.03902439
2004,95,100,0.5,6.51,0.8564,60836,9.549175476,3.0,100,79.4902439
2005,96,100,0.5,6.752999999999999,0.8655,63865,7.489157458999999,2.9,100,79.9902439
2006,95,100,0.4,6.672000000000001,0.8746,67934,8.860196113999999,2.9,100,80.14146341
2007,97,100,0.4,4.207,0.8837,72458,9.111527148,2.9,100,80.44146341
2008,97,100,0.4,7.444,0.8928,72127,1.7876202280000002,2.8,100,80.79024390000001
2009,97,100,0.5,11.255999999999998,0.9019,70193,5.444730378608,2.8,100,81.24146341
2010,96,100,0.4,10.957,0.9109999999999999,79251,15.24037704,2.8,100,81.54146341
2011,96,100,0.3,8.729,0.917,82698,6.2244172760000005,2.8,100,81.74390244
2012,97,100,0.15441176470588402,6.894,0.92,84512,3.871461938,2.8,100,81.99512195
2013,97,100,0.09509803921568505,10.377,0.922,86962,5.001193478,2.8,100,82.24634146
2014,96,100,0.03578431372548607,10.339,0.924,88801,3.5722672280000003,2.7,100,82.49512195
2015,96,100,-0.023529411764712904,10.962,0.925,89306,1.932639785,2.7,100.0,82.74390244
2016,97,100.0,-0.08284313725489767,11.171,0.9566184615384614,90143,1.99630423,2.7,100.0,82.84634146
2017,100.36036036036035,100.0,-0.14215686274509665,13.145858395989961,0.9654634188034201,91979,4.670888600733775,2.7,100.0,83.09512195
2018,100.75628259838788,100.0,-0.20147058823529562,13.26244213983233,0.9743083760683753,93256,4.574158378499476,2.6,100.0,83.14634146
2019,101.15220483641531,100.0,-0.2607843137254946,13.3790258836747,0.983153333333334,93440,4.477428156265205,2.5,100.0,84.09828960144944
