year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,-29.455095307917873,-33.0,0.023,-0.06456239316239021,1093,0.18,3.0656770074310202,424.6412777633723,-37.64732813671435,147.75866555555604,28.199,162.2614010294119
1961,-27.452346041055534,-31.0,0.023,-0.055301196581194034,1078,0.19,3.0990553017721396,418.7145925157711,-36.447524519381204,145.3922755555559,28.345,159.83943955882296
1962,-25.449596774193196,-29.0,0.026000000000000002,-0.04603999999999786,1063,0.2,3.132433596113259,412.7879072681699,-35.247720902047604,143.02588555555576,28.535,157.41747808823493
1963,-23.446847507331313,-27.0,0.033,-0.03677880341880169,1111,0.21,3.1658118904543926,420.6,-34.047917284714,140.65949555555562,28.781999999999996,154.9955166176469
1964,-21.444098240468975,-25.0,0.033,-0.02751760683760196,1140,0.22,3.199190184795512,413.5,-32.8481136673804,138.29310555555548,29.096999999999998,152.57355514705887
1965,-19.441348973606637,-23.0,0.036000000000000004,-0.018256410256405786,1133,0.23,3.2325684791366314,406.5,-31.648310050047257,135.92671555555535,29.489,150.15159367647084
1966,-17.438599706744753,-21.0,0.034,-0.008995213675209612,1156,0.23800000000000002,3.2659467734777508,399.9,-30.448506432713657,133.56032555555612,29.959,147.7296322058819
1967,-15.435850439882415,-19.0,0.039,0.0002659829059865615,1169,0.24600000000000002,3.29932506781887,393.4,-29.248702815380057,131.19393555555598,30.496,145.30767073529387
1968,-13.433101173020532,-17.0,0.035,0.009527179487182735,1187,0.254,3.7084101960000004,387.3,-28.048899198046456,128.82754555555584,31.086,142.88570926470584
1969,-11.430351906158194,-15.0,0.027000000000000003,0.01878837606837891,1155,0.262,0.23099942,381.4,-26.84909558071331,126.4611555555557,31.72,140.4637477941178
1970,-9.427602639295856,-13.0,0.034,0.028049572649575083,1200,0.27,6.136954863,375.8,-25.64929196337971,124.09476555555557,32.388000000000005,138.04178632352887
1971,-7.424853372433972,-11.0,0.038,0.03731076923077126,1214,0.294,2.568996024,370.0,-24.44948834604611,121.72837555555543,33.078,135.61982485294084
1972,-5.422104105571634,-9.0,0.040999999999999995,0.04657196581196743,1248,0.318,5.844016431,363.7,-23.249684728712964,119.3619855555553,33.782,133.1978633823528
1973,-3.419354838709296,-7.0,0.043,0.05583316239316716,1190,0.342,3.499594833865615,356.9,-22.049881111379364,116.99559555555606,34.493,130.77590191176478
1974,-1.4166055718474126,-5.0,0.047,0.06509435897436333,1134,0.366,3.5329731282067343,349.5,-20.850077494045763,114.62920555555593,35.205,128.35394044117675
1975,0.5861436950149255,-3.0,0.052000000000000005,0.0743555555555595,1262,0.39,11.62504914,341.5,-19.650273876712163,112.26281555555579,35.921,125.9319789705878
1976,2.5888929618772636,-1.0,0.052000000000000005,0.08361675213675568,1400,0.418,13.62343853,333.2,-18.450470259379017,109.89642555555565,36.645,123.51001749999978
