year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,24.315315315315274,78.02564102564111,31.935714285714255,0.649,0.45681025641025563,5488,1.96,7.4559461224616825,57.16743327228323,168.9,74.55109673583081,24.791773759038392,54.143,39.87271708683488
1961,25.81270744428639,78.40512820512822,31.7285714285714,0.6609999999999999,0.4622712820512813,5729,1.99,10.27591155,57.78420183150183,164.1,75.04515312345393,24.388902092244734,54.63399999999999,39.19929971988813
1962,27.310099573257503,78.78461538461545,31.521428571428544,0.701,0.467732307692307,5902,2.02,5.21605942,58.40097039072043,159.7,75.53920951107693,23.986030425451077,55.13,38.52588235294115
1963,28.807491702228617,79.16410256410256,31.31428571428569,0.705,0.4731933333333327,5790,2.05,0.874672592,59.01773894993903,155.5,76.03326589870005,23.583158758657305,55.626999999999995,37.8524649859944
1964,30.30488383119973,79.54358974358979,31.107142857142833,0.698,0.4786543589743584,5811,2.08,3.485582304,59.63450750915763,151.7,76.52732228632317,23.180287091863647,56.121,37.17904761904765
1965,31.802275960170846,79.9230769230769,30.899999999999977,0.675,0.48411538461538406,5755,2.11,3.053487894,60.251276068376,148.2,77.02137867394617,22.777415425069876,56.61,36.5056302521009
1966,33.29966808914196,80.30256410256413,30.69285714285712,0.7490000000000001,0.48957641025640974,5939,2.156,4.150360233,60.8680446275946,145.0,77.51543506156929,22.374543758276218,57.091,35.83221288515415
1967,34.797060218113074,80.68205128205136,30.485714285714266,0.75,0.49503743589743543,6003,2.202,4.915265675,61.4848131868132,141.9,78.0094914491923,21.971672091482446,57.563,35.1587955182074
1968,36.29445234708419,81.06153846153848,30.27857142857141,0.8540000000000001,0.5004984615384611,6356,2.248,11.42728238,62.1015817460318,138.9,78.50354783681541,21.56880042468879,58.025,34.48537815126065
1969,37.7918444760553,81.4410256410257,30.071428571428555,0.907,0.5059594871794868,6722,2.294,9.73582689,62.7183503052504,135.8,78.99760422443853,21.16592875789513,58.475,33.8119607843139
