year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,88.7446153846154,96.02051282051282,36.299999999999955,2.846,0.5174017094017085,1470.9888367729727,18.52598086906403,30.910226480836286,100.0,69.78682927,4.742105263157896
1961,88.86769230769232,96.07794871794873,35.64102941176452,2.892,0.5230623931623928,1877.6916510318406,18.213109703679606,30.46087108013944,100.0,70.03243902,4.671578947368431
1962,88.99076923076925,96.13538461538462,34.982058823529314,2.997,0.5287230769230771,2284.3944652907085,17.900238538295184,30.011515679442482,100.0,69.43048780000001,4.601052631578966
1963,89.11384615384617,96.19282051282052,34.32308823529411,3.176,0.5343837606837614,2691.0972795496928,17.587367372910762,29.562160278745637,100.0,69.82902439,4.530526315789473
1964,89.23692307692309,96.25025641025641,33.664117647058674,3.333,0.5400444444444439,3097.8000938085606,17.27449620752634,29.11280487804879,100.0,71.02804878,4.460000000000008
1965,89.36000000000001,96.3076923076923,33.00514705882347,3.498,0.5457051282051282,3504.502908067545,16.961625042141918,28.663449477351946,100.0,70.72658537,4.389473684210543
1966,89.48307692307694,96.36512820512822,32.34617647058826,3.653,0.5513658119658125,3911.205722326413,16.648753876757496,28.2140940766551,100.0,70.70731707,4.31894736842105
1967,89.60615384615386,96.42256410256411,31.687205882352828,3.785,0.557026495726495,4317.908536585281,16.335882711373074,27.764738675958256,100.0,70.39390244,4.248421052631585
1968,89.72923076923078,96.48,31.02823529411762,3.852,0.5626871794871793,4724.611350844265,16.023011545988652,27.315383275261297,100.0,70.04292683,4.17789473684212
1969,89.8523076923077,96.5374358974359,30.369264705882188,3.9789999999999996,0.5683478632478636,5131.314165103133,15.71014038060423,26.866027874564452,100.0,69.79682927,4.107368421052627
1970,89.97538461538463,96.59487179487179,29.71029411764698,4.146,0.5740085470085461,5538.016979362117,15.397269215219922,26.416672473867607,100.0,69.83536585,4.036842105263162
1971,90.09846153846155,96.6523076923077,29.051323529411775,4.365,0.5796692307692304,5944.719793620985,15.0843980498355,25.96731707317076,100.0,70.16463415,3.966315789473697
1972,90.22153846153847,96.7097435897436,28.39235294117634,4.553,0.5853299145299147,6351.422607879853,14.771526884451077,25.517961672473916,100.0,69.87878049,3.8957894736842036
1973,90.3446153846154,96.76717948717949,27.733382352941135,4.71,0.590990598290599,6758.125422138837,14.458655719066655,25.06860627177707,100.0,69.81341463,3.8252631578947387
1974,90.46769230769232,96.82461538461538,27.0744117647057,4.857,0.5966512820512815,7164.828236397705,14.145784553682233,24.619250871080112,100.0,69.74097561,3.754736842105274
