year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,80.10769230769239,99.0,6.104545454545445,0.6098290598290594,16872.764071294572,4.64,9.391002596732505,44.58791671372103,57.08599742599745,88.16740091118464,-48.289560000000165,65.31255271978648,2.8108280885780914
1961,80.37615384615395,99.0,6.007272727272721,0.6127068376068374,16766.854221388377,4.684,9.245914899194815,45.07902399774139,56.10159588159581,88.41289490862306,-47.06312545454557,65.4913608585714,2.759196620046623
1962,80.6446153846154,99.0,5.909999999999997,0.6155846153846154,16660.944371482183,4.728,9.100827201657182,45.570131281761746,55.117194337194405,88.65838890606153,-45.836690909090976,65.67016899735631,2.707565151515155
1963,80.91307692307697,99.0,5.8127272727272725,0.6184623931623934,16555.034521575988,4.772,8.955739504119492,46.06123856578199,54.13279279279277,88.9038829035,-44.61025636363638,65.84897713614117,2.6559336829836724
1964,81.18153846153854,99.0,5.7154545454545485,0.6213401709401705,16449.124671669793,4.816,8.810651806581859,46.55234584980235,53.148391248391135,89.14937690093848,-43.38382181818179,66.02778527492609,2.604302214452204
1965,81.4500000000001,99.0,5.618181818181796,0.6242179487179484,16343.214821763599,4.86,8.665564109044169,47.04345313382271,52.16398970398973,89.39487089837695,-42.15738727272719,66.20659341371095,2.552670745920736
1966,81.71846153846155,99.0,5.520909090909072,0.6270957264957264,16237.304971857433,4.962,8.520476411506536,47.53456041784307,51.17958815958809,89.64036489581537,-40.9309527272726,66.38540155249586,2.5010392773892676
1967,81.98692307692312,99.0,5.423636363636348,0.6299735042735044,16131.395121951238,5.064,8.375388713968846,48.02566770186331,50.195186615186685,89.88585889325384,-39.704518181818,66.56420969128078,2.4494078088577993
1968,82.25538461538468,99.0,5.326363636363624,0.6328512820512815,16025.485272045044,5.166,8.230301016431213,48.51677498588367,49.21078507078505,90.13135289069231,-38.47808363636341,66.74301783006564,2.397776340326331
1969,82.52384615384625,99.0,5.2290909090909,0.6357290598290595,15919.575422138849,5.268,8.085213318893523,49.00788226990403,48.226383526383415,90.37684688813079,-37.25164909090881,66.92182596885056,2.3461448717948628
1970,82.79230769230782,99.0,5.131818181818176,0.6386068376068375,15813.665572232654,5.37,7.9401256213558895,49.498989553924275,47.24198198198201,90.62234088556926,-36.02521454545467,67.10063410763541,2.2945134032633945
1971,83.06076923076927,99.0,5.0345454545454515,0.6414846153846154,15707.75572232646,5.456,7.7950379238181995,49.990096837944634,46.25758043758037,90.86783488300767,-34.79878000000008,67.27944224642033,2.242881934731926
