year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1972,83.32923076923083,99.0,4.9372727272727275,0.6443623931623934,15601.845872420265,5.542000000000001,7.649950226280566,50.48120412196499,45.273178893178965,91.11332888044615,-33.572345454545484,67.45825038520525,2.191250466200458
1973,83.5976923076924,99.0,4.840000000000003,0.6472401709401705,15495.93602251407,5.627999999999999,7.504862528742876,50.97231140598535,44.28877734877733,91.35882287788462,-32.34591090909089,67.6370585239901,2.1396189976689897
1974,83.86615384615396,99.0,4.742727272727251,0.6501179487179485,15390.026172607875,5.7139999999999995,7.359774831205243,51.4634186900056,43.304375804375695,91.6043168753231,-31.119476363636295,67.81586666277502,2.0879875291375214
1975,84.13461538461542,99.0,4.645454545454527,0.6529957264957265,15284.11632270171,5.8,7.214687133667553,51.954525974025955,42.31997425997429,91.84981087276157,-29.8930418181817,67.99467480155988,2.036356060606053
1976,84.40307692307698,99.0,4.548181818181803,0.6558735042735044,15178.206472795515,5.877999999999999,7.06959943612992,52.445633258046314,41.33557271557265,92.09530487019998,-28.666607272727106,68.1734829403448,1.9847245920745848
1977,84.67153846153855,99.0,4.450909090909079,0.6587512820512815,15072.29662288932,5.956,6.92451173859223,52.93674054206667,40.351171171171245,92.34079886763845,-27.44017272727251,68.35229107912971,1.9330931235431166
1978,84.94000000000011,99.0,4.353636363636355,0.6616290598290595,14966.386772983125,6.034,6.779424041054597,53.42784782608692,39.36676962676961,92.58629286507693,-26.213738181817916,68.53109921791457,1.8814616550116483
1979,85.20846153846156,99.0,4.256363636363631,0.6645068376068375,14860.47692307693,6.112,6.634336343516907,53.91895511010728,38.382368082367975,92.8317868625154,-24.987303636363777,68.70990735669949,1.82983018648018
1980,85.47692307692313,99.0,4.1590909090909065,0.6673846153846155,17334.0,6.19,6.4892486459792735,54.410062394127635,37.39796653796657,93.07728085995387,-23.760869090909182,68.88871549548435,1.7781987179487118
1981,85.7453846153847,99.0,4.061818181818182,0.6702623931623926,17555.0,6.244,6.3441609484415835,54.90116967814788,36.41356499356493,93.32277485739229,-22.534434545454587,69.06752363426926,1.7265672494172435
1982,86.01384615384626,99.0,3.9645454545454584,0.6731401709401705,17664.0,6.297999999999999,6.19907325090395,55.39227696216824,35.429163449163525,93.56826885483076,-21.307999999999993,69.24633177305418,1.6749357808857752
1983,86.28230769230771,99.0,3.867272727272706,0.6760179487179485,17273.0,6.352,6.05398555336626,55.8833842461886,34.44476190476189,93.81376285226924,-20.081565454545398,69.42513991183904,1.623304312354307
1984,86.55076923076928,99.0,3.769999999999982,0.6788957264957265,17543.0,6.406000000000001,5.908897855828627,56.37449153020896,41.3,94.05925684970771,-18.855130909090803,69.60394805062396,1.5716728438228387
1985,86.81923076923084,99.0,3.6727272727272577,0.6817735042735045,17500.0,6.46,5.763810158290937,56.8655988142292,39.1,94.30475084714618,-17.62869636363621,69.78275618940881,1.5200413752913704
1986,87.08769230769241,99.0,3.5754545454545337,0.6846512820512816,18047.0,6.446000000000001,5.618722460753304,57.35670609824956,37.5,94.5502448445846,-16.402261818181614,69.96156432819373,1.4684099067599021
1987,87.35615384615386,99.0,3.4781818181818096,0.6875290598290595,17685.0,6.432,5.473634763215614,57.84781338226992,36.3,94.79573884202307,-15.17582727272702,70.14037246697865,1.4167784382284339
1988,87.62461538461542,99.0,3.3809090909090855,0.6904068376068375,17378.0,6.417999999999999,5.328547065677981,58.33892066629028,34.4,95.04123283946154,-13.94939272727288,70.3191806057635,1.3651469696969656
1989,87.89307692307699,99.0,3.2836363636363615,0.6932846153846155,17637.0,6.404,5.183459368140291,58.83002795031052,31.3,95.28672683690002,-12.722958181818285,70.49798874454842,1.3135155011654973
1990,88.16153846153856,99,3.1863636363636374,0.7140000000000001,15711.0,6.39,5.038371670602658,59.32113523433088,27.9,93.95599365,-11.49652363636369,70.67679688333328,1.261884032634029
1991,88.43000000000012,99,3.0890909090909133,0.7135,13951.0,6.3839999999999995,4.8932839730649675,59.81224251835124,25.4,94.50110626,-10.270089090909096,71.48780488,1.2102525641025608
1992,84.0,99,2.991818181818161,0.713,10110.0,6.377999999999999,4.748196275527334,60.303349802371486,24.3,95.04576874,-9.043654545454501,71.5797,1.1586210955710925
1993,85.0,99,2.8945454545454368,0.7125,7002.0,6.372000000000001,4.603108577989644,60.794457086391844,23.4,95.58772278,-7.817219999999907,71.6715,1.1069896270396242
1994,85.0,99,2.7972727272727127,0.7120000000000001,7182.0,6.3660000000000005,4.458020880452011,61.2855643704122,21.8,96.12426758,-6.590785454545312,71.7634,1.055358158508156
1995,89.0,99,2.6999999999999886,0.7115,7629.0,6.36,4.312933182914321,61.77667165443256,19.6,96.6526947,-5.364350909090717,71.8553,1.0037266899766877
1996,91.0,99,2.6027272727272646,0.711,8062.0,6.34,2.426155021,62.26777893845281,17.4,97.17029572,-4.137916363636123,71.9472,0.9520952214452194
1997,94.0,99,2.5054545454545405,0.7105,8674.0,6.32,7.184832847999999,62.758886222473166,15.4,97.67436981,-2.911481818181528,72.03902439,0.9004637529137511
1998,93.0,99,2.4081818181818164,0.71,8913.0,6.3,2.4304566309999998,63.249993506493524,13.9,98.14955139,-1.6850472727273882,71.887,0.8488322843822829
1999,92.0,99,2.3109090909090924,0.7095,7333.0,6.28,3.7325823927636748,69.9,13.1,98.62117004,-0.45861272727279356,71.735,0.7972008158508146
2000,95.0,99,2.2,0.7090000000000001,7877.0,6.26,7.759209405,69.13,12.7,99.0725708,0.7678218181818011,71.58292683,0.7455693473193463
2001,93.0,99,2.4,0.7138,8305.0,6.22,4.992714031,68.36,12.2,99.47492981,1.9942563636363957,72.23414634,0.693937878787878
2002,95.0,99,2.0,0.7186,8868.0,6.18,7.115788087,67.59,11.5,100.0,3.2206909090909903,72.28536585,0.2
2003,89.0,99,1.8,0.7234,9257.0,6.14,4.415414059,66.82,10.5,99.93415833,4.447125454545585,72.43658537,0.5
2004,88.0,99,1.7,0.7282,10077.0,6.1,9.046513062,66.05,9.7,99.98962402,5.67356000000018,72.68292683,0.9
2005,98.0,99,1.5,0.733,10654.0,6.06,5.540426974,65.28,8.9,99.99949646,6.9,72.83414634,1.1
2006,92.0,99,1.6,0.7378,11247.0,6.013999999999999,4.904348856,64.51,8.4,100.0,8.1264,73.38536585,0.5
2007,94.0,99,1.7,0.7426,11965.0,5.968,5.888760078,63.74,8.1,100.0,9.3529,73.63170732,0.3
2008,95.0,99,1.4,0.7474,12682.0,5.922000000000001,5.366683424,62.97,8.0,100.0,10.5793,73.88536585,0.1
2009,95.0,99,1.5,0.7522,12313.0,5.876,2.281705417387059,62.2,7.8,100.0,11.8057,73.98536585,0.1
2010,91.0,99,1.2,0.757,12469.0,5.83,0.584478088,63.7909,7.6,100.0,13.0322,74.33658537,0.1
2011,94.0,99,1.1436363636363467,0.767,12723.0,6.601349019607838,1.401465736,65.3818,7.4,100.0,14.2586,74.53658537,0.1333
2012,91.0,99,1.0463636363636226,0.7659999999999999,12632.0,6.628882051282048,1.8464423247740456,66.9727,7.1,100.0,15.485,74.83658537,0.1667
2013,95.0,99,0.9490909090908985,0.7709999999999999,13028.0,6.656415082956258,2.5717341069999997,68.5636,6.9,100.0,16.7115,75.18536585,0.2
2014,93.0,99,0.8518181818181745,0.775,12892.0,6.683948114630468,1.5562669296987224,70.1545,6.6,100.0,17.9379,75.33658537,0.022728787878790513
2015,95.0,99,0.7545454545454504,0.7759999999999999,13081.0,6.711481146304671,0.7577151529999999,71.7455,6.3,101.66957077030003,19.164340000000266,75.28780488,-0.02890268065267776
2016,92.0,99.0,0.6572727272727263,0.7709846153846147,13575.0,6.739014177978881,2.778773737,73.3364,6.0,101.91506476773844,20.390774545454406,75.68780488,-0.08053414918414603
2017,95.41000000000003,99.0,0.5600000000000023,0.7738623931623927,13953.0,6.7665472096530905,1.121003837085766,74.9273,5.8,102.16055876517692,21.617209090909,75.53902439,-0.1321656177156143
2018,95.67846153846159,99.0,0.4627272727272498,0.7767401709401707,14588.0,6.7940802413273005,0.975916139548076,76.5182,5.5,102.40605276261539,22.843643636363595,75.8902439,-0.18379708624708258
2019,95.94692307692316,99.0,0.3654545454545257,0.7796179487179487,15204.0,6.821613273001503,0.8308284420104428,78.1091,5.3,102.65154676005386,24.07007818181819,75.86223290809522,-0.23542855477855085
2020,96.21538461538472,99.0,0.26818181818180165,0.7824957264957257,10518.173076923093,6.849146304675713,0.6857407444727528,79.7,-1.978095238095193,102.89704075749233,25.296512727272784,76.04104104688008,-0.28706002331003333
