year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,4.459459459459595,92.76410256410256,0.3999999999999986,3.958,0.5934410256410256,8816,5.09,3.820360427657235,35.3,100.0,69.7965122,-1.9222222222222172
1961,6.2830725462304144,92.85743589743589,0.4185294117647089,4.383,0.5996682051282054,9282,5.12,3.8534557465396375,33.8,100.0,69.97826829,-1.8755555555555503
1962,8.106685633001689,92.95076923076923,0.43705882352941217,4.641,0.6058953846153852,9544,5.15,3.886551065422026,32.5,100.0,70.13407317,-1.8288888888888835
1963,9.930298719772509,93.04410256410256,0.4555882352941154,4.744,0.6121225641025649,9926,5.18,3.9196463843044143,31.3,100.0,70.27292683,-1.7822222222222166
1964,11.753911806543329,93.13743589743589,0.47411764705882575,4.994,0.6183497435897429,10264,5.21,3.952741703186817,30.0,100.0,70.40129268,-1.7355555555555497
1965,13.577524893314603,93.23076923076923,0.492647058823529,4.797,0.6245769230769227,10400,5.24,3.985837022069205,28.6,100.0,70.52314634,-1.6888888888888829
1966,15.401137980085423,93.32410256410256,0.5111764705882393,5.257999999999999,0.6308041025641025,10459,5.314,4.018932340951594,27.1,100.0,70.63843902,-1.642222222222216
1967,17.224751066856243,93.4174358974359,0.5297058823529426,5.685,0.6370312820512822,11018,5.388,4.052027659833982,25.5,100.0,70.74514634,-1.5955555555555492
1968,19.048364153627517,93.51076923076923,0.5482352941176458,6.141,0.643258461538462,11878,5.462000000000001,4.0851229787163845,24.1,100.0,70.84429268,-1.5488888888888823
1969,20.871977240398337,93.60410256410256,0.5667647058823562,6.332999999999999,0.6494856410256418,12536,5.5360000000000005,4.118218297598773,23.0,100.0,70.93787805,-1.5022222222222155
1970,22.695590327169157,93.6974358974359,0.5852941176470594,6.5760000000000005,0.6557128205128198,12763,5.61,4.151313616481161,22.2,100.0,71.03143902,-1.4555555555555486
1971,24.51920341394043,93.79076923076923,0.6038235294117626,7.526,0.6619399999999995,13081,5.682,3.469887678,21.7,100.0,71.12853659,-1.4088888888888818
1972,26.34281650071125,93.88410256410256,0.622352941176473,7.273,0.6681671794871793,13717,5.754,6.489808441,21.4,100.0,71.2322439,-1.362222222222215
1973,28.16642958748207,93.9774358974359,0.6408823529411762,7.417000000000001,0.6743943589743591,14137,5.8260000000000005,4.721428306,21.1,100.0,71.34556098,-1.315555555555548
1974,29.990042674253345,94.07076923076923,0.6594117647058866,7.435,0.6806215384615388,14499,5.898,4.26022921,20.6,100.0,71.47202439,-1.2688888888888812
1975,31.813655761024165,94.16410256410256,0.6779411764705898,6.922000000000001,0.6868487179487186,15062,5.97,5.6566455520000005,20.0,100.0,71.61660976,-1.2222222222222143
1976,33.637268847794985,94.2574358974359,0.6964705882352931,6.882000000000001,0.6930758974358966,15034,6.058,1.3948080680000001,19.1,100.0,71.78278049,-1.1755555555555475
1977,35.46088193456626,94.35076923076923,0.7150000000000034,7.156000000000001,0.6993030769230764,16049,6.146,8.211300341,18.1,100.0,71.969,-1.1288888888888806
1978,37.28449502133708,94.44410256410256,0.7335294117647067,7.044,0.7055302564102561,16984,6.234,7.186728477999999,16.9,100.0,72.17373171,-1.0822222222222138
1979,39.108108108108354,94.5374358974359,0.7520588235294099,8.07,0.7117574358974359,17225,6.322,3.073036273,15.5,100.0,72.39346341,-1.035555555555547
1980,34,94.63076923076923,0.7705882352941202,7.636,0.7179846153846157,17583,6.41,3.07932924,14.3,100.0,72.6232439,-0.98888888888888
1981,36,94.72410256410257,0.7891176470588235,7.492000000000001,0.7242117948717954,17944,6.47,3.325215768,13.2,100.0,72.85609756,-0.9422222222222132
1982,43,94.8174358974359,0.8076470588235338,7.2829999999999995,0.7304389743589752,18161,6.53,2.283468507,12.4,100.0,73.08807317,-0.8955555555555463
1983,42,94.91076923076923,0.8261764705882371,7.274,0.7366661538461532,17993,6.59,4.581552761952281,11.7,100.0,73.31368293,-0.8488888888888795
1984,45,95.00410256410257,0.8447058823529403,7.183,0.742893333333333,18643,6.65,4.354372656000001,11.1,100.0,73.53146341,-0.8022222222222126
1985,45,95.0974358974359,0.8632352941176507,7.49,0.7491205128205127,19159,6.71,3.085614865,10.7,100.0,73.74236585,-0.7555555555555458
1986,44,95.19076923076923,0.8817647058823539,7.98,0.7553476923076925,19074,6.688,4.680838718599446,10.4,100.0,73.95141463,-0.7088888888888789
1987,44,95.28410256410257,0.9002941176470571,8.447000000000001,0.7615748717948723,19966,6.666,4.663091103,10.2,100.0,74.16253659,-0.662222222222212
1988,43,95.3774358974359,0.9188235294117675,8.355,0.767802051282052,21070,6.644,5.217414206,9.9,100.0,74.37770732,-0.6155555555555452
1989,65,95.47076923076924,0.9373529411764707,8.407,0.77402923076923,22399,6.622000000000001,5.81391958,9.6,100.0,74.59590244,-0.5688888888888783
1990,65,96,0.955882352941174,9.201,0.762,24330,6.6,8.466527969,9.2,100,74.80909756,-0.5222222222222115
