year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,12.027027027027088,1.4051282051282215,86.65515151515183,0.158,0.4378666666666664,2.99,6.51375169582208,82.3,51.468753159461585,39.69462999999996,63.881,14.338717948717942
1961,13.646514935988307,3.1856410256409617,85.13393939393973,0.184,0.44256256410256256,3.028,6.900285516,81.5,52.39508241660769,39.152527272727184,64.105,14.174051282051323
1962,15.26600284494998,4.966153846153702,83.61272727272762,0.19399999999999998,0.4472584615384605,3.0660000000000003,3.300258518,81.0,53.3214116737538,38.61042454545441,64.314,14.009384615384647
1963,16.885490753911654,6.746666666666442,82.09151515151552,0.19899999999999998,0.45195435897435843,3.1039999999999996,4.71029134,80.4,54.24774093089991,38.06832181818163,64.5,13.844717948717971
1964,18.504978662873327,8.527179487179183,80.57030303030342,0.203,0.45665025641025636,3.142,4.212477357,80.0,55.17407018804602,37.52621909090908,64.65899999999999,13.680051282051295
1965,20.124466571835,10.307692307692378,79.04909090909132,0.253,0.4613461538461525,3.18,6.167974759,79.7,56.10039944519235,36.9841163636363,64.793,13.515384615384619
1966,21.743954480796674,12.088205128205118,77.52787878787876,0.22899999999999998,0.46604205128205045,3.252,1.991503335,79.3,57.02672870233846,36.44201363636353,64.908,13.350717948717943
1967,23.363442389757893,13.868717948717858,76.00666666666666,0.214,0.4707379487179484,3.324,9.150367203,79.0,57.95305795948457,35.89991090909075,65.015,13.186051282051324
1968,24.982930298719566,15.649230769230599,74.48545454545456,0.251,0.47543384615384454,3.3960000000000004,4.527073841,78.7,58.879387216630676,35.3578081818182,65.124,13.021384615384648
1969,26.60241820768124,17.42974358974334,72.96424242424246,0.21600000000000003,0.4801297435897425,3.468,4.70115141,78.3,59.80571647377678,34.81570545454542,65.241,12.856717948717971
1970,28.221906116642913,19.21025641025608,71.44303030303035,0.299,0.4848256410256404,3.54,5.553425735,77.7,60.73204573092289,34.273602727272646,65.368,12.692051282051295
1971,29.841394025604586,20.990769230769274,69.92181818181825,0.248,0.48952153846153834,3.6039999999999996,5.538151939,77.0,61.65837498806923,33.73149999999987,65.506,12.52738461538462
1972,31.46088193456626,22.771282051282014,68.40060606060615,0.273,0.4942174358974345,3.668,6.631297476,76.2,62.584704245215335,33.18939727272709,65.653,12.362717948717943
1973,33.08036984352748,24.551794871794755,66.87939393939405,0.327,0.49891333333333243,3.7319999999999998,7.302812908,75.3,63.51103350236144,32.64729454545454,65.806,12.198051282051324
1974,34.69985775248915,26.332307692307495,65.35818181818195,0.349,0.5036092307692304,3.7960000000000003,8.381525437,74.2,64.43736275950755,32.105191818181765,65.964,12.033384615384648
1975,36.319345661450825,28.112820512820235,63.836969696969845,0.301,0.5083051282051265,3.86,6.852444714,73.0,65.36369201665366,31.56308909090899,66.13,11.868717948717972
1976,37.9388335704125,29.893333333332976,62.31575757575774,0.36,0.5130010256410245,3.906,7.525949531,71.6,66.2900212738,31.02098636363621,66.30199999999999,11.704051282051296
