year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1995,90,100,28.822,0.762,111443,6.6878864710000006,13.2,100,73.194
1996,90,100,15.959000000000001,0.7692,111815,5.798404051,12.7,100,73.428
1997,92,100,15.411,0.7764,115579,8.190398652,12.3,100,73.657
1998,94,100,28.691,0.7836,110824,0.29199434399999996,11.9,100,73.883
1999,94,100,26.206999999999997,0.7908,109208,2.90221365,11.5,100,74.10600000000001
2000,94,100,35.649,0.7979999999999999,116188,10.852704199999998,11.2,100,74.327
2001,94,100,30.465999999999998,0.8006,111626,1.399085028,10.9,100,74.544
2002,94,100,24.13,0.8032,108482,2.433456814,10.6,100,74.758
2003,94,100,28.528000000000002,0.8058,110639,8.800540817,10.3,100,74.968
2004,94,100,27.679000000000002,0.8084,110974,9.566436643,10.0,100,75.17399999999999
2005,94,100,25.340999999999998,0.8109999999999999,103881,4.855141195,9.7,100,75.376
2006,92,100,23.611,0.8136,99675,9.837319772999999,9.4,100,75.57300000000001
2007,92,100,22.421999999999997,0.8162,89242,3.184390174,9.2,100,75.767
2008,92,100,22.805999999999997,0.8188,80752,3.191836271,8.9,100,75.957
2009,93,100,21.89,0.8214,68822,3.6306125403456235,8.7,100,76.145
2010,94,100,19.428,0.8240000000000001,64811,1.635449055,8.5,100,76.332
2011,95,100,19.061,0.826,66091,6.358920202,8.3,100,76.521
2012,96,100,19.801,0.8290000000000001,67287,5.104679427,8.1,100,76.711
2013,98,100,18.939,0.8320000000000001,69856,5.789906075,8.0,100,76.903
2014,99,100,23.283,0.836,72410,3.2849261339999996,7.9,100,77.095
2015,99,100,25.028000000000002,0.84,75384,3.82886705,7.8,100.0,77.285
2016,99,100.0,25.794,0.8526799999999994,76671,3.0364597989999997,7.8,100.0,77.47
2017,109.53603603603597,100.0,26.068621553884725,0.8569582905982909,76203,2.781717888175592,7.7,100.0,77.64699999999999
2018,110.86723565670945,100.0,25.924358655258857,0.8612365811965805,76344,2.6756060566543454,7.6,100.0,77.814
2019,112.19843527738294,100.0,25.78009575663293,0.865514871794872,77991,2.5694942251330986,7.5,100.0,81.49221215663363
2020,113.52963489805597,100.0,25.635832858007063,0.8697931623931616,48741.773446327075,2.4633823936118517,-33.70209039548081,100.0,81.90087685564004
