year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1960,50.54991087344024,100.0,4.330909090909103,1.091,0.5997692307692315,3276,3.1,9.547377734848766,40.3,100.0,69.43324390000001
1961,51.39449643493754,100.0,4.26363636363638,0.927,0.6043230769230785,3245,3.168,9.419596516354886,38.2,100.0,69.61439024
1962,52.239081996434834,100.0,4.196363636363657,1.048,0.6088769230769238,3107,3.236,9.291815297861035,36.8,100.0,69.77065854
1963,53.08366755793213,100.0,4.129090909090934,1.2919999999999998,0.6134307692307708,3110,3.304,9.164034079367156,35.7,100.0,69.91995122
1964,53.92825311942943,100.0,4.061818181818211,1.565,0.617984615384616,3220,3.372,9.036252860873304,34.7,100.0,70.07573171
1965,54.772838680926725,100.0,3.994545454545488,1.464,0.622538461538463,3489,3.44,8.908471642379453,33.8,100.0,70.24792683
1966,55.61742424242402,100.0,3.927272727272765,1.275,0.6270923076923083,3886,3.55,8.780690423885574,32.8,100.0,70.44104878
1967,56.462009803921546,100.0,3.8600000000000136,1.617,0.6316461538461553,4142,3.66,8.652909205391722,31.7,100.0,70.64807317
1968,57.30659536541884,100.0,3.7927272727272907,1.994,0.6362000000000005,4548,3.77,8.525127986897843,30.5,100.0,70.86304878
1969,58.15118092691614,100.0,3.725454545454568,2.029,0.6407538461538476,4788,3.88,8.397346768403992,29.2,100.0,71.08295122
1970,58.99576648841344,100.0,3.658181818181845,2.062,0.6453076923076928,5346,3.99,8.269565549910112,27.9,100.0,71.30529268
1971,59.840352049910734,100.0,3.590909090909122,2.062,0.6498615384615398,5478,4.046,2.453993612,26.5,100.0,71.52253659
1972,60.68493761140803,100.0,3.523636363636399,2.622,0.6544153846153851,5908,4.102,5.838327027,25.2,100.0,71.7312439
1973,61.52952317290533,100.0,3.4563636363636476,2.525,0.6589692307692321,6107,4.158,4.146138373,23.9,100.0,71.92743902
1974,62.374108734402625,100.0,3.3890909090909247,2.3,0.6635230769230773,6685,4.2139999999999995,10.03640396,22.6,100.0,72.11119512
1975,63.21869429590015,100.0,3.3218181818182018,2.075,0.6680769230769243,7887,4.27,19.56008086,21.4,100.0,72.28109756
1976,64.06327985739745,100.0,3.254545454545479,2.344,0.6726307692307696,9187,4.3,17.01708956,20.3,100.0,72.43678049
1977,64.90786541889474,100.0,3.187272727272756,2.4530000000000003,0.6771846153846166,10222,4.33,12.184169800000001,19.3,100.0,72.58380488
1978,65.75245098039204,100.0,3.120000000000033,2.8339999999999996,0.6817384615384618,11105,4.36,11.16115819,18.4,100.0,72.73212195
1979,66.59703654188934,100.0,3.05272727272731,2.752,0.6862923076923089,12019,4.39,10.49077317,17.6,100.0,72.89119512
1980,67.44162210338663,100.0,2.9854545454545587,3.0610000000000004,0.6908461538461541,12261,4.42,7.049711215,16.9,100.0,73.07785366
1981,68.28620766488393,100.0,2.9181818181818358,3.391,0.6954000000000011,12679,4.49,3.311762074,16.2,100.0,73.31090244
1982,69.13079322638123,100.0,2.850909090909113,3.86,0.6999538461538464,13092,4.56,2.284452306,15.7,100.0,73.59814634
1983,69.97537878787875,100.0,2.78363636363639,2.9189999999999996,0.7045076923076934,13175,4.63,6.608409709489905,15.1,100.0,73.94
1984,50.0,100.0,2.716363636363667,3.931,0.7090615384615386,13465,4.7,0.942370935,14.5,100.0,74.33097561
1985,37.0,100.0,2.649090909090944,3.4360000000000004,0.7136153846153857,13986,4.77,2.585279666,13.9,100.0,74.75814634
