year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1960,34.82551566080974,55.611518915866554,0.26,0.5233470085470078,8.385377999028549,149.6225724549604,32.35345409421552,39.694
1961,35.49411764705883,56.31789949181234,0.317,0.5262519658119658,14.76684319,147.85587607703292,33.41244924427701,40.082
1962,36.162719633307916,57.02428006775813,0.177,0.5291569230769229,7.449211597000001,146.0891796991059,34.471444394338505,40.56
1963,36.831321619557,57.730660643703914,0.136,0.53206188034188,6.092435284,144.32248332117842,35.5304395444,41.148999999999994
1964,37.49992360580609,58.4370412196497,0.363,0.534966837606837,4.554453634,142.5557869432514,36.58943469446149,41.849
1965,38.16852559205495,59.143421795595486,0.413,0.5378717948717942,8.33333566,140.78909056532393,37.64842984452298,42.651
1966,38.837127578304035,59.8498023715415,0.7,0.5407767521367512,4.5080045669999995,139.0223941873969,38.707424994584926,43.528
1967,39.50572956455312,60.55618294748729,1.824,0.5436817094017092,4.115152854,137.25569780946944,39.76642014464642,44.442
1968,40.17433155080221,61.26256352343307,3.464,0.5465866666666663,2.508800881,135.48900143154242,40.82541529470791,45.357
1969,40.842933537051294,61.96894409937886,2.474,0.5494916239316234,8.082910434,133.72230505361495,41.8844104447694,46.255
1970,41.511535523300154,62.675324675324646,3.525,0.5523965811965805,8.679342176,131.95560867568793,42.94340559483089,47.125
1971,42.18013750954924,63.38170525127043,4.72,0.5553015384615376,10.25873091,130.18891229776045,44.002400744892384,47.967
1972,42.84873949579833,64.08808582721622,4.468999999999999,0.5582064957264956,11.33697068,128.42221591983343,45.061395894953876,48.793
1973,43.517341482047414,64.794466403162,8.501,0.5611114529914527,10.18243362,126.65551954190641,46.12039104501537,49.611999999999995
1974,44.1859434682965,65.50084697910779,8.56,0.5640164102564098,39.48709518,124.88882316397894,47.17938619507686,50.425
1975,44.85454545454536,66.20722755505358,8.25,0.5669213675213669,19.19011491,123.12212678605192,48.238381345138805,51.233999999999995
1976,45.523147440794446,66.91360813099936,8.587,0.569826324786324,35.62533797,121.35543040812445,49.2973764952003,52.041000000000004
1977,46.19174942704353,67.61998870694515,9.296,0.572731282051282,5.980024394458269,119.58873403019743,50.35637164526179,52.848
1978,46.86035141329262,68.32636928289094,10.882,0.5756362393162391,5.838533005954105,126.6,51.41536679532328,53.652
