year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1979,47.528953399541706,69.03274985883672,9.487,0.5785411965811962,0.47440528,122.2,52.47436194538477,54.452
1980,48.19755538579079,69.73913043478251,9.093,0.5814461538461533,2.552937158,117.8,53.53335709544626,55.251999999999995
1981,48.86615737203965,70.4455110107283,8.788,0.5843511111111104,5.0953292789999995,113.6,54.592352245507755,56.06100000000001
1982,49.53475935828874,71.15189158667408,8.541,0.5872560683760675,5.272567451937562,109.6,55.651347395569246,56.873000000000005
1983,14.0,71.85827216261987,7.001,0.5901610256410255,5.608240679,106.1,56.71034254563074,57.674
1984,31.0,72.56465273856566,7.412999999999999,0.5930659829059826,7.508902308,103.0,57.76933769569223,58.443999999999996
1985,48.0,73.27103331451144,7.602,0.5959709401709397,4.848093286425183,100.1,58.828332845754176,59.153
1986,59.0,73.97741389045723,5.815,0.5988758974358968,4.7066018979210185,97.8,59.88732799581567,59.766999999999996
1987,65.0,74.68379446640301,4.585,0.6017808547008539,4.565110509416911,95.7,60.94632314587716,60.266000000000005
1988,72.0,75.3901750423488,4.803,0.6046858119658118,12.84535325,94.1,62.00531829593865,60.633
1989,78.0,76.09655561829459,6.227,0.6075907692307689,8.54530999,92.9,63.06431344600014,60.865
1990,78.0,76.80293619424037,4.726,0.62,5.192237277,91.7,63.89795303,60.965
1991,72.0,77.50931677018616,4.631,0.6213,6.112503482999999,90.9,65.02529907,60.943999999999996
1992,66.0,78.21569734613195,4.907,0.6226,3.8576535668962606,90.1,66.15218353,60.833
1993,67.0,78.92207792207773,4.838,0.6239,3.9465550080000003,89.4,67.27636719,60.659
1994,69.0,79.0,4.147,0.6252,3.712754841,88.8,68.3951416,60.43899999999999
1995,70.0,80.0,4.254,0.6265,4.973847763,88.3,69.50579834,60.175
1996,62.0,81.0,4.282,0.6278,3.62504902,87.8,70.60562897,59.854
1997,54.0,81.0,4.1930000000000005,0.6291,5.738367395,87.2,71.69193268,59.479
1998,50.0,82.0,4.252,0.6304,3.4778335869999997,86.5,72.76200104,59.066
1999,45.0,83.0,3.997,0.6317,2.8672138473672817,85.4,73.81423187,58.646
2000,45.0,84.0,3.81,0.633,2.7257224588631743,84.0,73.6,58.263999999999996
2001,45.0,85.0,3.803,0.6361,2.1352334219999998,82.3,75.87745667,57.968
2002,45.0,86.0,3.531,0.6392,2.4427396818549028,80.5,76.89625549,57.791000000000004
2003,45.0,86.0,3.4939999999999998,0.6423,2.247330012,78.6,77.91171265,57.75899999999999
2004,45.0,87.0,3.431,0.6454,0.6895430579999999,76.5,78.92771912,57.885
2005,45.0,88.0,3.478,0.6485,3.9007054660000002,74.3,81.6,58.181000000000004
2006,45.0,89.0,2.886,0.6516,1.8767741278383596,72.2,80.97698212,58.641000000000005
2007,81.0,89.0,2.76,0.6547,5.658952383,69.6,82.01709747,59.229
2008,82.0,90.0,2.714,0.6578,1.593791350830088,66.9,83.06771851,59.903999999999996
2009,76.0,91.0,2.678,0.6609,0.13033112,64.3,84.12708282,60.637
2010,67.0,91.0,2.9330000000000003,0.664,7.089887315,61.6,85.1934433,61.4
2011,75.0,92.0,2.929,0.669,7.091753343,59.2,86.26506042,62.168
2012,82.0,92.0,2.903,0.6779999999999999,5.251076918,56.9,89.3,62.924
2013,79.0,93.0,2.905,0.687,5.63841405,54.6,86.4,63.648
2014,70.0,93.0,2.767,0.6940000000000001,4.314877125,52.3,89.49419403,64.318
2015,80.0,93.0,2.761,0.6970000000000001,3.879257595,49.8,90.59818734760029,64.913
2016,75.0,95.16883116883105,2.733,0.686024615384615,2.26199324,47.0,91.65718249766178,65.418
2017,72.9358288770054,95.87521174477683,4.136501253132831,0.6889295726495721,0.32036885429283757,45.1,92.71617764772327,65.839
2018,73.60443086325449,96.58159232072262,4.126074496586291,0.6918345299145292,0.1788774657887302,43.6,93.77517279778476,66.187
2019,74.27303284950335,97.2879728966684,4.115647740039755,0.6947394871794872,0.037386077284566,42.5,94.83416794784625,67.22292811221507
2020,74.94163483575244,97.9943534726142,4.105220983493215,0.6976444444444443,-0.10410531121954136,43.62078977932606,95.89316309790775,67.60898164815899
