year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,-8.478678678678989,29.0188034188036,0.044000000000000004,0.3037931623931618,0.48,6.247868428196739,268.8,-59.61212624043219,63.86926710111118,40.297,88.19060606060611
1961,-6.65744315744314,29.63555555555581,0.055999999999999994,0.3069396581196573,0.5,12.16931737,264.2,-57.67547088424635,63.43630144844451,40.941,87.5
1962,-4.836207636207746,30.252307692307795,0.055999999999999994,0.3100861538461528,0.52,3.773652832,259.7,-55.73881552806097,63.00333579577784,41.58,86.80939393939411
1963,-3.014972114972352,30.869059829060006,0.067,0.3132326495726492,0.54,4.999694271,255.2,-53.80216017187513,62.57037014311118,42.215,86.118787878788
1964,-1.193736593736503,31.485811965812218,0.078,0.3163791452991447,0.56,14.28601126,250.5,-51.86550481568975,62.13740449044451,42.846000000000004,85.42818181818188
1965,0.6274989274988911,32.1025641025642,0.076,0.3195256410256402,0.58,15.45971271,245.9,-49.92884945950391,61.70443883777784,43.473,84.73757575757577
1966,2.4487344487342853,32.71931623931641,0.10099999999999999,0.3226721367521357,0.628,9.408719101,241.4,-47.992194103318525,61.27147318511118,44.098,84.04696969696988
1967,4.269969969969679,33.336068376068624,0.10800000000000001,0.3258186324786321,0.6759999999999999,5.500371557,236.6,-46.05553874713269,60.83850753244451,44.72,83.35636363636377
1968,6.091205491205528,33.95282051282061,0.098,0.3289651282051276,0.7240000000000001,5.023691853,231.9,-44.11888339094685,60.40554187977784,45.339,82.66575757575765
1969,7.912441012440922,34.56957264957282,0.11800000000000001,0.3321116239316231,0.772,10.83086834,227.1,-42.182228034761465,59.972576227111176,45.955,81.97515151515154
1970,9.733676533676316,35.18632478632503,0.128,0.3352581196581186,0.82,2.524302645,222.3,-40.24557267857563,59.53961057444451,46.568000000000005,81.28454545454542
1971,11.55491205491171,35.803076923077015,0.146,0.33840461538461497,0.9359999999999999,5.0747,217.5,-38.30891732239024,59.10664492177784,47.175,80.59393939393954
1972,13.37614757614756,36.419829059829226,0.17800000000000002,0.3415511111111105,1.052,7.625157551,212.7,-36.372261966204405,58.673679269111176,47.777,79.90333333333342
1973,15.197383097382954,37.03658119658144,0.174,0.344697606837606,1.168,3.8374840010000004,208.0,-34.43560661001857,58.24071361644451,48.371,79.2127272727273
1974,17.018618618618348,37.65333333333342,0.161,0.3478441025641015,1.284,4.832849119,203.2,-32.498951253833184,57.80774796377784,48.958,78.52212121212119
1975,18.839854139854197,38.27008547008563,0.129,0.35099059829059787,1.4,2.440541185,198.6,-30.562295897647346,57.374782311111176,49.537,77.8315151515153
1976,20.66108966108959,38.886837606837844,0.13,0.35413709401709337,1.514,4.963741143514852,194.0,-28.625640541461962,56.94181665844451,50.111999999999995,77.14090909090919
1977,22.482325182324985,39.50358974358983,0.183,0.35728358974358887,1.6280000000000001,6.95908537,189.4,-26.688985185276124,56.50885100577784,50.683,76.45030303030308
1978,24.30356070356038,40.12034188034204,0.14,0.36043008547008437,1.742,11.04543451,184.9,-24.752329829090286,56.075885353111175,51.246,75.75969696969696
1979,26.124796224796228,40.73709401709425,0.522,0.36357658119658076,1.8559999999999999,4.722967277636997,180.5,-22.815674472904902,55.64291970044451,51.799,75.06909090909107
1980,27.946031746031622,41.353846153846234,0.265,0.36672307692307626,1.97,14.57695611,176.4,-20.879019116719064,55.20995404777784,52.339,74.37848484848496
1981,9.0,41.970598290598446,0.22399999999999998,0.36986957264957177,2.074,4.562451367051779,172.3,-18.94236376053368,54.776988395111175,52.863,73.68787878787884
1982,14.0,42.58735042735066,0.25,0.37301606837606727,2.178,4.4821934117591695,168.4,-17.005708404347843,54.34402274244451,53.365,72.99727272727273
1983,18.0,43.20410256410264,0.182,0.37616256410256366,2.282,4.401935456466532,164.7,-15.069053048162004,53.91105708977784,53.839,72.30666666666684
1984,11.0,43.82085470085485,0.19399999999999998,0.37930905982905916,2.386,5.555555042000001,161.2,-13.132397691976621,53.478091437111175,54.276,71.61606060606073
1985,24.0,44.43760683760706,0.16899999999999998,0.38245555555555466,2.49,5.555552168999999,157.9,-11.195742335790783,53.04512578444451,54.673,70.92545454545461
1986,37.0,45.05435897435905,0.21100000000000002,0.38560205128205016,2.588,1.586504312,154.8,-9.2590869796054,52.61216013177784,55.028,70.2348484848485
1987,61.0,45.67111111111126,0.222,0.38874854700854655,2.6860000000000004,0.51016218,151.9,-7.322431623419561,52.179194479111175,55.336000000000006,69.54424242424261
1988,54.0,46.28786324786347,0.221,0.39189504273504205,2.784,6.642369772,149.2,-5.385776267234178,51.74622882644451,55.592,68.8536363636365
1989,72.0,46.904615384615454,0.228,0.39504153846153756,2.8819999999999997,4.060021684,146.8,-3.4491209110483396,51.31326317377784,55.784,68.16303030303038
1990,77.0,48,0.203,0.40399999999999997,2.98,3.840129769418212,144.5,-1.5124655548625014,50.880297521111174,55.887,67.47242424242427
1991,73.0,48,0.21600000000000003,0.4062,3.022,3.759871814125603,142.4,0.973318338,50.44733186844451,55.872,66.78181818181815
1992,69.0,49,0.21100000000000002,0.4084,3.0639999999999996,3.6796138588329654,140.2,2.1178789140000003,50.01436621577784,55.733999999999995,66.09121212121227
1993,66.0,49,0.212,0.4106,3.1060000000000003,3.5993559035403564,138.1,4.131228924,49.581400563111174,55.485,65.40060606060615
1994,62.0,50,0.19899999999999998,0.4128,3.148,14.98241435,135.7,6.139166832000001,49.14843491044451,55.147,64.71000000000004
1995,58.0,51,0.222,0.415,3.19,7.845832317,133.2,8.138987541,48.71546925777784,54.757,64.01939393939392
1996,50.0,51,0.24100000000000002,0.4172,3.236,8.836211629,130.4,10.127985,48.282503605111174,54.36,63.328787878788035
1997,42.0,52,0.218,0.4194,3.282,14.37737758,127.5,12.10345364,47.84953795244451,54.001000000000005,62.63818181818192
1998,42.0,52,0.25,0.4216,3.3280000000000003,3.1980661270772828,124.4,15.3,47.41657229977784,53.722,61.947575757575805
1999,57.0,53,0.319,0.4238,3.3739999999999997,2.4817514259999998,121.2,16.00408173,46.98360664711117,53.547,61.25696969696969
2000,64.0,54,0.27399999999999997,0.426,3.42,3.0375502164920363,117.9,16.97,46.55064099444451,53.49100000000001,60.5663636363638
