year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,62.92987012987021,27.511111111111177,1.432,0.12376752136752067,3405,2.31,1.2919193399493452,204.8,2.8629124552769554,46.687,23.590832230769138
1961,63.39999999999998,28.18324786324797,1.181,0.13194991452991367,3327,2.37,1.361381991,201.2,3.2535872660846508,47.083999999999996,24.300998923076804
1962,63.87012987012986,28.855384615384764,1.105,0.14013230769230667,3210,2.43,1.4337963895356154,197.8,3.644262076892346,47.446000000000005,25.01116561538447
1963,64.34025974025974,29.527521367521558,1.031,0.14831470085469967,3199,2.49,3.272392893,194.8,4.0349368877000416,47.772,25.721332307692137
1964,64.81038961038962,30.199658119658352,0.95,0.15649709401709266,3534,2.55,12.21404802,192.2,4.425611698507737,48.068000000000005,26.43149900000003
1965,65.2805194805195,30.87179487179492,1.097,0.16467948717948566,4070,2.61,16.64745596,190.3,4.816286509315432,48.351000000000006,27.141665692307697
1966,65.75064935064938,31.543931623931712,0.9520000000000001,0.17286188034187866,3747,2.6919999999999997,1.7175504887081274,188.8,5.206961320123128,48.643,27.851832384615363
1967,66.22077922077926,32.216068376068506,1.263,0.18104427350427166,3927,2.7739999999999996,7.919696512000001,187.6,5.597636130930823,48.96,28.56199907692303
1968,66.69090909090914,32.8882051282053,1.168,0.18922666666666466,3874,2.8560000000000003,1.248329982,185.9,5.9883109417385185,49.313,29.272165769230696
1969,67.16103896103903,33.560341880342094,1.057,0.19740905982905765,3747,2.938,1.9303660630875186,183.4,6.378985752546214,49.7,29.982332461538363
1970,67.6311688311689,34.23247863247866,0.903,0.20559145299145065,3807,3.02,4.797112903,179.9,6.769660563353909,50.114,30.69249915384603
1971,68.10129870129879,34.904615384615454,0.878,0.2137738461538472,3697,3.12,2.072243112673789,175.3,7.160335374161605,50.542,31.402665846153695
1972,68.57142857142856,35.57675213675225,0.9079999999999999,0.2219562393162402,3919,3.22,9.208865142,170.1,7.5510101849693,50.961000000000006,32.11283253846136
1973,69.04155844155844,36.24888888888904,0.991,0.2301386324786332,3767,3.32,2.214120162260059,165.0,7.9416849957769955,51.351000000000006,32.822999230769256
1974,69.51168831168832,36.921025641025835,0.8759999999999999,0.2383210256410262,3953,3.42,6.428158549,160.5,8.33235980658469,51.7,33.53316592307692
1975,69.9818181818182,37.5931623931624,0.8220000000000001,0.2465034188034192,3692,3.52,2.355997211846301,157.1,8.723034617392386,51.998999999999995,34.24333261538459
1976,70.45194805194808,38.265299145299196,0.782,0.2546858119658122,3799,3.5839999999999996,6.220975267000001,155.2,9.113709428200082,52.247,34.953499307692255
1977,70.92207792207796,38.93743589743599,0.703,0.2628682051282052,3511,3.648,2.497874261432571,154.5,9.504384239007777,52.449,35.66366599999992
1978,71.39220779220784,39.60957264957278,0.631,0.2710505982905982,3431,3.7119999999999997,0.553763844,154.7,9.895059049815472,52.607,36.37383269230759
1979,71.86233766233772,40.28170940170958,0.632,0.2792329914529912,3230,3.7760000000000002,2.6397513110188413,155.3,10.285733860623168,52.722,37.083999384615254
1980,72.3324675324676,40.95384615384637,0.599,0.2874153846153842,3230,3.84,3.035622351,156.2,10.676408671430863,52.802,37.79416607692292
1981,72.80259740259748,41.62598290598294,0.551,0.2955977777777772,3320,3.8819999999999997,6.167957407,157.0,11.067083482238559,52.863,38.50433276923059
1982,73.27272727272725,42.29811965811973,0.5579999999999999,0.3037801709401702,3112,3.924,2.8525668853982324,158.2,11.457758293046254,52.905,39.21449946153848
1983,49.0,42.970256410256525,0.501,0.3119625641025632,2937,3.966,2.9235054101913533,160.2,11.84843310385395,52.915,39.92466615384615
1984,59.0,43.64239316239332,0.418,0.3201449572649562,2825,4.008,2.9944439349844743,163.2,12.239107914661645,52.87,40.63483284615381
1985,66.0,44.31452991453011,0.395,0.3283273504273492,2780,4.05,1.615310368,166.7,12.62978272546934,52.72,41.34499953846148
1986,66.0,44.98666666666668,0.40299999999999997,0.33650974358974217,2702,4.06,0.723893956,170.4,13.020457536277036,52.402,42.055166230769146
1987,83.0,45.65880341880347,0.366,0.34469213675213517,2678,4.07,2.675661713,173.8,13.411132347084731,51.888000000000005,42.76533292307681
1988,83.0,46.330940170940266,0.413,0.35287452991452817,2756,4.08,6.280749009,176.6,13.801807157892426,51.173,43.47549961538448
1989,83.0,47.00307692307706,0.33299999999999996,0.36105692307692117,2702,4.09,3.3491365589501356,178.4,14.192481968700122,50.282,44.185666307692145
1990,91.0,49,0.304,0.39799999999999996,2860,4.1,3.4200750837432565,179.5,13.9,49.248999999999995,44.89583299999981
1991,79.0,50,0.292,0.4006,2763,4.27,3.491013608536406,179.7,14.77597141,48.125,54.0
1992,83.0,50,0.29,0.4032,2743,4.44,3.5619521333295268,179.3,19.2,46.986999999999995,54.25
1993,86.0,50,0.28800000000000003,0.4058,2669,4.61,6.797274048999999,177.7,15.70166588,45.919,54.5
1994,90.0,51,0.272,0.4084,2254,4.78,3.703829182915797,175.3,16.15774918,44.983000000000004,50.2333
1995,86.0,51,0.237,0.41100000000000003,2261,4.95,2.897668893,172.2,16.60571289,44.242,45.9667
1996,84.0,51,0.19899999999999998,0.4136,2341,5.002,6.2185464889999995,169.1,17.3,43.735,41.7
1997,83.0,52,0.247,0.4162,2363,5.053999999999999,3.814007497,166.0,17.46646881,43.461000000000006,41.9
1998,84.0,52,0.23199999999999998,0.4188,2289,5.106,3.987583282088309,162.6,17.87384605,43.413000000000004,42.1
1999,84.0,53,0.177,0.4214,2330,5.1579999999999995,4.650189746000001,158.2,18.26338577,43.593999999999994,43.925
2000,85.0,53,0.17300000000000001,0.424,2350,5.21,3.8973229430000003,152.1,16.7,44.0,45.75
2001,85.0,54,0.17600000000000002,0.4359,2403,5.252000000000001,5.316868274,143.6,19.00123405,44.615,47.575
2002,84.0,55,0.17800000000000002,0.4478,2446,5.294,4.50601428,133.9,17.4,45.4,49.4
2003,83.0,56,0.185,0.4597,2553,5.336,6.9449739820000005,124.2,18.5,46.321999999999996,53.05
2004,83.0,56,0.182,0.4716,2666,5.377999999999999,7.032395115,114.8,20.3,47.354,56.7
2005,82.0,57,0.19,0.4835,2788,5.42,7.235599007,106.3,20.42119026,48.496,58.6
2006,81.0,58,0.185,0.4954,2929,5.51,7.903694445,99.0,20.78730965,49.757,60.5
2007,80.0,59,0.152,0.5073,3089,5.6,8.352436244,93.6,18.5,51.13399999999999,61.475
2008,87.0,60,0.166,0.5192,3238,5.69,7.773895815,88.9,21.552661899999997,52.606,62.45
2009,94.0,61,0.187,0.5311,3441,5.78,9.220348406,84.0,21.94933701,54.13,63.425
2010,83.0,61,0.19399999999999998,0.5429999999999999,3690,5.87,10.29820585,79.6,22.0,55.655,64.4
