year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1990,97.04545454545456,95.26384588923287,1.9571428571428555,4.146,1.3325089870473903,50.4873539808018,16.5,100,74.627,-1.6044444444444537
1991,96.81818181818181,95.44650842793254,2.0285714285714107,2.923,1.4008345247473812,51.588934895539296,15.8,100,74.669,-1.4977777777777987
1992,96.59090909090912,95.62917096663227,2.0999999999999943,3.111,1.4691600624473722,52.69051581027634,15.4,100,74.634,-1.3911111111111154
1993,96.36363636363637,95.81183350533195,2.171428571428578,2.699,1.5374856001473631,53.792096725013835,15.2,100,74.51899999999999,-1.2844444444444605
1994,96.13636363636363,95.99449604403162,2.242857142857133,2.613,1.6058111378473825,54.89367763975133,15.1,100,74.334,-1.1777777777777771
1995,95.90909090909093,96.17715858273135,2.3142857142857167,2.7560000000000002,1.6741366755473734,55.99525855448883,15.1,100,74.09899999999999,-1.0711111111111222
1996,95.68181818181819,96.35982112143103,2.385714285714272,3.2430000000000003,1.7424622132473644,57.096839469226325,15.1,100,73.845,-0.9644444444444673
1997,95.4545454545455,96.5424836601307,2.4571428571428555,3.4939999999999998,1.8107877509473838,58.19842038396382,15.0,100,73.607,-0.857777777777784
1998,95.22727272727275,97.0,2.5285714285714107,3.6830000000000003,4.900002988,59.30000129870132,14.9,100,73.416,-0.751111111111129
1999,95.0,97.0,2.5999999999999943,2.5380000000000003,1.9474388263473656,69.2,14.6,100,73.28699999999999,-0.6444444444444457
2000,94.77272727272731,97.0,2.671428571428578,2.8360000000000003,3.099997417,68.5,14.2,100,73.22800000000001,-0.5377777777777908
2001,94.54545454545456,97.0,2.742857142857133,3.05,1.100001032,67.8,13.7,100,73.233,-0.43111111111110745
2002,94.31818181818181,97.0,2.8142857142857167,3.261,1.899998858,67.1,13.0,100,73.285,-0.32444444444445253
2003,94.09090909090912,98.0,3.2,3.485,2.499998406,66.4,12.3,100,73.37,-0.2177777777777976
2004,93.86363636363637,98.0,2.2,3.7880000000000003,4.4000035539999995,65.7,11.5,100,73.486,-0.11111111111111427
2005,93.63636363636363,98.0,3.5,3.585,4.192994028999999,65.0,10.7,100,73.642,0.2
2006,90.0,98.0,4.0,3.852,8.566242791,64.3,9.8,100,73.85,0.1
2007,92.0,98.0,1.6,3.6319999999999997,10.65790133,63.6,9.0,100,74.115,0.4
2008,95.0,99.0,3.7,4.427,6.922597532999999,62.9,8.1,100,74.43,0.2
2009,92.0,99.0,3.5,2.9219999999999997,2.630694203347389,62.2,7.3,100,74.78399999999999,0.2
2010,94.0,99.0,3.385714285714272,4.133,2.463732399,64.8727,6.6,100,75.15100000000001,0.2
2011,95.0,99.0,3.4571428571428555,4.109,3.228454122,67.5455,5.8,100,75.505,0.2
2012,94.0,99.0,3.5285714285714107,3.72,2.83567081644739,70.2182,5.2,100,75.82300000000001,1.3
2013,94.0,99.0,3.5999999999999943,3.588,3.54901408,72.8909,4.6,100,76.089,1.0
2014,91.0,100.0,3.671428571428578,3.5210000000000004,1.7837089640000001,75.5636,4.0,100,76.297,0.9555555555555486
2015,89.0,100.0,3.742857142857133,3.677,3.40285677,78.2364,3.6,100.0,76.452,1.0622222222222035
2016,89.0,100.01307189542484,3.8142857142857167,3.7569999999999997,2.499998046,80.9091,3.1,100.0,76.568,1.1688888888888869
2017,90.90909090909093,100.19573443412452,3.885714285714272,4.113578947368424,3.177298504947373,83.5818,2.8,100.0,76.667,1.2755555555555418
2018,90.68181818181819,100.37839697282419,3.9571428571428555,4.147718693284929,3.245624042647364,86.2545,2.5,100.0,76.77,1.3822222222222251
2019,90.4545454545455,100.56105951152392,4.028571428571411,4.181858439201449,3.3139495803473835,88.9273,2.3,100.0,77.35711747516075,1.48888888888888
2020,90.22727272727275,100.7437220502236,4.099999999999994,4.215998185117968,3.3822751180473745,91.6,0.9331746031746206,100.0,77.51409427235541,1.595555555555535
