year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1972,53.1753846153847,53.88683760683762,34.953333333333376,0.18743692307692328,0.4991104273504279,0.1187661235699693,96.9,7.3465838915233235,53.714,77.48341428571439
1973,54.0208547008549,54.76444444444451,34.3930303030304,0.21752683760684022,0.5019870085470091,0.2457605075348397,97.6,8.351792460392517,54.262,76.00007857142873
1974,54.86632478632487,55.64205128205117,33.832727272727425,0.24761675213675005,0.5048635897435902,0.37275489149968166,98.3,9.35700102926171,54.82,74.51674285714307
1975,55.711794871795064,56.51965811965806,33.27242424242445,0.277706666666667,0.5077401709401714,0.49974927546455206,99.2,10.362209598130903,55.369,73.03340714285741
1976,56.55726495726503,57.39726495726495,32.71212121212125,0.30779658119658393,0.5106167521367526,0.6267436594294225,100.1,11.367418167000096,55.882,71.55007142857175
1977,57.40273504273523,58.27487179487184,32.15181818181827,0.33788649572649376,0.5134933333333338,0.7537380433942928,100.8,12.37262673586929,56.338,70.0667357142861
1978,58.2482051282052,59.152478632478505,31.591515151515296,0.3679764102564107,0.516369914529915,0.8807324273591632,101.3,13.37783530473871,56.731,68.58340000000044
1979,59.0936752136754,60.030085470085396,31.03121212121232,0.39806632478632054,0.5192464957264962,1.0077268113240052,101.4,14.383043873607903,57.067,67.10006428571432
1980,59.939145299145366,60.90769230769229,30.470909090909117,0.4281562393162375,0.5221230769230774,1.1347211952888756,100.8,15.388252442477096,57.373999999999995,65.61672857142867
1981,60.78461538461556,61.78529914529918,29.910606060606142,0.4582461538461544,0.5249996581196585,0.9714498659999999,99.4,16.39346101134629,57.69,64.13339285714301
1982,61.63008547008553,62.66290598290584,29.350303030303166,0.48833606837606425,0.5278762393162397,1.3887099632186164,97.3,17.398669580215483,58.049,62.65005714285735
1983,62.47555555555573,63.54051282051273,28.79000000000019,0.5184259829059812,0.5307528205128209,1.5157043471834868,94.4,18.403878149084676,58.464,61.16672142857169
1984,63.321025641025926,64.41811965811962,28.229696969696988,0.5485158974358981,0.5336294017094021,1.6426987311483288,91.0,19.409086717954096,58.933,59.68338571428603
1985,64.1664957264959,65.29572649572651,27.669393939394013,0.578605811965808,0.5365059829059833,0.46417132899999997,87.3,20.41429528682329,59.451,58.200050000000374
1986,65.01196581196609,66.1733333333334,27.109090909091037,0.6086957264957249,0.5393825641025645,4.767269788,83.7,21.419503855692483,60.007,56.716714285714716
1987,65.85743589743606,67.05094017094007,26.548787878788062,0.6387856410256418,0.5422591452991457,3.5537689410000004,80.3,22.424712424561676,60.556000000000004,55.2333785714286
1988,66.70290598290626,67.92854700854696,25.98848484848486,0.6688755555555517,0.5451357264957268,0.8131488659999999,77.3,23.42992099343087,61.044,53.750042857142944
1989,67.54837606837623,68.80615384615385,25.428181818181884,0.6989654700854686,0.548012307692308,1.858675131,74.6,24.435129562300062,61.42,52.266707142857285
1990,68.39384615384643,70,24.867878787878908,0.7290553846153855,0.578,2.047459978,72.3,25.19654465,61.608000000000004,50.78337142857163
1991,69.0,70,24.307575757575933,0.723,0.5758,8.165612481,70.5,26.27267647,61.531000000000006,49.30003571428597
1992,70.0,71,23.747272727272957,0.76,0.5736,7.189342559,69.3,26.4,61.165,47.81670000000031
1993,73.0,72,23.186969696969754,0.8909999999999999,0.5714,2.785648186832134,68.9,28.42133331,60.516000000000005,46.33336428571465
1994,79.0,73,22.62666666666678,0.983,0.5692,1.7298794419999999,69.3,29.48889732,59.608999999999995,44.85002857142899
1995,74.0,74,22.6,0.985,0.5670000000000001,3.89901419,70.6,30.54834557,58.479,43.36669285714288
1996,70.0,75,20.8,1.025,0.5648,3.19132423,72.1,31.5969696,57.178999999999995,41.88335714285722
1997,66.0,76,18.7,1.023,0.5626,4.220100264,73.6,32.63206482,55.806000000000004,40.40002142857156
1998,74.0,77,22.6,1.055,0.5604,3.2915855560000002,74.8,33.65092468,54.461999999999996,38.916685714285904
1999,72.0,78,20.5,0.893,0.5582,3.369278594,75.4,34.65194321,53.231,37.433350000000246
2000,79.0,79,20.0,0.863,0.556,3.492183222,75.4,36.5,52.192,35.95001428571459
2001,78.0,79,18.2,1.045,0.5616,1.177948858,74.9,36.61275482,51.398999999999994,34.46667857142893
2002,77.0,80,17.5,0.897,0.5672,4.788661308,74.3,37.58034515,50.861999999999995,32.98334285714327
2003,79.0,81,17.35,0.941,0.5728,4.239794315,74.0,38.54459,50.589,31.5
2004,81.0,82,17.2,0.975,0.5784,12.26954803,73.7,39.50938797,50.6,30.0167
2005,86.0,83,16.463333333333367,1.137,0.584,2.5292626030000003,70.2,40.4786377,50.931000000000004,28.5333
2006,86.0,84,15.903030303030391,1.133,0.5896,7.073175362000001,65.6,41.45623779,51.608999999999995,27.05
2007,86.0,85,15.342727272727416,1.135,0.5952,6.617094452999999,60.7,43.7,52.593,25.5667
2008,83.0,86,14.78242424242444,1.5759999999999998,0.6008,2.6498119669999998,55.8,43.44455338,53.817,24.0833
2009,83.0,87,14.222121212121237,1.4369999999999998,0.6064,0.295971028,51.8,44.45271301,55.207,22.6
2010,83.0,87,13.661818181818262,1.426,0.612,6.03924941,49.7,45.4678688,56.665,21.116657142857548
2011,82.0,88,13.101515151515287,1.2770000000000001,0.619,5.091338198,50.4,46.48827362,58.085,19.63332142857189
2012,84.0,89,12.541212121212311,1.493,0.625,5.061682013,52.2,47.51218033,59.387,18.149985714285776
2013,89.0,90,11.980909090909108,1.135,0.632,5.654360807000001,50.1,47.4,60.513000000000005,16.666650000000118
2014,88.0,90,11.420606060606133,1.5819999999999999,0.637,6.458809615,48.1,49.56378174,61.425,15.18331428571446
2015,92.0,91,10.860303030303157,1.554,0.64,5.295222348,47.8,50.57055235290022,62.119,13.699978571428801
2016,92.0,92.50153846153853,10.300000000000182,1.5730000000000002,0.6256800000000009,1.2,46.3,51.575760921769415,62.625,12.216642857143142
2017,91.22153846153856,93.3791452991452,9.739696969696979,1.541483076923079,0.6285565811965821,5.833513401988881,44.5,52.58096949063861,63.021,10.733307142857484
2018,92.06700854700875,94.25675213675208,9.179393939394004,1.5715729914529888,0.6314331623931633,5.960507785953752,43.3,53.5861780595078,63.373000000000005,9.249971428571826
2019,92.91247863247872,95.13435897435897,8.619090909091028,1.6016629059829057,0.6343097435897445,6.087502169918622,42.4,54.591386628376995,59.77699298655756,7.766635714286167
2020,93.75794871794892,96.01196581196587,8.058787878788053,1.6317528205128227,0.6371863247863256,6.214496553883492,44.76857764876604,55.59659519724619,59.91152834599649,6.283300000000054
