year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,43.0297435897437,43.35555555555561,41.67696969696976,-0.17364205128205157,0.46459145299145366,-1.4051664840084186,114.15077406869841,-4.7159189349074495,46.483000000000004,95.2834428571432
1961,43.8752136752139,44.233162393162274,41.11666666666679,-0.14355213675213463,0.46746803418803484,-1.2781721000435482,112.99440412836611,-3.7107103660382563,47.231,93.80010714285754
1962,44.72068376068387,45.110769230769165,40.55636363636381,-0.1134622222222248,0.470344615384616,-1.1511777160786778,111.83803418803427,-2.705501797169063,47.957,92.31677142857143
1963,45.566153846154066,45.988376068376056,39.99606060606084,-0.08337230769230786,0.4732211965811972,-1.0241833321138074,110.68166424770197,-1.70029322829987,48.656000000000006,90.83343571428577
1964,46.411623931624035,46.865982905982946,39.435757575757634,-0.05328239316239092,0.4760977777777784,-0.8971889481489654,109.52529430736968,-0.6950846594306768,49.325,89.35010000000011
1965,47.25709401709423,47.74358974358961,38.87545454545466,-0.023192478632481084,0.4789743589743596,-0.770194564184095,108.36892436703738,0.3101239094385164,49.958,87.86676428571445
1966,48.1025641025642,48.6211965811965,38.31515151515168,0.006897435897435855,0.48185094017094077,-0.6432001802192246,107.21255442670508,1.315332478307937,50.553999999999995,86.3834285714288
1967,48.9480341880344,49.49880341880339,37.75484848484871,0.036987350427352794,0.48472752136752195,-0.5162057962543543,94.7,2.32054104717713,51.11600000000001,84.90009285714314
1968,49.79350427350437,50.37641025641028,37.194545454545505,0.06707726495726263,0.48760410256410314,-0.38921141228948386,95.2,3.3257496160463234,51.65,83.41675714285748
1969,50.638974358974565,51.25401709401717,36.63424242424253,0.09716717948717957,0.4904806837606843,-0.2622170283246419,95.5,4.3309581849155165,52.163000000000004,81.93342142857182
1970,51.484444444444534,52.131623931623835,36.073939393939554,0.1272570940170965,0.4933572649572655,-0.1352226443597715,96.0,5.33616675378471,52.669,80.45008571428616
1971,52.32991452991473,53.009230769230726,35.51363636363658,0.15734700854700634,0.4962338461538467,-0.008228260394901099,96.4,6.341375322653903,53.184,78.96675000000005
