year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,-19.405405405405872,16.98974358974374,0.21899999999999997,0.28019658119658253,3391,0.97,0.49068648857533503,208.8,-37.67002827150782,-41.10860351515112,45.843,82.38145958974383
1961,-17.135135135134988,18.314871794872033,0.195,0.2856059829059845,3415,1.08,3.429674012,206.8,-35.61173592433897,-39.54271127272705,46.278999999999996,81.0979951794875
1962,-14.864864864865012,19.640000000000327,0.20199999999999999,0.2910153846153847,3482,1.19,4.109158606,205.2,-33.55344357716967,-37.97681903030298,46.696000000000005,79.81453076923071
1963,-12.594594594595037,20.96512820512862,0.23600000000000002,0.29642478632478664,3504,1.3,4.405974201,204.0,-31.495151230000374,-36.41092678787845,47.093,78.53106635897439
1964,-10.324324324324152,22.290256410256916,0.22,0.3018341880341886,3479,1.41,2.209327505,203.2,-29.436858882831075,-34.84503454545438,47.468999999999994,77.24760194871806
1965,-8.054054054054177,23.615384615384755,0.22,0.30724358974359056,3426,1.52,1.36899887,202.8,-27.378566535661776,-33.27914230302986,47.823,75.96413753846173
1966,-5.783783783784202,24.94051282051305,0.182,0.3126529914529925,3331,1.64,1.1446369724241379,202.8,-25.320274188492476,-31.713250060605787,48.155,74.6806731282054
1967,-3.513513513513317,26.265641025641344,0.185,0.3180623931623945,3294,1.76,3.075364052,202.9,-23.26198184132363,-30.147357818181717,48.468999999999994,73.39720871794862
1968,-1.2432432432433416,27.590769230769638,0.214,0.32347179487179645,3243,1.88,0.368860329,203.0,-21.203689494154332,-28.581465575757193,48.768,72.11374430769229
1969,1.0270270270266337,28.915897435897932,0.201,0.32888119658119663,3260,2.0,6.0061749639999995,202.9,-19.145397146985033,-27.015573333333123,49.056999999999995,70.83027989743596
1970,3.2972972972975185,30.24102564102577,0.305,0.3342905982905986,3503,2.12,9.723472587,202.3,-17.087104799815734,-25.449681090909053,49.34,69.54681548717963
1971,5.567567567567494,31.566153846154066,0.259,0.33970000000000056,3667,2.2119999999999997,5.216124557,200.8,-15.028812452646434,-23.883788848484528,49.625,68.2633510769233
1972,7.837837837837469,32.89128205128236,0.266,0.3451094017094025,3448,2.3040000000000003,1.7985874562729407,198.6,-12.970520105477135,-22.317896606060458,49.912,66.97988666666697
1973,10.108108108108354,34.216410256410654,0.264,0.3505188034188045,3437,2.396,2.884584195,195.4,-10.912227758307836,-20.752004363635933,50.206,65.69642225641019
1974,12.37837837837833,35.54153846153895,0.305,0.35592820512820644,3579,2.488,6.852516832,191.3,-8.853935411138991,-19.186112121211863,50.507,64.41295784615386
1975,14.648648648648305,36.86666666666679,0.27899999999999997,0.3613376068376084,3067,2.58,2.125562698197342,186.5,-6.795643063969692,-17.620219878787793,50.81100000000001,63.12949343589753
1976,16.91891891891919,38.19179487179508,0.242,0.3667470085470086,2897,2.648,2.234554445505495,181.3,-4.7373507168003925,-16.05432763636327,51.113,61.8460290256412
1977,19.189189189189165,39.516923076923376,0.294,0.37215641025641055,2906,2.716,2.274107244,176.4,-2.6790583696310932,-14.488435393939199,51.409,60.56256461538487
1978,21.45945945945914,40.84205128205167,0.287,0.3775658119658125,3099,2.784,8.475935599,172.3,-0.6207660224617939,-12.922543151514674,51.698,59.27910020512809
1979,23.729729729730025,42.167179487179965,0.252,0.3829752136752145,2976,2.852,2.5615296874298963,169.1,1.4375263247075054,-11.356650909090604,51.983999999999995,57.99563579487176
1980,7,43.492307692307804,0.237,0.38838461538461644,2846,2.92,0.47169594299999995,166.8,3.49581867187635,-9.790758666666534,52.277,56.71217138461543
1981,22,44.8174358974361,0.273,0.3937940170940184,2809,2.988,2.779513182046145,165.2,5.554111019045649,-8.224866424242009,52.585,55.4287069743591
1982,23,46.14256410256439,0.265,0.39920341880342036,2563,3.056,2.8885049293542977,163.7,7.612403366214949,-6.658974181817939,52.92,54.14524256410277
1983,23,47.46769230769269,0.307,0.40461282051282055,2295,3.1239999999999997,2.997496676662422,161.7,9.670695713384248,-5.093081939393869,53.286,52.861778153846444
1984,19,48.79282051282098,0.21,0.4100222222222225,2361,3.1919999999999997,8.647569458,158.7,11.728988060553547,-3.5271896969693444,53.685,51.57831374358966
1985,22,50.11794871794882,0.261,0.41543162393162447,2407,3.26,5.091617273,154.7,13.787280407722847,-1.9612974545452744,54.126999999999995,50.29484933333333
1986,35,51.443076923077115,0.23199999999999998,0.42084102564102643,2431,3.312,5.199160678999999,149.7,15.845572754892146,-0.39540521212074964,54.622,49.011384923077
1987,42,52.76820512820541,0.243,0.4262504273504284,2477,3.364,4.794898878,144.0,17.90386510206099,1.1704870303033204,55.159,40.0
1988,47,54.0933333333337,0.249,0.43165982905983036,2544,3.4160000000000004,5.628168765,138.1,19.96215744923029,2.7363792727273903,55.717,39.7
1989,51,55.418461538462,0.235,0.43706923076923054,2600,3.468,5.0858726999999995,132.3,22.02044979639959,4.302271515151915,56.271,42.2667
1990,58,56,0.26,0.455,2613,3.52,3.328817883,127.2,23.87701988,5.868163757575985,56.776,44.8333
1991,60,57,0.261,0.45799999999999996,2677,3.548,5.28182629,123.0,26.001869199999998,7.434056000000055,57.181999999999995,47.4
1992,62,59,0.257,0.461,2729,3.576,3.879419253,119.8,28.12626648,8.99994824242458,57.461999999999996,45.4714
1993,66,60,0.28600000000000003,0.46399999999999997,2784,3.6039999999999996,4.850000564,117.4,30.6,10.56584048484865,57.605,43.5429
1994,70,62,0.303,0.467,2815,3.6319999999999997,3.299999591,115.6,32.36423874,12.131732727273175,57.62,41.6143
1995,70,63,0.314,0.47,2881,3.66,4.11241904,114.0,34.47240448,13.697624969697245,57.528,39.6857
1996,71,65,0.326,0.473,2968,3.698,4.602461045,112.1,36.56974411,15.263517212121315,57.36600000000001,37.7571
1997,71,66,0.361,0.47600000000000003,3087,3.736,4.1963575760000005,109.8,38.65355682,16.82940945454584,57.187,35.8286
1998,76,68,0.355,0.479,3180,3.7739999999999996,4.700390779,106.8,42.6,18.39530169696991,57.045,33.9
1999,79,69,0.354,0.48200000000000004,3264,3.812,4.39999686,103.2,42.77086639,19.96119393939398,56.972,32.6429
2000,88,71,0.332,0.485,3320,3.85,3.700000115,99.4,44.80556107,21.527086181818504,57.001999999999995,31.3857
2001,79,72,0.35600000000000004,0.4919,3386,3.918,4.0,95.4,46.82911301,23.092978424242574,57.158,30.1286
2002,78,73,0.37200000000000005,0.4988,3469,3.986,4.499999699,91.6,48.84542084,24.6588706666671,57.425,28.8714
2003,80,75,0.373,0.5057,3568,4.053999999999999,5.199999984,88.2,48.3,6.0,57.785,27.6143
2004,80,76,0.35,0.5126,3684,4.122,5.59999999,85.4,52.87189865,20.3,58.225,26.3571
2005,84,77,0.324,0.5195,3828,4.19,5.900003953,82.9,54.88986206,34.6,58.718999999999994,25.1
2006,84,78,0.423,0.5264,3966,4.224,6.399912419,80.5,56.91617966,48.9,59.233999999999995,23.4571
2007,94,80,0.433,0.5333,4035,4.258,4.346819153,78.0,58.95380402,45.5435,59.74100000000001,21.8143
2008,93,81,0.392,0.5402,4313,4.292,9.149799094,75.3,60.5,42.1869,60.216,20.1714
2009,94,82,0.322,0.5471,4452,4.3260000000000005,4.845756132,72.3,63.05879974,38.8304,60.645,18.5286
2010,94,83,0.406,0.5539999999999999,4699,4.36,7.899740293,69.1,65.12267303,35.4739,61.03,16.8857
2011,91,84,0.391,0.563,5395,4.683584313725476,14.04600263,65.9,64.06255999999999,32.1173,61.381,15.2429
2012,92,85,0.461,0.57,5749,4.747515535444933,9.292511869,62.8,69.26441956,28.76078,61.72,13.6
2013,90,87,0.555,0.5760000000000001,6071,4.81144675716439,7.312525021,59.8,70.7,41.88368533333369,62.06399999999999,14.35784584615385
2014,98,88,0.536,0.575,6111,4.875377978883847,3.9858656239999997,57.1,78.3,43.44957757575776,62.416000000000004,13.074381435897521
2015,88,89,0.536,0.579,6109,4.939309200603304,3.915895644,54.6,75.53605082280001,45.01546981818228,62.772,11.790917025641193
2016,93,91.19692307692321,0.5379999999999999,0.5831230769230782,6183,5.003240422322762,3.576648193,52.2,77.5943431699684,46.58136206060635,63.123999999999995,10.507452615384864
2017,110.0,92.5220512820515,0.44488095238095227,0.5885324786324784,6543,5.067171644042219,6.703216085138962,50.0,79.6526355171377,48.14725430303042,63.463,9.223988205128535
2018,112.27027027026998,93.8471794871798,0.44962518364877724,0.5939418803418803,6764,5.131102865761676,6.812207832447115,48.0,81.710927864307,49.71314654545495,63.78,7.940523794871751
2019,114.54054054054086,95.1723076923081,0.4543694149166022,0.5993512820512823,7096,5.195034087481133,6.921199579755239,46.2,83.7692202114763,51.27903878787902,63.72979076563422,6.6570593846154225
2020,116.81081081081084,96.49743589743639,0.4591136461844272,0.6047606837606843,5006.451977401142,5.25896530920059,7.030191327063363,39.402768361582275,85.8275125586456,52.84493103030309,64.02160356516663,5.373594974359094
