year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1998,40.274509803921774,61.0,0.145,0.376797058823529,2.2880000000000003,30.20813102,213.4,-5.764494430889272,50.657,107.1714880952386
1999,50.0,62.0,0.14300000000000002,0.3796999999999997,2.334,21.74144788,201.0,-4.871048339693289,51.233999999999995,102.88576904761976
2000,46.0,62.0,0.146,0.386,2.38,28.61593335,188.0,-3.977602248497533,51.733999999999995,98.6000499999991
2001,42.0,63.0,0.16399999999999998,0.38799999999999996,2.428,2.9187172980000002,175.1,-3.084156157301777,52.236000000000004,94.31433095238026
2002,39.0,64.0,0.16,0.39,2.476,3.762764999,162.3,-2.1907100661060213,52.826,90.02861190476142
2003,35.0,65.0,0.16699999999999998,0.392,2.524,2.9981150968899897,150.1,0.016847257,53.553999999999995,85.74289285714258
2004,31.0,66.0,0.195,0.39399999999999996,2.572,2.620605256,138.9,0.074524812,54.422,81.45717380952374
2005,60.0,67.0,0.22399999999999998,0.396,2.62,5.28197573,129.1,0.29355579600000004,55.393,77.1714547619049
2006,60.0,68.0,0.222,0.39799999999999996,2.696,8.043162022,120.8,0.7968541379999999,56.4,72.88573571428606
2007,65.0,69.0,0.191,0.4,2.772,9.534892858,114.1,3.0,57.365,68.6
2008,75.0,69.0,0.153,0.402,2.8480000000000003,7.146939285,108.6,2.582756519,58.229,64.3143
2009,81.0,70.0,0.136,0.40399999999999997,2.924,5.300099075,104.2,1.9,58.971000000000004,60.0286
2010,70.0,71.0,0.2,0.406,3.0,6.099944692,100.8,4.752286434,59.6,55.7429
2011,77.0,72.0,0.21899999999999997,0.41600000000000004,3.0044862745098015,8.199998146,98.0,4.1,60.146,51.4571
2012,80.0,73.0,0.24600000000000002,0.419,3.054937858220214,7.99445127,95.7,6.942814827,60.663000000000004,47.1714
2013,76.0,74.0,0.22399999999999998,0.425,3.105389441930612,8.703875016,93.8,9.8,61.18600000000001,42.8857
2014,50.0,75.0,0.212,0.42700000000000005,3.155841025641024,0.7011416359999999,94.3,9.140634537,61.723,38.6
2015,52.0,76.0,0.209,0.42700000000000005,3.2062926093514363,3.8380893495132398,91.0,9.424089119439486,62.269,34.31426428571467
2016,79.0,75.68831168831184,0.21,0.42905000000000015,3.2567441930618344,3.9080872038985035,89.3,10.317535210635242,62.802,30.02854523809583
2017,78.39215686274565,76.4517221908527,0.09423245614035025,0.4319529411764709,3.3071957767722466,3.9780850582837672,87.9,11.210981301830998,63.295,25.74282619047699
2018,80.39834881320985,77.21513269339357,0.0833100423472466,0.4348558823529407,3.357647360482659,4.048082912669031,86.4,12.104427393026981,63.73,21.45710714285633
2019,82.40454076367405,77.97854319593466,0.07238762855414294,0.4377588235294114,3.408098944193057,4.118080767054323,84.6,12.997873484222737,62.54754120397433,17.17138809523749
2020,84.4107327141387,78.74195369847553,0.06146521476103928,0.44066176470588214,3.458550527903469,4.188078621439587,89.52666666666664,13.891319575418493,63.026923085914746,12.885669047618649
