year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,-35.96078431372507,32.93732354601934,0.14300000000000002,0.266485294117647,0.56,-0.011792641676606763,310.3,-39.71544589632981,34.264,270.0288119047618
1961,-33.95459236326087,33.70073404856021,0.14,0.2693882352941177,0.584,2.439985421,310.5,-38.82199980513383,34.56,265.743092857143
1962,-31.948400412796218,34.46414455110107,0.214,0.2722911764705884,0.608,1.344606077,310.4,-37.92855371393807,34.911,261.45737380952414
1963,-29.94220846233202,35.22755505364216,0.301,0.27519411764705826,0.632,2.274460637,309.1,-37.035107622742316,35.321999999999996,257.1716547619053
1964,-27.936016511867365,35.99096555618303,0.392,0.278097058823529,0.6559999999999999,5.151961324,307.3,-36.14166153154656,35.796,252.88593571428646
1965,-25.929824561403166,36.75437605872389,0.447,0.2809999999999997,0.68,4.793786277,304.7,-35.248215440350805,36.324,248.6002166666658
1966,-23.923632610938967,37.517786561264984,0.47600000000000003,0.2839029411764704,0.698,7.702655981,301.7,-34.35476934915482,36.895,244.31449761904696
1967,-21.917440660474313,38.28119706380585,0.46399999999999997,0.28680588235294113,0.716,6.7457908589999995,297.9,-33.461323257959066,37.491,240.02877857142812
1968,-19.911248710010113,39.04460756634671,0.654,0.28970882352941185,0.7340000000000001,4.768871689,293.6,-32.56787716676331,38.099000000000004,235.74305952380928
1969,-17.90505675954546,39.808018068887804,0.92,0.29261176470588257,0.752,7.28847301,288.8,-31.674431075567554,38.714,231.45734047619044
1970,-15.89886480908126,40.57142857142867,1.024,0.2955147058823524,0.77,6.663192709,284.0,-30.7809849843718,39.338,227.1716214285716
1971,-13.892672858616606,41.33483907396953,1.045,0.2984176470588231,0.8320000000000001,4.90483027,279.2,-29.887538893175815,39.98,222.88590238095276
1972,-11.886480908152407,42.098249576510625,1.011,0.30132058823529384,0.894,4.140495641,274.7,-28.99409280198006,40.65,218.60018333333392
1973,-9.880288957688208,42.86166007905149,0.9640000000000001,0.30422352941176456,0.956,0.8981794653318786,270.4,-28.100646710784304,41.346000000000004,214.31446428571508
1974,-7.874097007223554,43.625070581592354,1.089,0.3071264705882353,1.018,4.753200336,265.8,-27.207200619588548,42.06100000000001,210.02874523809442
1975,-5.867905056759355,44.388481084133446,0.9109999999999999,0.310029411764706,1.08,1.0381751741024345,261.2,-26.313754528392792,42.786,205.74302619047558
1976,-3.861713106294701,45.15189158667431,0.885,0.3129323529411767,1.16,5.310734074,257.1,-25.42030843719681,43.513999999999996,201.45730714285673
1977,-1.8555211558305018,45.915302089215174,0.8540000000000001,0.31583529411764655,1.24,1.587984567,253.4,-24.526862346001053,44.226000000000006,197.1715880952379
1978,0.15067079463415212,46.678712591756266,0.853,0.31873823529411727,1.32,4.816220628,249.7,-23.633416254805297,44.902,192.88586904761905
1979,2.1568627450983513,47.44212309429713,1.067,0.321641176470588,1.4,3.26481969,246.1,-22.73997016360954,45.52,188.6001500000002
1980,4.163054695563005,48.205533596837995,1.08,0.3245441176470587,1.48,1.3881644460287816,242.8,-21.84652407241356,46.053000000000004,184.31443095238137
1981,6.169246646027204,48.96894409937909,0.991,0.3274470588235294,1.554,1.4581623004140454,239.9,-20.953077981217803,46.474,180.02871190476253
1982,8.175438596491404,49.73235460191995,0.295,0.33035000000000014,1.6280000000000001,1.5281601547993091,237.6,-20.059631890022047,46.776,175.7429928571437
1983,10.181630546956058,50.495765104460816,0.33799999999999997,0.33325294117647,1.702,1.5981580091846013,236.4,-19.16618579882629,46.961999999999996,171.45727380952303
1984,12.187822497420257,51.25917560700191,0.324,0.3361558823529407,1.776,1.668155863569865,236.3,-18.272739707630535,47.038000000000004,167.1715547619042
1985,14.19401444788491,52.02258610954277,0.32799999999999996,0.3390588235294114,1.85,1.7381537179551287,238.2,-17.379293616434552,47.004,162.88583571428535
1986,16.20020639834911,52.785996612083636,0.332,0.34196176470588213,1.9040000000000001,1.8081515723403925,241.7,-16.485847525238796,46.861999999999995,158.6001166666665
1987,18.206398348813764,53.5494071146245,0.35100000000000003,0.34486470588235285,1.9580000000000002,1.8781494267256846,246.7,-15.59240143404304,46.645,154.31439761904767
1988,20.212590299277963,54.31281761716559,0.379,0.34776764705882357,2.012,1.9481472811109484,252.7,-14.698955342847285,46.398999999999994,150.02867857142883
1989,22.218782249742162,55.07622811970646,0.314,0.3506705882352943,2.066,2.018145135496212,258.2,-13.805509251651529,46.174,145.74295952381
1990,24.224974200206816,55.83963862224732,0.22399999999999998,0.3535735294117641,2.12,2.088142989881476,262.6,-12.912063160455546,46.04600000000001,141.45724047619115
1991,26.231166150671015,56.60304912478841,0.136,0.35647647058823484,2.126,2.1581408442667396,264.6,-12.01861706925979,46.097,137.1715214285705
1992,28.23735810113567,57.36645962732928,0.138,0.35937941176470556,2.1319999999999997,2.2281386986520317,263.7,-11.125170978064034,46.357,132.88580238095165
1993,30.24355005159987,58.12987012987014,0.16,0.3622823529411763,2.138,2.2981365530372955,260.2,-10.231724886868278,46.832,128.6000833333328
1994,32.24974200206452,62.0,0.154,0.365185294117647,2.144,2.368134407422559,254.1,-9.338278795672295,47.506,124.31436428571396
1995,34.25593395252872,61.0,0.159,0.3680882352941177,2.15,2.438132261807823,245.9,-8.44483270447654,48.31399999999999,120.02864523809512
1996,36.26212590299292,61.0,0.155,0.37099117647058844,2.1959999999999997,12.12121212,236.2,-7.551386613280783,49.163000000000004,115.74292619047628
1997,38.268317853457575,61.0,0.14800000000000002,0.37389411764705827,2.242,106.27980919999999,225.3,-6.657940522085028,49.963,111.45720714285744
