year,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1999,1.048181818181817,6.487,0.8206,35921,5.26,2.5067731330000003,90.15506270396281,100,80.38292683
2000,0.9854545454545445,6.064,0.825,38247,5.26,7.663460147,89.83833822843837,100,80.87804878
2001,1.0,5.642,0.8323,38359,5.364,0.560825975,89.52161375291382,100,81.42439024
2002,1.0,5.858,0.8396,39018,5.468,1.656729719,89.20488927738938,100,81.42682927
2003,0.8,6.3870000000000005,0.8469,39984,5.572,3.056366722,88.88816480186495,100,81.37804878
2004,0.7,6.126,0.8542,43245,5.676,8.700100888,88.5714403263404,100,81.82926829
2005,0.5,6.421,0.8615,46169,5.78,7.388148915,88.25471585081596,100,81.62926829
2006,0.5,6.125,0.8688,48943,5.794,7.03266663,87.93799137529152,100,82.37560976
2007,0.3,6.332999999999999,0.8761,51852,5.808,6.464825366,87.62126689976697,100,82.32682927
2008,0.5,6.331,0.8834,52758,5.822,2.12793344,87.30454242424253,100,82.37560976
2009,0.7,6.03,0.8907,51225,5.836,3.2013306006106745,83.6,100,82.77560976
2010,0.5,5.785,0.898,54257,5.85,6.767648063999999,84.7,100,82.97804878
2011,0.2,6.193,0.905,56406,5.86,4.8146576660000004,85.8,100,83.42195122
2012,0.23272727272727423,6.106,0.907,56877,5.87,1.700296616,86.9,100,83.4804878
2013,0.1700000000000017,6.291,0.9129999999999999,58316,5.88,3.1015669310000002,88.0,100,83.83170732
2014,0.10727272727272918,6.419,0.9159999999999999,59580,5.89,2.762408155,89.1,100,83.9804878
2015,0.044545454545456664,5.925,0.917,60527,5.9,2.394300776,87.6833,100.0,84.27804878
2016,-0.018181818181815856,5.914,0.9279600000000006,61282,5.91,2.045623879,86.2667,100.0,84.22682927
2017,-0.08090909090908838,7.3128032581453795,0.9338986324786323,63325,5.92,2.024558274949527,84.85,100.0,84.68048780000001
2018,-0.1436363636363609,7.418481894391164,0.9398372649572657,64628,5.93,1.8774617342418765,83.4333,100.0,84.93414634
2019,-0.20636363636363342,7.524160530636948,0.9457758974358974,65750,5.94,1.730365193534226,82.0167,100.0,86.01850857346597
2020,-0.26909090909092015,7.629839166882732,0.9517145299145309,62779.83389830496,5.95,1.5832686528265754,80.6,100.0,86.32013823088084
