year,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1960,3.4945454545454595,0.9620000000000001,0.5953965811965816,5480,3.4,10.409061095285438,102.50731724941738,100.0,66.96168293
1961,3.431818181818187,1.0659999999999998,0.6013352136752133,5664,3.498,10.261964554577787,102.19059277389294,100.0,67.5487561
1962,3.3690909090909145,1.1320000000000001,0.6072738461538467,6473,3.596,14.29086081,101.8738682983684,100.0,68.10597561
1963,3.3063636363636277,1.275,0.6132124786324784,7306,3.694,15.76411466,101.55714382284395,100.0,68.62585366
1964,3.243636363636355,1.237,0.6191511111111119,7749,3.792,8.62759742,101.24041934731952,100.0,69.10436585
1965,3.1809090909090827,1.376,0.6250897435897436,8671,3.89,14.64216399,100.92369487179496,100.0,69.54287805
1966,3.11818181818181,1.446,0.631028376068377,8625,3.958,1.794772483,100.60697039627053,100.0,69.94621951
1967,3.0554545454545377,1.6580000000000001,0.6369670085470087,8580,4.026,1.603569215,100.29024592074609,100.0,70.32578049
1968,2.992727272727265,1.6640000000000001,0.6429056410256422,8679,4.093999999999999,3.3975187539999996,99.97352144522154,100.0,70.69053659
1969,2.9299999999999926,2.0380000000000003,0.6488442735042739,9467,4.162,11.34373521,99.6567969696971,100.0,71.04456098
1970,2.86727272727272,2.166,0.6547829059829056,10146,4.23,9.206425821,99.34007249417266,100.0,71.3865122
1971,2.8045454545454476,2.324,0.660721538461539,10686,4.292,7.29315795,99.02334801864811,100.0,71.45853659
1972,2.741818181818175,2.3209999999999997,0.6666601709401707,11612,4.354,10.61186111,98.70662354312367,100.0,71.45609756
1973,2.6790909090909025,2.287,0.6725988034188042,12842,4.416,12.27963649,98.38989906759923,100.0,72.1097561
1974,2.61636363636363,2.5780000000000003,0.6785374358974359,12897,4.478,2.415185492,98.07317459207468,100.0,72.61219512
1975,2.5536363636363575,2.5989999999999998,0.6844760683760693,12643,4.54,0.49213395299999996,97.75645011655024,100.0,73.36829268
1976,2.490909090909085,2.8689999999999998,0.690414700854701,14289,4.61,16.16439028,97.4397256410258,100.0,72.81951219999999
1977,2.4281818181818124,3.162,0.6963533333333345,15467,4.68,11.72578714,97.12300116550125,100.0,73.31951219999999
1978,2.36545454545454,3.388,0.7022919658119662,16243,4.75,8.260840227000001,96.80627668997681,100.0,73.57560976
1979,2.3027272727272674,3.3139999999999996,0.7082305982905979,17573,4.82,11.55669021,96.48955221445237,100.0,73.67317073
1980,2.239999999999995,3.387,0.7141692307692313,18855,4.89,10.10827904,96.17282773892782,100.0,74.67317073
1981,2.1772727272727224,3.721,0.720107863247863,20158,4.938,9.260886773,95.85610326340338,100.0,75.32439024
1982,2.11454545454545,3.855,0.7260464957264965,20357,4.986000000000001,2.949776338,95.53937878787895,100.0,75.42926829
1983,2.0518181818181773,4.051,0.7319851282051282,21199,5.034,5.9770007089999995,95.2226543123544,100.0,75.27560976
1984,1.9890909090909048,4.247,0.7379237606837616,22983,5.082,9.97386411,94.90592983682996,100.0,76.02926829
1985,1.9263636363636323,4.309,0.7438623931623933,22739,5.13,0.757091345,94.58920536130552,100.0,76.43414634
1986,1.8636363636363598,4.734,0.7498010256410268,24779,5.167999999999999,11.05606631,94.27248088578096,100.0,76.68536585
1987,1.8009090909090872,5.121,0.7557396581196585,27518,5.206,13.39842874,93.95575641025653,100.0,76.88292683
1988,1.7381818181818147,5.252000000000001,0.7616782905982902,29230,5.244,8.511546923,93.63903193473209,100.0,77.08292683
1989,1.6754545454545422,5.32,0.7676169230769236,29504,5.282,2.2770027219999998,93.32230745920754,100.0,77.02926829
1990,1.6127272727272697,4.724,0.7809999999999999,30076,5.32,3.830461852,93.0055829836831,100,77.3804878
1991,1.5499999999999972,4.888999999999999,0.7854,31449,5.308,5.70192436,92.68885850815866,100,77.88292683
1992,1.4872727272727246,5.587000000000001,0.7898,32999,5.296,6.234898845,92.37213403263411,100,77.67804878
1993,1.4245454545454521,5.84,0.7942,34401,5.284,6.201078916,92.05540955710967,100,78.03170732
1994,1.3618181818181796,5.162999999999999,0.7986,35755,5.272,6.0360197179999995,91.73868508158523,100,78.52926829
1995,1.299090909090907,5.12,0.8029999999999999,35723,5.26,2.373783132,91.42196060606068,100,78.68292683
1996,1.2363636363636346,4.662,0.8074,36363,5.26,4.258536909,91.10523613053624,100,79.62682927
1997,1.173636363636362,4.827,0.8118,37924,5.26,5.099680858,90.7885116550118,100,80.12682927
1998,1.1109090909090895,6.035,0.8162,35335,5.26,4.8193925483948306,90.47178717948725,100,80.13170732
