year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,37.76577540106928,59.52797101449278,0.099,0.3225955882352931,10.980672920241147,181.1,-48.86301471452316,48.461000000000006,69.98322857142875
1961,38.97647058823486,60.11449275362315,0.09699999999999999,0.3286764705882348,10.867137136028532,178.8,-46.28620952881556,48.66,68.66656428571423
1962,40.1871657754009,60.70101449275376,0.095,0.3347573529411765,10.753601351815945,176.5,-43.70940434310796,48.943999999999996,67.34990000000016
1963,41.39786096256648,61.28753623188413,0.046,0.34083823529411816,10.64006556760333,173.9,-41.132599157400364,49.323,66.03323571428609
1964,42.60855614973252,61.87405797101451,0.134,0.3469191176470581,10.526529783390714,171.1,-38.555793971692765,49.797,64.71657142857157
1965,43.819251336898105,62.460579710144884,0.13,0.35299999999999976,10.412993999178099,167.9,-35.97898878598426,50.345,63.3999071428575
1966,45.02994652406369,63.04710144927549,0.083,0.35908088235294144,10.299458214965483,163.9,-33.40218360027666,50.934,62.08324285714298
1967,46.24064171122973,63.63362318840586,0.08,0.36516176470588135,10.185922430752868,159.9,-30.82537841456906,51.532,60.76657857142891
1968,47.45133689839531,64.22014492753624,0.11699999999999999,0.37124264705882304,10.072386646540252,155.1,-28.24857322886146,52.119,59.449914285714385
1969,48.66203208556135,64.80666666666684,0.151,0.3773235294117647,9.958850862327637,149.7,-25.67176804315386,52.698,58.13325000000032
1970,49.872727272726934,65.39318840579722,0.14800000000000002,0.3834044117647064,9.845315078115021,143.8,-23.094962857446262,53.298,56.81658571428579
1971,51.08342245989297,65.9797101449276,0.147,0.3894852941176463,9.731779293902406,137.6,-20.518157671738663,53.97,55.499921428571724
1972,52.294117647058556,66.56623188405797,0.183,0.395566176470588,9.618243509689819,131.1,-17.941352486031064,54.745,54.1832571428572
1973,53.50481283422414,67.15275362318857,0.22,0.4016470588235297,9.504707725477203,124.5,-15.364547300323466,55.631,52.86659285714313
1974,54.71550802139018,67.73927536231895,0.257,0.4077279411764696,9.391171941264588,118.0,-12.787742114615867,56.608999999999995,51.54992857142861
