year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,7.746880570409985,5.16923076923058,0.075,2412,2.7625397164909202,75.0059876882377,304.4451708817496,-0.8190560494767851,36.976,49.22584046153844
1961,8.483511586452778,6.335384615384555,0.08900000000000001,2422,0.19179548899999999,75.12977676027674,301.17236500341824,0.26414129361546657,37.431,49.38676369230768
1962,9.22014260249557,7.501538461538075,0.08900000000000001,2487,4.102992588999999,75.25356583231581,297.89955912508594,1.3473386367077183,37.871,49.547686923076924
1963,9.956773618538364,8.66769230769205,0.111,2642,8.57861892,75.37735490435489,294.62675324675365,2.4305359798004247,38.291,49.708610153846166
1964,10.693404634581157,9.833846153846025,0.14800000000000002,2677,4.9504886589999995,75.50114397639396,323.3,3.5137333228926764,38.691,49.86953338461535
1965,11.430035650623722,11.0,0.23399999999999999,2775,4.884976838,75.62493304843304,316.2,4.596930665984928,39.071999999999996,50.030456615384594
1966,12.166666666666515,12.16615384615352,0.252,2608,3.0336355183687687,75.74872212047211,309.2,5.68012800907718,39.442,50.191379846153836
1967,12.903297682709308,13.332307692307495,0.245,2140,3.0788181520150744,75.87251119251118,302.4,6.763325352169431,39.809,50.35230307692308
1968,13.639928698752101,14.49846153846147,0.124,2056,3.1240007856613943,75.99630026455026,295.8,7.846522695261683,40.184,50.513226307692264
1969,14.376559714794894,15.66461538461499,0.221,2533,24.19738395,76.12008933658933,288.9,8.929720038353935,40.569,50.674149538461506
1970,15.113190730837687,16.830769230768965,0.384,3217,25.00724193,76.2438784086284,281.4,10.012917381446186,40.971000000000004,50.83507276923075
1971,15.84982174688048,17.99692307692294,0.563,3492,14.23753156,76.36766748066748,273.8,11.096114724538893,41.391999999999996,50.99599599999999
1972,16.586452762923273,19.163076923076915,0.706,3519,3.36426203,76.49145655270655,265.7,12.179312067631145,41.82899999999999,51.15691923076923
1973,17.323083778966065,20.329230769230435,0.8240000000000001,3710,5.392760484,76.61524562474563,257.4,13.262509410723396,42.276,51.31784246153842
1974,18.05971479500886,21.49538461538441,1.0090000000000001,4020,11.16067455,76.7390346967847,249.3,14.345706753815648,42.729,51.47876569230766
1975,18.79634581105165,22.661538461538385,0.747,3785,3.4402792211855484,76.86282376882377,241.5,15.4289040969079,43.187,51.6396889230769
1976,19.532976827094444,23.827692307691905,0.846,4072,9.04235173,76.98661284086282,234.0,16.51210144000015,43.647,51.800612153846146
1977,20.269607843137237,24.99384615384588,0.752,4095,6.024117846,77.11040191290189,227.2,17.595298783092403,44.104,51.96153538461539
1978,21.00623885918003,26.159999999999854,0.696,3741,3.5758271221244797,77.23419098494097,221.1,18.678496126184655,44.547,52.12245861538457
1979,21.742869875222823,27.32615384615383,0.9840000000000001,3883,6.759430935,77.35798005698004,215.9,19.76169346927736,44.963,52.283381846153816
1980,22.479500891265616,28.49230769230735,0.927,3838,4.204831047,77.48176912901911,211.8,20.844890812369613,45.333,52.44430507692306
1981,23.21613190730841,29.658461538461324,0.873,3424,3.711375023063411,77.60555820105819,208.7,21.928088155461865,45.637,52.6052283076923
1982,23.9527629233512,30.8246153846153,0.846,3292,3.7565576567097168,77.72934727309726,206.9,23.011285498554116,45.867,52.76615153846154
1983,24.689393939393767,31.99076923076882,0.754,3007,3.8017402903560225,77.85313634513633,206.2,24.094482841646368,46.023,52.92707476923073
1984,9.0,33.156923076922794,0.8540000000000001,2819,3.846922924002328,77.97692541717541,206.3,25.17768018473862,46.106,53.08799799999997
1985,16.0,34.32307692307677,0.835,2990,8.3228297,78.10071448921448,206.9,26.26087752783087,46.126999999999995,45.3
1986,22.0,35.489230769230744,0.856,2969,3.9372881912949538,78.22450356125356,207.8,27.344074870923123,46.101000000000006,46.9857
1987,29.0,36.655384615384264,0.6729999999999999,2871,3.9824708249412595,78.34829263329263,208.7,28.42727221401583,46.048,48.6714
1988,36.0,37.82153846153824,0.782,3075,7.542522025,78.4720817053317,209.4,29.51046955710808,45.99,50.3571
1989,47.0,38.987692307692214,0.457,3190,6.467191144,78.59587077737078,209.7,30.593666900200333,45.93899999999999,52.0429
1990,56.0,40,0.41100000000000003,3271,12.76600917,78.71965984940985,209.5,27.3,45.9,53.7286
1991,39.0,41,0.43200000000000005,3170,4.1632013595264965,78.84344892144892,209.0,32.59526825,45.875,55.4143
1992,43.0,42,0.465,3158,0.43372535700000003,78.967237993488,208.3,33.74772263,45.857,57.1
1993,29.0,44,0.439,3127,2.090377801,79.09102706552704,207.4,34.89747238,45.845,58.7
1994,44.0,45,0.33399999999999996,3057,0.909763335,65.5,206.1,36.04180908,45.843,60.3
1995,34.0,46,0.332,3038,4.3439318941117335,69.26,204.1,37.17802811,45.854,61.9
1996,26.0,47,0.358,3085,4.993705537,73.02,201.4,38.30342102,45.88,63.5
1997,21.0,48,0.373,3098,2.8022564389999998,76.78,197.8,39.41529083,45.923,62.0714
1998,32.0,50,0.325,3100,2.7156401789999998,80.54,193.5,40.51092148,45.994,60.6429
1999,31.0,51,0.337,3042,0.474237575,84.3,188.5,44.9,46.103,59.2143
2000,29.0,52,0.621,3131,5.318093381000001,84.3267,183.1,42.65146255,46.266999999999996,57.7857
2001,27.0,53,0.6829999999999999,3256,4.411065196,84.3533,177.7,43.70307159,46.51,56.3571
2002,25.0,54,0.727,3636,3.7846481830000003,84.38,172.0,44.74743271,46.835,54.9286
2003,29.0,55,0.769,3877,10.35418456,84.4067,166.4,52.2,47.242,53.5
2004,33.0,57,0.77,4170,33.73577503,84.4333,160.8,46.830020899999994,47.72,53.5
2005,36.0,58,0.763,4348,3.444666813,84.46,155.5,47.87604141,48.251999999999995,53.5
2006,40.0,59,0.693,4523,8.210964859,84.4867,150.6,48.93041611,48.812,53.5
2007,42.0,60,0.649,4732,6.8283983479999995,84.5133,146.0,49.99609756,49.373000000000005,53.5
2008,53.0,61,0.639,4945,6.270263697000001,84.54,142.2,50.3,49.913000000000004,53.5
2009,63.0,62,0.49700000000000005,5224,6.934416004,84.5667,138.8,52.15720367,50.422,53.5
2010,54.0,63,0.5770000000000001,5668,7.839739477,84.5933,136.0,48.0,50.896,57.272001999999986
2011,48.0,65,0.5870000000000001,5797,4.887386611,84.62,133.6,55.9,51.346000000000004,57.43292523076923
2012,42.0,66,0.588,5896,4.279277314,84.6467,131.7,55.44699097,51.786,57.593848461538414
2013,46.0,67,0.5710000000000001,6061,5.3944163110000005,84.6733,129.9,55.6,52.228,57.754771692307656
2014,49.0,68,0.545,6286,6.309718253,84.7,128.5,57.65213776,52.672,57.9156949230769
2015,49.0,69,0.5670000000000001,6296,2.6526936230000002,82.65,126.8,58.75679782060024,53.111999999999995,58.07661815384614
2016,49.0,70.4738461538459,0.55,6045,5.292767200684224,80.6,125.0,59.83999516369249,53.541000000000004,58.23754138461538
2017,49.7348484848485,71.63999999999987,0.6855382205513791,5947,5.33794983433053,78.55,122.8,60.923192506784744,53.95,58.39846461538457
2018,50.47147950089129,72.80615384615385,0.6900861204735982,5918,5.383132467976836,76.5,120.0,62.006389849876996,54.332,58.55938784615381
2019,51.208110516934084,73.97230769230737,0.6946340203958172,5934,5.4283151016231415,74.45,117.2,63.08958719296925,52.91705610753945,58.72031107692305
2020,51.94474153297688,75.13846153846134,0.6991819203180363,5401.532768361591,5.473497735269461,72.4,108.07681818181845,64.17278453606195,53.160373232028064,58.881234307692296
