year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,-46.25971407624638,-8.936752136752148,0.008,746,2.5601392448993607,342.9,-15.082423490046267,39.459560714285715,34.431999999999995,154.83095619047663
1961,-43.64296187683249,-7.216068376068506,0.018000000000000002,772,4.043927977,339.1,-14.479048145730758,39.61392500000005,34.897,152.74643229437243
1962,-41.0262096774195,-5.49538461538441,0.016,814,6.128798781,335.3,-13.875672801415476,39.76828928571433,35.369,150.66190839826868
1963,-38.409457478005606,-3.774700854700768,0.018000000000000002,799,2.7510619253460504,331.6,-13.272297457099967,39.92265357142861,35.847,148.57738450216493
1964,-35.79270527859262,-2.0540170940171265,0.022000000000000002,811,2.282819223,328.4,-12.668922112784685,40.07701785714289,36.330999999999996,146.49286060606073
1965,-33.175953079178726,-0.3333333333334849,0.019,835,3.764545381,325.5,-12.065546768469176,40.23138214285717,36.815,144.40833670995744
1966,-30.55920087976574,1.3873504273506114,0.019,832,0.537613083,323.4,-11.462171424153894,40.38574642857145,37.291,142.32381281385278
1967,-27.942448680351845,3.108034188034253,0.019,896,8.823314975,320.9,-10.858796079838612,40.54011071428573,37.754,140.23928891774904
1968,-25.32569648093795,4.828717948717895,0.018000000000000002,914,3.0707739380000003,318.8,-10.255420735523103,40.69447500000001,38.207,138.1547650216453
1969,-22.708944281524964,6.549401709401536,0.022000000000000002,921,2.026081041,316.7,-9.652045391207821,40.84883928571429,38.652,136.07024112554154
1970,-20.09219208211107,8.270085470085633,0.025,913,0.117019611,314.2,-9.048670046892312,41.00320357142857,39.095,133.9857172294378
1971,-17.475439882698083,9.990769230769274,0.026000000000000002,938,1.4133398819999998,311.3,-8.44529470257703,41.15756785714291,39.542,131.90119333333405
1972,-14.858687683284188,11.711452991452916,0.027000000000000003,964,2.311498741,307.1,-7.841919358261521,41.31193214285719,40.003,129.8166694372294
1973,-12.241935483871202,13.432136752136557,0.028999999999999998,900,0.449327405,301.0,-7.238544013946239,41.46629642857147,40.493,127.73214554112565
1974,-9.625183284457307,15.152820512820654,0.035,871,8.286426482000001,292.9,-6.63516866963073,41.62066071428575,41.025,125.6476216450219
1975,-7.008431085044322,16.873504273504295,0.036000000000000004,821,2.99838289,283.4,-6.031793325315448,41.77502500000003,41.63,123.56309774891815
1976,-4.3916788856304265,18.594188034187937,0.033,800,8.53489497,272.8,-5.428417980999939,41.92938928571431,42.343,121.4785738528144
1977,-1.7749266862165314,20.314871794872033,0.039,838,0.37035355799999997,262.6,-4.825042636684657,42.08375357142859,43.166000000000004,119.39404995671066
1978,0.8418255131964543,22.035555555555675,0.054000000000000006,915,4.607825005,253.3,-4.221667292369375,42.23811785714287,44.081,117.309526060606
1979,3.4585777126103494,23.756239316239316,0.061,902,3.664621512,245.2,-3.618291948053866,42.39248214285715,45.06,115.22500216450226
1980,6.075329912023335,25.476923076922958,0.063,896,0.7968788720000001,238.4,-3.014916603738584,42.54684642857143,46.049,113.14047826839851
1981,8.69208211143723,27.197606837607054,0.08,912,4.255303393999999,232.8,-2.4115412594230747,42.70121071428571,46.983999999999995,111.05595437229476
1982,11.308834310850216,28.918290598290696,0.081,910,9.562196623,227.7,-1.808165915107793,42.855575000000044,47.81,108.97143047619102
1983,13.925586510264111,30.638974358974338,0.08,877,0.34598474,223.2,-1.2047905707922837,43.009939285714324,48.486000000000004,106.88690658008727
1984,16.542338709677097,32.35965811965798,0.062,868,4.087520688472836,218.7,-0.6014152264770019,43.164303571428604,48.992,104.80238268398261
1985,9.0,34.080341880342075,0.062,956,8.517364995,214.4,0.001960117838507358,43.318667857142884,49.323,102.71785878787887
1986,19.0,35.80102564102572,0.061,1077,7.955362728,209.7,0.6053354621537892,43.473032142857164,49.492,100.63333489177512
1987,23.0,37.52170940170936,0.064,1027,4.278443368919525,205.6,1.2087108064692984,43.627396428571444,49.55,98.54881099567137
1988,34.0,39.242393162393,0.066,1079,5.795592965,202.3,1.8120861507845802,43.781760714285724,49.545,96.46428709956763
1989,44.0,40.9630769230771,0.096,1032,2.150267276,200.0,2.415461495099862,43.936125000000004,49.505,94.37976320346388
1990,66.0,44,0.066,989,4.469366049366215,198.5,2.752827406,44.090489285714284,49.45399999999999,92.29523930735922
1991,53.0,44,0.07,1044,9.069984461,198.0,3.429683208,44.244853571428564,49.409,90.21071541125548
1992,39.0,45,0.068,1012,0.23271076300000001,197.7,4.106088161000001,44.3992178571429,49.373999999999995,88.12619151515173
