year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1993,39.0,47,0.066,1013,3.461384935,197.4,6.1,44.55358214285718,49.36,86.04166761904798
1994,36.0,49,0.065,990,1.3150072720000001,196.6,5.448074817999999,44.70794642857146,49.38,83.1
1995,34.0,51,0.062,1012,5.716373867000001,195.0,6.108244896,44.86231071428574,49.445,82.725
1996,37.0,53,0.068,1088,11.01474387,192.5,6.757591724,45.01667500000002,49.556999999999995,82.35
1997,39.0,54,0.076,1122,6.316834735,189.4,7.393409729,45.1710392857143,49.713,81.975
1998,15.0,56,0.078,1167,7.307719633,186.1,8.012992859,45.32540357142858,49.913999999999994,81.6
1999,15.0,58,0.08199999999999999,1213,7.404178966,182.7,6.9,45.47976785714286,50.168,76.74
2000,45.0,60,0.09,1198,1.8202418930000002,179.2,9.20143795,45.63413214285714,50.489,71.88
2001,62.0,62,0.084,1229,6.613399555,175.1,9.776995658999999,45.78849642857142,50.893,67.02
2002,69.0,64,0.081,1227,4.353004323,170.7,10.34531021,45.94286071428576,51.38399999999999,62.16
2003,79.0,65,0.085,1274,7.802439897999999,165.6,11.4,50.0,51.956,57.3
2004,79.0,67,0.084,1290,4.478474349,159.8,11.47579956,47.3667,52.602,56.9667
2005,82.0,69,0.083,1359,8.661861605,153.4,12.04577255,44.7333,53.31,56.6333
2006,86.0,71,0.098,1396,6.253158603999999,146.6,12.62409592,42.1,54.063,56.3
2007,89.0,73,0.11599999999999999,1413,5.655005117999999,139.7,13.213726999999999,44.15,54.841,55.9667
2008,93.0,75,0.131,1449,7.29449815,133.2,13.81385708,46.2,55.618,55.6333
2009,92.0,76,0.127,1446,2.9620143710000004,127.2,14.42273808,48.25,56.376999999999995,55.3
2010,91.0,78,0.126,1520,8.446325182999999,121.7,13.1,50.3,57.096000000000004,52.98
2011,91.0,80,0.13699999999999998,1572,6.521769448,116.9,15.65974617,47.33213928571428,57.761,50.66
2012,90.0,82,0.159,1623,6.452674753999999,112.5,16.28437614,47.486503571428614,58.373999999999995,48.34
2013,88.0,82,0.179,1665,2.8146630760000004,108.3,16.91075516,47.640867857142894,58.937,46.02
2014,91.0,82,0.162,1685,4.1859447460000005,104.4,19.2,47.795232142857174,59.45,43.7
2015,91.0,82,0.158,1698,3.998022357,100.7,18.10322044729992,47.94959642857145,59.919,40.18214190476192
2016,91.0,87.4215384615386,0.159,1745,5.861690066,97.0,18.706595791615428,48.10396071428573,60.354,38.09761800865817
2017,102.8951612903229,89.14222222222224,0.14038095238095227,1801,6.1876701733863655,93.9,19.30997113593071,48.25832500000001,60.768,36.01309411255443
2018,105.51191348973589,90.86290598290589,0.14279033791374918,1853,6.25131106686861,90.7,19.91334648024599,48.41268928571429,61.174,33.92857021645068
2019,108.12866568914978,92.58358974358953,0.14519972344654697,1907,6.314951960350825,87.5,20.5167218245615,48.56705357142857,60.825910578608955,31.844046320346933
2020,110.74541788856277,94.30427350427362,0.14760910897934476,1639.1694915254266,6.378592853833069,79.67237288135766,21.120097168876782,48.72141785714285,61.25518725891288,29.759522424243187
