year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1977,73.2908961593173,44.517948717948684,47.09999999999991,3.181,0.45236820512820586,1.0344191966913172,163.37491289198624,52.43059758339996,27.95333782334069,56.86,46.15241578947371
1978,74.0440967283073,45.06324786324785,45.90000000000009,3.6039999999999996,0.4595890598290602,1.1999795539663864,172.0,53.32592219079993,27.50822111112086,56.861000000000004,44.79769157894725
1979,74.79729729729729,45.60854700854702,44.70000000000027,3.821,0.4668099145299145,1.3655399112414557,166.0,54.2212467981999,27.063104398901146,56.875,43.44296736842125
1980,76,46.15384615384619,43.5,4.066,0.4740307692307688,1.531100268516525,160.4,55.11657140559987,26.617987686681317,56.93600000000001,42.088243157894794
1981,78,46.69914529914536,42.30000000000018,3.83,0.4812516239316249,1.6966606257915942,155.1,56.01189601300007,26.172870974461603,57.074,40.73351894736834
1982,79,47.244444444444525,41.09999999999991,3.803,0.4884724786324792,8.342136115,149.9,56.90722062040004,25.727754262241774,57.295,39.37879473684234
1983,79,47.78974358974369,39.90000000000009,3.8339999999999996,0.49569333333333354,5.834037953999999,144.8,57.80254522780001,25.282637550021946,57.595,38.02407052631588
1984,77,48.335042735042634,38.70000000000027,3.4419999999999997,0.5029141880341879,5.933419453,139.9,58.69786983519998,24.83752083780223,57.968,36.669346315789426
1985,80,48.8803418803418,37.5,4.6930000000000005,0.5101350427350422,5.712872261,134.5,59.59319444259995,24.392404125582402,58.391999999999996,35.314622105263425
1986,81,49.42564102564097,36.30000000000018,4.893,0.5173558974358983,9.374994512999999,129.0,60.48851904999992,23.947287413362687,58.836000000000006,33.95989789473697
1987,80,49.97094017094014,35.09999999999991,5.202999999999999,0.5245767521367526,3.458648471,123.5,61.38384365739989,23.50217070114286,59.266000000000005,32.60517368421051
1988,82,50.51623931623931,33.90000000000009,5.546,0.5317976068376069,5.107972312,118.1,62.279168264799864,23.05705398892303,59.655,31.25044947368451
1989,84,51.061538461538476,32.70000000000027,4.9319999999999995,0.5390184615384612,4.178195743,112.9,63.17449287220006,22.611937276703316,59.992,29.895725263158056
1990,84,53,31.5,4.569,0.579,3.1867038412672173,108.1,63.81956482,22.166820564483487,60.268,28.5410010526316
1991,81,53,30.300000000000182,5.478,0.5799,3.3522641985422865,103.7,64.78656769,21.721703852263772,60.486000000000004,27.186276842105144
1992,64,53,29.09999999999991,4.908,0.5808,3.5178245558173558,99.6,65.75312042,21.276587140043944,60.67,25.831552631579143
1993,79,53,27.90000000000009,4.1,0.5817,3.683384913092425,95.7,66.71696472,20.83147042782423,60.841,24.476828421052687
1994,78,53,26.700000000000273,3.4819999999999998,0.5826,2.134382694,91.9,67.67539978,20.3863537156044,61.015,23.12210421052623
1995,88,54,25.5,3.4419999999999997,0.5835,6.376426887,88.1,68.62571716,19.941237003384572,61.211000000000006,13.9
1996,90,54,24.300000000000182,3.471,0.5844,2.235093843,84.0,69.56521606,19.496120291164857,61.446999999999996,18.2333
1997,92,55,23.09999999999991,3.2969999999999997,0.5853,3.8967135839999996,79.6,70.49118042,19.05100357894503,61.73,22.5667
1998,94,55,21.90000000000009,3.2689999999999997,0.5862,3.3399366,75.0,71.40090942,18.605886866725314,62.063,26.9
1999,94,56,20.700000000000273,3.177,0.5871,3.0703690089999998,70.3,72.2928009,18.160770154505485,62.446000000000005,22.825
2000,94,56,19.5,3.128,0.588,1.146062137,65.5,67.3,22.02146,62.869,18.75
2001,95,57,18.300000000000182,3.2560000000000002,0.5993,2.952710544,60.7,74.03535461,20.0972,63.318999999999996,14.675
2002,98,58,17.09999999999991,3.388,0.6106,4.732978463999999,56.1,74.89381409,18.1729,63.777,10.6
2003,98,59,15.900000000000091,3.252,0.6219,7.004634576,51.8,76.3,16.2486,64.23,8.74
2004,99,60,13.2,3.42,0.6332,10.62540596,47.7,76.604599,14.3243,64.671,6.88
2005,99,60,15.6,3.388,0.6445,7.253665441,44.1,86.2,12.4,65.10300000000001,5.02
2006,99,61,13.0,3.6710000000000003,0.6558,8.556234809,40.8,78.33319092,11.25,65.538,3.16
2007,95,62,11.2,4.65,0.6671,10.24801636,37.8,79.21296692,10.1,65.985,1.3
2008,96,62,7.9,4.577,0.6784,8.900367946,35.1,80.10324859999999,11.28,66.447,1.1333
2009,95,63,8.1,4.906000000000001,0.6897,6.332350629493533,32.5,81.00227356,12.46,66.916,0.9667
2010,96,63,8.7,5.091,0.701,6.365161685,30.2,81.90830231,13.64,67.38,0.8
2011,99,63,6.300000000000182,7.778,0.7120000000000001,17.29077735,27.9,82.81958008,14.82,67.818,0.6
2012,99,64,5.099999999999909,9.31,0.72,12.31981973,25.7,83.73435211,16.0,68.217,0.4
2013,98,64,3.900000000000091,13.495,0.7290000000000001,11.64891583,23.7,81.2,14.69906738,68.566,0.3
2014,99,64,2.700000000000273,7.121,0.733,7.8852258289999995,21.9,85.56769562,11.484019471208853,68.863,0.2
2015,99,64,1.5,7.4,0.735,2.3571711890000002,20.2,86.45293266459998,11.038902758989025,69.111,-5.327104210526159
2016,99,65.78461538461534,0.3000000000001819,8.634,0.7339815384615385,0.975660802,18.8,87.34825727199996,10.593786046769196,69.321,-6.681828421052614
2017,103.41891891891896,66.3299145299145,-0.900000000000091,6.660241228070191,0.7412023931623928,7.6568334876941435,17.5,88.24358187939993,10.148669334549481,69.509,-8.03655263157907
2018,104.17211948790896,66.87521367521367,-2.099999999999909,6.753267090139161,0.7484232478632489,7.822393844969213,16.5,89.1389064867999,9.703552622329653,69.689,-9.391276842105071
2019,104.92532005689895,67.42051282051284,-3.299999999999727,6.846292952208103,0.7556441025641032,7.987954202244282,15.6,90.03423109419987,9.258435910109938,69.80474751607255,-10.746001052631527
2020,105.67852062588895,67.96581196581201,-4.5,6.9393188142770725,0.7628649572649575,8.153514559519351,-6.603484320557982,90.92955570159984,8.81331919789011,70.12799164231456,-12.100725263157983
