year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,60.486486486486456,35.24786324786328,67.5,1.35,0.32961367521367535,-1.7801068769848598,230.5756745806657,37.2100792576,35.52032193107698,48.391999999999996,69.18272736842118
1961,61.23968705547645,35.79316239316245,66.30000000000018,1.415,0.33683452991452967,-1.6145465197097906,226.62268859897904,38.10540386499997,35.07520521885715,49.303999999999995,67.82800315789473
1962,61.99288762446645,36.338461538461615,65.09999999999991,1.9480000000000002,0.34405538461538576,-1.4489861624347213,222.66970261729148,39.00072847239994,34.63008850663732,50.185,66.47327894736873
1963,62.74608819345667,36.883760683760784,63.90000000000009,1.535,0.3512762393162401,-1.283425805159652,218.71671663560483,39.89605307979991,34.184971794417606,51.012,65.11855473684227
1964,63.49928876244667,37.42905982905995,62.70000000000027,1.899,0.3584970940170944,-1.1178654478845829,214.76373065391726,40.79137768719988,33.73985508219778,51.771,63.763830526315814
1965,64.25248933143666,37.97435897435889,61.5,1.77,0.3657179487179487,-0.9523050906095136,210.8107446722306,41.68670229460008,33.29473836997806,52.461000000000006,62.40910631578936
1966,65.00568990042666,38.51965811965806,60.30000000000018,1.7109999999999999,0.37293880341880303,-0.7867447333344444,206.85775869054396,42.58202690200005,32.849621657758235,53.098,61.05438210526336
1967,65.75889046941688,39.06495726495723,59.09999999999991,1.8330000000000002,0.3801596581196591,-0.6211843760593752,202.9047727088564,43.47735150940002,32.40450494553852,53.702,59.6996578947369
1968,66.51209103840688,39.6102564102564,57.90000000000009,2.055,0.38738051282051345,-0.4556240187843059,198.95178672716975,44.372676116799994,31.95938823331869,54.285,58.344933684210446
1969,67.26529160739688,40.155555555555566,56.70000000000027,2.157,0.39460136752136776,-0.2900636615092367,194.99880074548219,45.268000724199965,31.514271521098863,54.845,56.990209473684445
1970,68.01849217638687,40.700854700854734,55.5,2.229,0.4018222222222221,-0.12450330423416744,191.04581476379553,46.163325331599935,31.069154808879148,55.364,55.63548526315799
1971,68.77169274537687,41.2461538461539,54.30000000000018,2.301,0.4090430769230764,0.04105705304090179,187.09282878210797,47.058649938999906,30.62403809665932,55.818999999999996,54.28076105263153
1972,69.52489331436709,41.79145299145307,53.09999999999991,2.418,0.4162639316239325,0.20661741031597103,183.13984280042132,47.95397454639988,30.178921384439604,56.192,52.92603684210553
1973,70.27809388335709,42.33675213675224,51.90000000000009,2.491,0.4234847863247868,0.37217776759104026,179.18685681873376,48.849299153800075,29.733804672219776,56.477,51.571312631579076
1974,71.03129445234708,42.88205128205141,50.70000000000027,2.6069999999999998,0.43070564102564113,0.5377381248661095,175.2338708370471,49.744623761200046,29.28868796000006,56.676,50.21658842105262
1975,71.78449502133708,43.42735042735035,49.5,2.7439999999999998,0.43792649572649545,0.7032984821411787,171.28088485536045,50.63994836860002,28.843571247780233,56.79600000000001,48.86186421052662
1976,72.53769559032708,43.972649572649516,48.30000000000018,2.8930000000000002,0.44514735042735154,0.868858839416248,167.3278988736729,51.53527297599999,28.398454535560404,56.848,47.50714000000016
