year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1978,15.708751608751754,39.43418803418808,0.24600000000000002,0.3854622222222224,2957,2.362,22.00300492,184.9,16.640296293538086,-90.09738363636279,50.681999999999995,50.946848421052664
1979,17.775804375804455,40.447863247863324,0.21899999999999997,0.3886003418803421,3026,2.456,6.035118773,182.0,17.778797171607494,-85.49101636363594,51.123000000000005,50.14725754385972
1980,19.842857142857156,41.46153846153857,0.45299999999999996,0.3917384615384618,3221,2.55,3.713772472710801,177.9,18.9172980496769,-80.88464909090908,51.537,49.34766666666678
1981,5.0,42.47521367521381,0.601,0.39487658119658153,3651,2.6460000000000004,17.08268225,172.8,20.055798927745855,-76.2782818181804,51.933,48.548075789473614
1982,15.0,43.48888888888882,0.6920000000000001,0.39801470085470125,3828,2.742,7.516202606,166.9,21.194299805815263,-71.67191454545355,52.312,47.748484912280674
1983,25.0,44.502564102564065,0.6970000000000001,0.401152820512821,3976,2.838,6.866830566,160.5,22.332800683884216,-67.06554727272669,52.67,46.94889403508773
1984,27.0,45.51623931623931,0.621,0.4042909401709407,4155,2.9339999999999997,7.474572543,154.1,23.471301561953624,-62.45917999999983,52.997,46.14930315789479
1985,33.0,46.52991452991455,0.644,0.4074290598290604,4383,3.03,8.063161672,148.1,24.60980244002303,-57.85281272727116,53.273,45.34971228070185
1986,39.0,47.54358974358979,0.192,0.41056717948717925,4549,3.1239999999999997,6.77166308,142.9,25.748303318091985,-53.2464454545443,53.476000000000006,44.55012140350868
1987,44.0,48.55726495726503,0.172,0.41370529914529897,4188,3.218,3.649678607963672,139.0,26.886804196161393,-48.640078181817444,53.591,43.75053052631574
1988,50.0,49.570940170940275,0.19899999999999998,0.4168434188034187,3878,3.312,3.6405223415712236,136.4,28.025305074230346,-44.03371090909059,53.611000000000004,42.9509396491228
1989,56.0,50.58461538461529,0.6709999999999999,0.4199815384615384,3427,3.406,3.6313660751787786,135.3,29.163805952299754,-39.42734363636373,53.536,42.15134877192986
1990,48.0,51,0.14800000000000002,0.444,3273,3.5,3.62220980878633,135.7,30.063798900000002,-34.820976363635054,53.361999999999995,41.35175789473692
1991,42.0,52,0.091,0.4433,3059,3.582,3.613053542393885,137.2,29.0,-30.214609090908198,53.088,40.55216701754375
1992,37.0,53,0.305,0.4426,2881,3.6639999999999997,3.6038972760014367,139.5,32.4811058,-25.60824181818134,52.738,39.75257614035081
1993,37.0,54,0.305,0.4419,2711,3.7460000000000004,3.5947410096089882,142.0,33.6868248,-21.001874545454484,52.343,38.95298526315787
1994,38.0,56,0.29100000000000004,0.4412,2570,3.8280000000000003,2.063402475,144.3,34.88713455,-16.39550727272581,51.93600000000001,38.15339438596493
1995,46.0,57,0.313,0.4405,2582,3.91,4.128370945,146.0,36.07932663,-11.789139999998952,51.553999999999995,37.35380350877199
1996,46.0,58,0.32299999999999995,0.4398,2635,3.964,4.911939543,147.1,37.26069641,-7.182772727272095,51.238,48.1
1997,48.0,59,0.22699999999999998,0.4391,2700,4.018,5.314158464,147.6,38.42853546,-2.576405454545238,51.00899999999999,43.1
1998,56.0,60,0.221,0.4384,2757,4.072,4.895359526,147.1,40.7,2.0299618181834376,50.885,38.1
1999,59.0,61,0.207,0.4377,2794,4.126,4.062278838,145.7,40.71390533,6.636329090910294,50.878,33.1
2000,62.0,62,0.225,0.43700000000000006,2818,4.18,4.1735810319999995,143.4,41.0,11.242696363637151,50.993,28.1
2001,63.0,63,0.218,0.4419,2865,4.204,4.514271087,140.5,46.2,15.9114,51.222,23.1
2002,66.0,64,0.212,0.4468,2905,4.228,4.0090445710000004,137.2,44.04054642,20.4928,51.536,24.1333
2003,73.0,65,0.23,0.4517,2955,4.252,4.030993316,133.7,45.1375351,25.0743,51.908,25.1667
2004,73.0,66,0.233,0.4566,3070,4.276,3.7018540539999996,130.3,47.1,29.6557,52.321000000000005,26.2
2005,80.0,67,0.212,0.4615,3047,4.3,2.296852856,127.2,47.33707428,34.2371,52.76,27.2333
2006,81.0,68,0.21600000000000003,0.4664,3068,4.324,3.224002985,124.1,49.0,38.8186,53.215,28.2667
2007,82.0,69,0.317,0.4713,3131,4.348,3.2556644930000003,120.9,48.2,43.4,53.681000000000004,29.3
2008,84.0,70,0.293,0.4762,3149,4.372,2.884046234,117.6,50.70122528,48.05,54.153,28.5429
2009,80.0,71,0.34600000000000003,0.4811,3130,4.396,1.931850591,114.3,51.84212875,52.7,54.626999999999995,27.7857
2010,84.0,72,0.33899999999999997,0.486,3150,4.42,3.2686488739999997,110.1,52.9900322,57.35,55.101000000000006,27.0286
2011,82.0,73,0.281,0.496,3194,4.930870588235308,4.140591847,105.9,53.7,62.0,55.581,26.2714
2012,85.0,74,0.29,0.501,3253,5.0089357466063404,4.5887387010000005,101.7,55.29983139,66.51910363636489,56.073,25.5143
2013,89.0,75,0.313,0.507,3340,5.087000904977401,5.561688129,97.2,56.45823288,71.12547090909175,56.576,24.7571
2014,87.0,75,0.315,0.514,3445,5.1650660633484335,5.926964959,92.9,56.8,75.7318381818186,57.083,24.0
2015,84.0,76,0.318,0.518,3546,5.243131221719466,5.773247581000001,88.5,58.76482878209981,80.33820545454546,57.583,21.361985964912265
2016,85.0,77.95384615384614,0.317,0.5047107692307691,3617,5.321196380090527,4.526098051,84.5,59.903329660168765,84.94457272727414,58.063,20.562395087719324
2017,96.32380952380981,78.96752136752139,0.36047305764411064,0.5078488888888888,3650,5.399261538461559,3.37499061619026,80.8,61.04183053823817,89.55094000000099,58.511,19.762804210526383
2018,98.39086229086251,79.98119658119663,0.36428489326765234,0.5109870085470085,3702,5.477326696832591,3.365834349797815,77.5,62.18033141630758,94.15730727272785,58.92100000000001,18.963213333333442
2019,100.45791505791522,80.99487179487187,0.36809672889119405,0.5141251282051282,3764,5.555391855203624,3.3566780834053667,74.8,63.318832294376534,98.7636745454547,57.72237755698427,18.163622456140274
2020,102.52496782496792,82.00854700854711,0.37190856451473575,0.517263247863248,3507.0372881355943,5.633457013574684,3.3475218170129217,72.78525423728843,64.45733317244594,103.37004181818338,57.94274494447694,17.364031578947333
