year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1976,30.87194337194387,63.76284584980249,5.978571428571428,2.355,6.211245945888351,28.90000000000009,55.7,96.01354483200001,67.352
1977,32.58133848133866,64.72332015810298,5.8857142857143,2.137,6.142695428167485,30.199999999999818,54.4,96.13277449432309,67.507
1978,34.29073359073391,65.68379446640324,5.7928571428571445,2.1919999999999997,6.07414491044662,31.5,53.0,96.25200415664617,67.656
1979,36.00012870012915,66.64426877470373,5.699999999999989,2.363,6.005594392725783,32.80000000000018,51.5,96.37123381896924,67.80199999999999
1980,37.709523809523944,67.60474308300422,5.607142857142861,2.3680000000000003,5.9370438750049175,34.09999999999991,49.9,96.4904634812923,67.952
1981,2.0,68.56521739130449,5.514285714285705,2.428,5.8684933572840805,35.40000000000009,48.2,96.60969314361537,68.113
1982,4.0,69.52569169960498,5.421428571428578,2.3209999999999997,5.799942839563215,36.69999999999982,46.4,96.72892280593845,68.28699999999999
1983,4.0,70.48616600790524,5.328571428571422,2.7569999999999997,5.73139232184235,38.0,44.5,96.84815246826153,68.47800000000001
1984,4.0,71.44664031620573,5.235714285714295,2.6430000000000002,5.662841804121513,39.30000000000018,42.6,96.96738213058461,68.689
1985,17.0,72.407114624506,5.142857142857139,3.008,5.594291286400647,40.59999999999991,40.7,97.08661179290769,68.918
1986,30.0,73.36758893280648,5.050000000000011,2.895,5.52574076867981,41.90000000000009,38.9,97.20584145523077,69.163
1987,46.0,74.32806324110697,4.9571428571428555,2.9789999999999996,5.457190250958945,43.19999999999982,37.1,97.32507111755385,69.42
1988,63.0,75.28853754940724,4.864285714285728,2.867,5.3886397332380795,44.5,35.4,97.44430077987693,69.689
1989,79.0,76.24901185770773,4.771428571428572,3.008,5.320089215517243,45.80000000000018,33.7,97.5635304422,69.969
1990,82.0,77.20948616600799,4.678571428571416,3.037,26.53316009,47.09999999999991,32.1,97.19386292,70.266
1991,86.0,78.16996047430848,4.585714285714289,3.077,38.200709100000005,48.40000000000009,30.6,97.41874695,70.584
1992,90.0,79.13043478260875,4.492857142857133,3.668,4.499936955,49.69999999999982,29.2,97.64317322,70.929
1993,91.0,80.09090909090924,4.400000000000006,4.023,6.997966118,51.0,27.9,97.86489868,71.3
1994,92.0,83.0,4.30714285714285,4.266,8.003148048,52.30000000000018,26.6,98.07511902,71.699
1995,93.0,83.0,4.214285714285722,4.474,6.53494563,53.59999999999991,25.4,98.28128815,72.125
1996,93.0,83.0,4.121428571428567,4.477,5.136503876,54.90000000000009,24.2,98.47664642,72.57600000000001
1997,92.0,83.0,4.028571428571439,5.053999999999999,4.771685073750405,56.19999999999982,23.1,98.65868378,73.046
1998,89.0,83.0,3.9357142857142833,5.34,3.5926432989999997,57.5,22.0,98.82557678,73.528
1999,86.0,85.0,3.842857142857156,5.221,4.634584038308702,58.80000000000018,20.9,98.97695923,74.017
2000,83.0,86.0,3.75,4.707,1.34406653,60.09999999999991,19.8,99.11437988,74.507
2001,80.0,87.0,3.657142857142844,4.81,3.8712590860000002,61.40000000000009,18.6,99.24086761,74.999
2002,77.0,88.0,3.5642857142857167,4.539,3.4151047610000003,62.69999999999982,17.5,99.36013031,75.488
2003,74.0,89.0,3.471428571428561,4.909,3.222473968,64.0,16.3,99.47605133,75.969
2004,75.0,91.0,3.1,4.343,5.913768934,65.30000000000018,15.2,99.9,76.432
2005,77.0,92.0,3.8,4.061,2.732282853,66.59999999999991,14.1,99.71138,76.865
2006,78.0,93.0,2.1,3.5610000000000004,1.556479033,67.90000000000009,13.1,99.82588959,77.26
2007,80.0,94.0,2.6,3.2910000000000004,9.349502765,69.19999999999982,12.2,99.9,77.609
2008,81.0,95.0,6.0,4.186,9.126165151,70.5,11.4,99.9,77.911
2009,81.0,97.0,1.9,4.987,10.30405054,71.80000000000018,10.8,99.99469757,78.161
2010,81.0,98.0,2.2,4.618,7.960433349,73.09999999999991,10.3,99.99954987,78.36
2011,81.0,99.0,2.7285714285714278,4.453,1.982547993,74.40000000000009,9.8,100.0,78.507
2012,81.0,99.0,2.6357142857143003,4.599,2.2,75.69999999999982,9.4,100.0,78.611
2013,81.0,99.0,2.5428571428571445,4.276,0.9,77.0,9.0,100.0,78.683
2014,81.0,99.0,2.4499999999999886,4.292,1.8,78.3,8.7,100.0,78.732
2015,81.0,99.0,2.357142857142861,4.001,1.3,79.6,8.3,100.6635016626,78.768
2016,81.0,102.18181818181824,2.2642857142857054,3.9339999999999997,1.764232834,80.9,8.0,100.78273132492308,78.8
2017,100.95714285714303,103.14229249011873,2.171428571428578,5.055956766917319,3.400674719333324,82.2,7.7,100.90196098724616,78.833
2018,102.66653796653827,104.10276679841922,2.078571428571422,5.119521519315555,3.3321242016124586,83.5,7.4,101.02119064956923,78.875
2019,104.37593307593352,105.06324110671949,1.9857142857142946,5.18308627171379,3.2635736838916216,84.8,7.2,101.14042031189231,79.95441496201056
2020,106.08532818532831,106.02371541501998,1.8928571428571388,5.246651024112026,3.195023166170756,86.1,-2.07135593220346,101.25964997421539,80.24784687317367
