year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1960,3.5216216216217617,48.39525691699623,7.464285714285722,1.429,7.308054229421998,8.099999999999909,75.7,94.10587023483077,63.266999999999996
1961,5.231016731017007,49.355731225296495,7.371428571428567,1.4369999999999998,7.239503711701161,9.400000000000091,73.6,94.22509989715385,63.575
1962,6.940411840412253,50.316205533596985,7.278571428571439,1.48,7.170953193980296,10.700000000000273,71.5,94.34432955947693,63.871
1963,8.649806949807044,51.276679841897476,7.185714285714283,1.526,7.10240267625943,12.0,69.6,94.46355922180001,64.157
1964,10.359202059202289,52.23715415019774,7.092857142857156,1.597,7.033852158538593,13.300000000000182,67.9,94.58278888412306,64.435
1965,12.068597168597535,53.19762845849823,7.0,1.587,6.965301640817728,14.599999999999909,66.4,94.70201854644614,64.709
1966,13.77799227799278,54.15810276679849,6.907142857142844,1.699,6.896751123096891,15.900000000000091,65.2,94.82124820876922,64.982
1967,15.487387387387571,55.11857707509898,6.814285714285717,1.641,6.828200605376026,17.200000000000273,64.0,94.9404778710923,65.255
1968,17.196782496782816,56.079051383399474,6.721428571428561,1.673,6.75965008765516,18.5,62.9,95.05970753341538,65.528
1969,18.906177606178062,57.03952569169974,6.628571428571433,1.933,6.691099569934323,19.800000000000182,62.0,95.17893719573846,65.8
1970,20.615572715572853,58.00000000000023,6.535714285714278,1.719,6.622549052213458,21.09999999999991,61.2,95.29816685806153,66.067
1971,22.3249678249681,58.96047430830049,6.44285714285715,2.265,6.553998534492621,22.40000000000009,60.4,95.41739652038461,66.32300000000001
1972,24.034362934363344,59.92094861660098,6.349999999999994,2.367,6.485448016771755,23.700000000000273,59.6,95.53662618270769,66.565
1973,25.743758043758135,60.881422924901244,6.257142857142867,2.891,6.41689749905089,25.0,58.8,95.65585584503077,66.789
1974,27.45315315315338,61.841897233201735,6.164285714285711,2.852,6.348346981330053,26.300000000000182,57.9,95.77508550735385,66.995
1975,29.162548262548626,62.802371541502225,6.071428571428584,2.496,6.279796463609188,27.59999999999991,56.9,95.89431516967693,67.183
