year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,84.85585585585585,86.57777777777778,-9.400000000000091,0.368,0.5093589743589746,5076,3.44,5.553594502672077,95.9,94.78585291915387,21.852912087912046,60.381,35.08853372549015
1961,84.96846846846847,86.79042735042736,-9.002647058823527,0.355,0.5142487179487176,5089,3.47,5.52158468529511,93.5,94.87655637146928,21.48005384615385,61.018,34.40409862745082
1962,85.08108108108107,87.00307692307695,-8.605294117647077,0.384,0.5191384615384607,5205,3.5,8.148320008999999,92.7,94.96725982378466,21.107195604395656,61.638000000000005,33.71966352941172
1963,85.19369369369369,87.21572649572653,-8.207941176470626,0.40399999999999997,0.5240282051282055,5455,3.53,4.7847115780000005,92.3,95.05796327610004,20.734337362637348,62.236000000000004,33.03522843137239
1964,85.30630630630631,87.42837606837611,-7.810588235294176,0.436,0.5289179487179485,5535,3.56,4.149052116,91.7,95.14866672841542,20.361479120879153,62.806999999999995,32.350793333333286
1965,85.4189189189189,87.64102564102569,-7.413235294117726,0.535,0.5338076923076915,5844,3.59,9.829617278999999,90.3,95.2393701807308,19.988620879120845,63.348,31.666358235293956
1966,85.53153153153153,87.85367521367522,-7.015882352941276,0.603,0.5386974358974346,6090,3.55,7.870708095,87.9,95.33007363304618,19.61576263736265,63.861999999999995,30.981923137254853
1967,85.64414414414415,88.0663247863248,-6.618529411764712,0.519,0.5435871794871794,6259,3.51,5.650125928,84.9,95.42077708536156,19.24290439560434,64.358,30.297488039215523
1968,85.75675675675674,88.27897435897438,-6.2211764705882615,0.595,0.5484769230769224,6537,3.47,8.385017746,81.7,95.51148053767695,18.870046153846147,64.847,29.61305294117642
1969,85.86936936936937,88.49162393162396,-5.823823529411811,0.639,0.5533666666666655,6770,3.43,5.5777298029999995,78.5,95.60218398999235,18.497187912087952,65.339,28.92861784313709
1970,85.98198198198199,88.70427350427354,-5.426470588235361,0.6759999999999999,0.5582564102564103,7016,3.39,7.503134358,74.8,95.69288744230774,18.124329670329644,65.844,28.244182745097987
1971,86.09459459459458,88.91692307692313,-5.029117647058911,0.8059999999999999,0.5631461538461533,7270,3.5380000000000003,6.778505415,70.1,95.78359089462312,17.75147142857145,66.378,27.559747647058657
1972,86.2072072072072,89.12957264957265,-4.631764705882347,0.904,0.5680358974358963,7697,3.6860000000000004,8.178045142,64.5,95.8742943469385,17.37861318681314,66.943,26.875312549019554
1973,86.31981981981983,89.34222222222223,-4.2344117647058965,1.022,0.5729256410256411,8072,3.8339999999999996,7.708915804,58.3,95.96499779925388,17.005754945054946,67.541,26.190877450980224
1974,86.43243243243242,89.55487179487181,-3.8370588235294463,0.934,0.5778153846153842,8280,3.9819999999999998,5.544900006000001,51.8,96.05570125156926,16.63289670329675,68.17,25.50644235294112
1975,86.54504504504504,89.7675213675214,-3.439705882352996,0.973,0.5827051282051272,8217,4.13,2.100071039,45.4,96.14640470388464,16.260038461538443,68.825,24.82200725490179
1976,86.65765765765767,89.98017094017098,-3.0423529411765458,0.9670000000000001,0.587594871794872,8422,4.244,5.517564408999999,39.3,96.23710815620002,15.887180219780248,69.501,24.13757215686269
