year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1971,48.709103840682474,63.48000000000002,0.8994117647058602,2.102,0.485644615384615,4.666,3.112850845,73.4,57.95844849301534,61.868,100.39999999999964
1972,49.96111901375025,64.26940170940156,1.3936764705882752,2.161,0.4893268376068374,4.692,1.6095488341804511,73.2,58.56254738529219,61.938,97.19999999999982
1973,51.213134186818024,65.05880341880334,1.8879411764705765,2.4659999999999997,0.49300905982905974,4.718,1.244719353,73.0,59.16664627756927,62.005,94.0
1974,52.4651493598858,65.84820512820511,2.3822058823529915,2.101,0.4966912820512821,4.744,7.70283995,72.8,59.77074516984612,62.071999999999996,90.80000000000018
1975,53.717164532953575,66.63760683760665,2.876470588235293,2.44,0.5003735042735045,4.77,8.483021512999999,72.5,60.374844062122975,62.14,87.60000000000036
1976,54.96917970602135,67.42700854700843,3.370735294117594,2.3209999999999997,0.5040557264957268,4.796,1.536913278,72.1,60.978942954400054,62.211000000000006,84.39999999999964
1977,56.221194879089126,68.2164102564102,3.865000000000009,2.492,0.5077379487179483,4.822,1.767910784823819,71.6,61.583041846676906,62.283,81.19999999999982
1978,57.473210052157356,69.00581196581197,4.35926470588231,2.675,0.5114201709401707,4.848,1.7995831749524953,71.1,62.18714073895376,62.355,78.0
1979,58.72522522522513,69.79521367521352,4.853529411764725,1.9580000000000002,0.515102393162393,4.874,1.8312555650811717,70.5,62.79123963123061,62.427,74.80000000000018
1980,35,70.58461538461529,5.347794117647027,2.294,0.5187846153846154,4.9,1.733889727,69.9,63.39533852350769,62.498000000000005,71.60000000000036
1981,45,71.37401709401706,5.842058823529442,2.303,0.5224668376068378,4.91,1.49616592,69.3,63.99943741578454,62.565,68.39999999999964
1982,53,72.16341880341861,6.336323529411743,1.7919999999999998,0.5261490598290601,4.92,1.9262727354671938,68.6,64.6035363080614,62.626000000000005,65.19999999999982
1983,58,72.95282051282038,6.830588235294158,1.605,0.5298312820512816,4.93,1.957945125595863,67.8,65.20763520033847,62.684,62.0
1984,70,73.74222222222215,7.324852941176459,1.806,0.533513504273504,4.94,1.9896175157245395,67.0,65.81173409261532,62.74100000000001,58.80000000000018
1985,75,74.53162393162393,7.819117647058874,1.8430000000000002,0.5371957264957263,4.95,2.399667458,66.2,66.41583298489218,62.801,55.600000000000364
1986,64,75.32102564102547,8.313382352941176,1.36,0.5408779487179487,4.958,2.052962295981885,65.3,67.01993187716926,62.869,52.399999999999636
1987,67,76.11042735042724,8.807647058823477,1.729,0.5445601709401711,4.966,0.899396595,64.2,67.62403076944611,62.95,49.19999999999982
1988,64,76.89982905982902,9.301911764705892,1.865,0.5482423931623934,4.974,2.116307076239238,62.9,68.22812966172296,63.04600000000001,46.0
1989,77,77.68923076923056,9.796176470588193,1.5819999999999999,0.5519246153846158,4.982,2.1479794663679073,61.5,68.83222855400004,63.159,42.80000000000018
1990,83,79,10.290441176470608,1.52,0.541,4.99,2.1796518564965837,60.1,69.17523956,63.287,39.600000000000364
1991,81,79,10.78470588235291,1.4909999999999999,0.5475,5.01,5.984609957000001,58.5,69.85214233,63.427,36.399999999999636
1992,79,80,11.278970588235325,1.39,0.5539999999999999,5.03,7.8314466860000005,56.9,70.52859497,63.576,33.2
1993,93,81,11.773235294117626,1.38,0.5605,5.05,8.213837994,55.3,72.376631,63.73,30.0
1994,90,82,12.267500000000041,1.82,0.5670000000000001,5.07,8.523309353,53.8,71.87068176,63.891000000000005,26.8
1995,86,82,15.0,1.9180000000000001,0.5735,5.09,4.986313614,52.4,72.53090668,64.064,23.6
1996,83,83,12.1,1.995,0.58,5.1080000000000005,7.883466726,51.1,73.18030548,64.255,20.4
1997,88,84,11.9,2.0909999999999997,0.5865,5.126,6.226948358,49.9,73.81616974,64.468,17.2
1998,90,85,15.5,2.19,0.593,5.144,2.4330309775259735,48.7,74.43580627,64.705,14.0
1999,83,86,12.4,2.224,0.5995,5.162000000000001,2.969880978,47.5,75.03759766,64.964,10.800000000000182
2000,88,86,10.1,2.137,0.606,5.18,2.496375757783319,46.3,75.6243515,65.242,7.600000000000364
2001,85,87,10.7,2.114,0.6078,5.192,2.249999297,45.2,76.1999588,65.532,4.399999999999636
2002,91,88,19.2,2.101,0.6096,5.204,1.051000768,44.1,76.76831818,65.828,1.199999999999818
2003,90,89,27.8,2.075,0.6114,5.216,2.5913929281693413,43.1,77.33333588,66.122,-2.0
2004,91,89,17.6,2.169,0.6132,5.228,3.2939247910000002,42.2,77.89891052,66.41199999999999,-5.199999999999818
2005,93,90,19.0,1.9180000000000001,0.615,5.24,2.654737708426694,41.3,77.5,66.694,-8.399999999999636
2006,93,91,21.8,1.7209999999999999,0.6168,5.26,5.129609355,40.4,79.04730988,66.972,-11.600000000000364
2007,94,92,15.3,2.086,0.6186,5.28,7.020313451,39.6,79.63698578,67.247,-14.800000000000182
2008,93,93,21.0,2.09,0.6204,5.3,1.9766470580000002,38.8,80.23716736,67.521,-18.0
2009,98,93,15.5,2.092,0.6222,5.32,3.31862417,38.0,77.6,67.792,-21.199999999999818
2010,95,94,18.6,2.3040000000000003,0.624,5.34,4.370869417,37.3,81.4620285,68.059,-24.399999999999636
2011,93,95,20.66999999999996,2.376,0.63,5.397568627450987,5.437126058,36.5,82.08320618,68.321,-27.600000000000364
2012,97,96,21.164264705882374,2.642,0.633,5.41660030165913,4.816458917,35.7,82.70788574,68.575,-30.800000000000182
2013,98,97,21.658529411764675,2.546,0.636,5.435631975867274,5.22162589,35.0,83.33432007,68.819,-34.0
2014,98,98,22.15279411764709,2.633,0.638,5.4546636500754175,3.840915282,34.1,86.9,69.04899999999999,-37.19999999999982
2015,95,98,22.64705882352939,2.733,0.638,5.473695324283561,3.174454462,33.1,84.53879975320001,69.262,-40.399999999999636
2016,97,99.00307692307683,23.141323529411807,2.7539999999999996,0.6513446153846152,5.492726998491705,3.2641041939999997,32.2,85.14289864547686,69.454,-43.600000000000364
2017,106.3018018018015,99.7924786324786,23.635588235294108,2.3458803258145338,0.6550268376068376,5.511758672699855,3.0348063899707824,31.2,85.74699753775371,69.624,-46.80000000000018
2018,107.55381697486928,100.58188034188015,24.12985294117641,2.3587231440670635,0.6587090598290599,5.530790346907999,3.0664787800994517,30.3,86.3510964300308,69.774,-50.0
2019,108.80583214793705,101.37128205128192,24.624117647058824,2.3715659623195897,0.6623912820512823,5.549822021116142,3.098151170228128,29.3,86.95519532230765,68.81697369959085,-53.19999999999982
2020,110.05784732100483,102.1606837606837,25.118382352941126,2.3844087805721195,0.6660735042735046,5.568853695324286,3.1298235603568045,28.281186440677857,87.5592942145845,68.97187451782582,-56.399999999999636
