year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,34.93693693693649,54.7965811965812,-4.537500000000023,1.1540000000000001,0.4451401709401708,4.29,1.2294801526363628,92.2,51.313360677969285,60.26,135.60000000000036
1961,36.188952110004266,55.585982905982746,-4.043235294117608,1.256,0.44882239316239314,4.3260000000000005,4.689524308999999,88.3,51.91745957024614,60.441,132.39999999999964
1962,37.44096728307204,56.37538461538452,-3.5489705882353064,1.122,0.4525046153846155,4.362,1.104925811,85.0,52.52155846252299,60.623000000000005,129.19999999999982
1963,38.69298245614027,57.16478632478629,-3.0547058823528914,0.996,0.45618683760683787,4.398,1.3244973230223849,82.2,53.12565735479984,60.805,126.0
1964,39.944997629208046,57.95418803418784,-2.56044117647059,1.0190000000000001,0.45986905982906023,4.434,11.36028238,79.9,53.72975624707692,60.983999999999995,122.80000000000018
1965,41.19701280227582,58.74358974358961,-2.066176470588289,1.6569999999999998,0.4635512820512817,4.47,10.54101876,78.1,54.33385513935377,61.157,119.60000000000036
1966,42.4490279753436,59.53299145299138,-1.5719117647058738,1.776,0.4672335042735041,4.504,5.233273894,76.7,54.937954031630625,61.317,116.39999999999964
1967,43.70104314841137,60.322393162393155,-1.0776470588235725,1.953,0.47091572649572644,4.538,4.31362183,75.5,55.542052923907704,61.461999999999996,113.19999999999982
1968,44.95305832147915,61.1117948717947,-0.5833823529411575,1.9380000000000002,0.4745979487179488,4.572,1.024827553,74.7,56.146151816184556,61.588,110.0
1969,46.20507349454692,61.90119658119647,-0.08911764705885616,1.969,0.47828017094017117,4.606,6.994386657000001,74.1,56.75025070846141,61.696999999999996,106.80000000000018
1970,47.4570886676147,62.690598290598246,0.40514705882355884,2.241,0.48196239316239353,4.64,4.255456893,73.7,57.35434960073849,61.788999999999994,103.60000000000036
