year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1960,63.39639639639631,100.0,0.6333333333333337,2.483,0.7128820512820511,5571,5.39,8.731081337429202,68.9961671575985,39.7,100.0,67.66609756
1961,64.05666192508306,100.0,0.6304761904761902,2.992,0.7163671794871789,6186,5.404,12.04353641,69.35715685741093,36.2,100.0,68.31
1962,64.71692745376959,100.0,0.6276190476190475,3.069,0.7198523076923076,6675,5.417999999999999,8.908972996000001,69.71814655722324,32.9,100.0,68.59487805
1963,65.37719298245611,100.0,0.6247619047619049,3.3710000000000004,0.7233374358974354,7168,5.432,8.473642383,70.07913625703566,29.8,100.0,69.65804878
1964,66.03745851114286,100.0,0.6219047619047622,3.687,0.7268225641025641,7921,5.446000000000001,11.6767082,70.44012595684808,27.0,100.0,70.13243902
1965,66.69772403982938,100.0,0.6190476190476186,3.927,0.7303076923076919,8293,5.46,5.819707873,70.80111565666039,24.6,100.0,70.20195122
1966,67.3579895685159,100.0,0.616190476190476,4.211,0.7337928205128197,9092,5.48,10.63856156,71.16210535647281,22.6,100.0,70.98658537
1967,68.01825509720243,100.0,0.6133333333333333,4.855,0.7372779487179484,9996,5.5,11.08214232,71.52309505628511,21.0,100.0,71.27658537
1968,68.67852062588918,100.0,0.6104761904761906,5.504,0.7407630769230762,11157,5.52,12.88246814,71.88408475609754,19.6,100.0,71.61121951
1969,69.3387861545757,100.0,0.607619047619048,6.314,0.7442482051282049,12402,5.54,12.47789451,72.24507445590996,18.5,100.0,71.83878049
1970,69.99905168326222,100.0,0.6047619047619044,7.321000000000001,0.7477333333333327,13576,5.56,6.9863311674978945,72.60606415572227,17.5,100.0,71.9502439
1971,70.65931721194875,100.0,0.6019047619047617,7.4879999999999995,0.7512184615384614,14032,5.574,4.6989920419999995,72.96705385553469,16.5,100.0,72.88292683
1972,71.3195827406355,100.0,0.599047619047619,7.897,0.7547035897435892,15001,5.587999999999999,8.413547255,73.32804355534711,15.7,100.0,73.50658537
1973,71.97984826932202,100.0,0.5961904761904764,8.354,0.7581887179487179,15979,5.602,8.032599975,73.68903325515942,14.8,100.0,73.75756098
1974,72.64011379800854,100.0,0.5933333333333337,8.242,0.7616738461538457,15575,5.6160000000000005,6.288431099525383,74.05002295497184,14.1,100.0,74.39390244
1975,73.30037932669507,100.0,0.5904761904761902,7.733,0.7651589743589735,15853,5.63,3.091575916,74.41101265478426,13.3,100.0,75.05731707
1976,73.96064485538182,100.0,0.5876190476190475,7.9879999999999995,0.7686441025641022,16308,5.644,3.974984091,74.77200235459657,12.5,100.0,75.45682927
1977,74.62091038406834,100.0,0.5847619047619048,8.137,0.77212923076923,16913,5.6579999999999995,4.39033795,75.13299205440899,11.8,100.0,75.89829268
1978,75.28117591275486,100.0,0.5819047619047621,7.792999999999999,0.7756143589743587,17717,5.672000000000001,5.271941503,75.49398175422141,11.1,100.0,76.03829268
1979,75.94144144144138,100.0,0.5790476190476195,8.17,0.7790994871794865,18597,5.686,5.484041832000001,75.85497145403372,10.5,100.0,76.33756098
1980,60,100.0,0.5761904761904759,8.035,0.7825846153846152,19040,5.7,2.817591208,76.21596115384614,9.9,100.0,76.09170732
1981,75,100.0,0.5733333333333333,7.822,0.786069743589743,19790,5.712000000000001,4.176843956,76.9,9.3,100.0,76.41439024
1982,81,100.0,0.5704761904761906,7.52,0.7895548717948717,20366,5.724,3.3766082969999998,76.9615,8.8,100.0,76.92292683
1983,80,100.0,0.5676190476190479,7.332999999999999,0.7930399999999995,21009,5.736000000000001,3.060738036,77.0231,8.3,100.0,76.96146341
1984,82,100.0,0.5647619047619044,7.751,0.7965251282051282,21897,5.747999999999999,4.463899016,77.0846,7.9,100.0,77.36536585
1985,83,100.0,0.5619047619047617,7.504,0.800010256410256,22985,5.76,6.333356889,77.1462,7.5,100.0,77.65048780000001
1986,84,100.0,0.559047619047619,7.465,0.8034953846153838,23737,5.772,2.831076641,77.2077,7.1,100.0,78.06463415
1987,85,100.0,0.5561904761904763,7.353,0.8069805128205125,24868,5.784,4.1074270639999995,77.2692,6.8,100.0,78.48365854
1988,86,100.0,0.5533333333333337,7.996,0.8104656410256403,26617,5.796,7.146693707000001,77.3308,6.6,100.0,78.39926829
1989,87,100.0,0.5504761904761901,8.259,0.813950769230769,27968,5.808,5.3701525189999995,77.3923,6.4,100.0,78.81804878
1990,90,100,0.5476190476190474,9.293,0.8140000000000001,29412,5.82,5.5723983,77.4538,6.3,100,78.83682927
1991,92,100,0.5447619047619048,9.33,0.8182,30483,5.83,3.324340775,77.5154,6.2,100,79.10073171
1992,87,100,0.5419047619047621,9.381,0.8224,30827,5.84,0.819029859,77.5769,6.1,100,79.15390244
1993,85,100,0.5390476190476194,9.298,0.8266,30776,5.85,0.17106272,77.6385,6.0,100,79.29365854
1994,80,100,0.5361904761904759,9.759,0.8308,31224,5.86,0.863578244,77.7,5.9,100,79.68707317
1995,74,100,0.5,9.842,0.835,32239,5.87,2.7421638269999997,79.96,5.7,100,79.53634146
1996,99,100,0.5,9.922,0.8392,33438,5.876,3.0999299469999997,82.22,5.5,100,80.2002439
1997,70,100,0.5,9.886000000000001,0.8434,34029,5.882000000000001,1.076511705,84.48,5.2,100,80.42414634
1998,75,100,0.6,9.594,0.8476,33902,5.888,2.101030691690255,86.74,5.0,100,80.50146341
1999,80,100,0.5,9.853,0.8518,34122,5.894,1.9265556746971129,89.0,4.7,100,80.57073171
2000,85,100,0.5,10.003,0.856,35361,5.9,2.779542546,88.83,4.5,100,81.07609756
2001,95,100,0.5,9.857000000000001,0.8588,35743,5.904,0.406249445,88.66,4.3,100,81.41707317
2002,96,100,0.5,10.133,0.8616,35962,5.9079999999999995,0.118100784,88.49,4.1,100,81.56341463
2003,97,100,0.6,10.158999999999999,0.8644,36661,5.912000000000001,1.5282420230000002,88.32,4.0,100,81.76
2004,99,100,0.6,10.141,0.8672,37666,5.916,2.204730325,88.15,3.9,100,82.0302439
2005,98,100,0.5,10.19,0.87,38499,5.92,1.662752768,87.98,3.7,100,81.92512195
2006,98,100,0.5,10.022,0.8728,39263,5.9239999999999995,1.419984392,87.81,3.6,100,82.32195122
2007,98,100,0.5,10.285,0.8756,40126,5.928,1.654282905,87.64,3.5,100,82.50707317
2008,98,100,0.5,9.625,0.8784,39913,5.932,0.3562805217589471,87.47,3.4,100,82.58756098
2009,97,100,0.4,9.059,0.8812,37970,5.936,0.18180550476580493,87.3,3.3,100,82.93146341
2010,97,100,0.4904761904761905,9.452,0.884,39771,5.94,4.192289082,87.14,3.2,100,82.84268293
2011,97,100,0.48761904761904784,9.835,0.889,39899,5.944,-0.1671445292204794,86.98,3.2,100,82.59121951
2012,97,100,0.48476190476190517,10.107999999999999,0.894,40718,5.9479999999999995,1.495028543,86.82,3.0,100,83.09609756
2013,96,100,0.4819047619047616,10.238,0.899,41702,5.952000000000001,2.0004895719999998,86.66,2.9,100,83.33195122
2014,96,100,0.47904761904761894,9.883,0.902,42018,5.956,0.335664786,86.5,2.8,100,83.58780488
2015,96,100,0.4761904761904763,9.574,0.903,42689,5.96,1.219438139,86.8,2.8,100.0,83.79390244
2016,99,100.0,0.4733333333333336,9.521,0.9080492307692305,43103,5.962000000000001,0.9985208459999999,87.1,2.7,100.0,83.98487805
