year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1960,37.9549549549547,96.83710144927537,-2.8078918181818153,3.799,0.6499299145299142,379126,30.92549545690872,60.589984917043694,100.0,61.093999999999994
1961,39.17449027975317,96.89927536231885,-2.7254672727272578,3.112,0.653669572649572,351701,30.503208325007336,59.50613876319767,100.0,61.851000000000006
1962,40.39402560455164,96.96144927536233,-2.6430427272727,3.377,0.6574092307692307,335669,30.080921193105837,58.42229260935119,100.0,62.61
1963,41.613560929350115,97.02362318840581,-2.560618181818171,99.324,0.6611488888888886,325578,29.65863406120434,57.338446455505164,100.0,63.369
1964,42.833096254148586,97.08579710144929,-2.4781936363636135,92.79700000000001,0.6648885470085464,305817,29.23634692930284,56.25460030165914,100.0,64.123
1965,44.05263157894706,97.14797101449277,-2.3957690909090843,85.42399999999999,0.6686282051282051,297950,28.814059797401455,55.17075414781311,100.0,64.866
1966,45.27216690374553,97.21014492753623,-2.3133445454545267,78.528,0.6723678632478629,367241,28.391772665499957,54.08690799396663,100.0,65.58800000000001
1967,46.491702228544,97.27231884057971,-2.2309199999999976,77.40899999999999,0.6761075213675207,402817,27.96948553359846,53.00306184012061,100.0,66.282
1968,47.71123755334247,97.3344927536232,-2.14849545454544,75.965,0.6798471794871794,420525,27.54719840169696,51.91921568627458,100.0,66.942
1969,48.93077287814094,97.39666666666668,-2.0660709090908824,71.079,0.6835868376068372,407669,27.124911269795575,70.5,100.0,67.567
1970,50.150308202939414,97.45884057971016,-1.9836463636363533,69.032,0.6873264957264951,376390,26.702624137894077,65.9,100.0,68.156
1971,51.369843527737885,97.52101449275364,-1.9012218181817957,76.618,0.6910661538461538,433005,26.28033700599258,61.4,100.0,68.71300000000001
1972,52.589378852536356,97.58318840579712,-1.8187972727272665,82.584,0.6948058119658116,452460,25.85804987409108,57.4,100.0,69.245
1973,53.80891417733483,97.64536231884058,-1.736372727272709,87.598,0.6985454700854694,495904,25.435762742189695,53.7,100.0,69.758
1974,55.0284495021333,97.70753623188406,-1.6539481818181798,68.183,0.7022851282051281,417510,25.013475610288197,50.4,100.0,70.25399999999999
1975,56.24798482693177,97.76971014492754,-1.5715236363636222,66.601,0.7060247863247859,397744,24.591188478386698,47.5,100.0,70.734
1976,57.46752015173024,97.83188405797102,-1.4890990909090647,59.711000000000006,0.7097644444444438,399939,24.1689013464852,44.7,100.0,71.19800000000001
1977,58.68705547652871,97.8940579710145,-1.4066745454545355,54.373000000000005,0.7135041025641025,333455,23.746614214583815,42.2,100.0,71.64399999999999
1978,59.906590801327184,97.95623188405798,-1.324249999999978,54.765,0.7172437606837603,341235,23.324327082682316,40.0,100.0,72.072
1979,61.126126126125655,98.01840579710147,-1.2418254545454488,69.893,0.720983418803419,332061,22.902039950780818,38.0,100.0,72.48
1980,61,98.08057971014493,-1.1594009090908912,58.496,0.7247230769230768,332456,22.47975281887932,36.1,100.0,72.869
1981,43,98.14275362318841,-1.076976363636362,51.784,0.7284627350427346,270444,22.057465686977935,34.4,100.0,73.23899999999999
1982,37,98.20492753623189,-0.9945518181818045,44.485,0.7322023931623933,210555,21.635178555076436,32.8,100.0,73.589
1983,49,98.26710144927537,-0.9121272727272469,36.384,0.7359420512820511,167795,21.212891423174938,31.3,100.0,73.922
1984,60,98.32927536231885,-0.8297027272727178,36.080999999999996,0.739681709401709,147552,20.79060429127344,29.8,100.0,74.237
1985,71,98.39144927536233,-0.7472781818181602,33.416,0.7434213675213677,120039,20.36831715937194,28.3,100.0,74.53699999999999
1986,72,98.4536231884058,-0.664853636363631,33.398,0.7471610256410255,93380,19.946030027470556,26.8,100.0,74.821
1987,72,98.51579710144928,-0.5824290909090735,27.206,0.7509006837606833,92922,19.523742895569058,25.3,100.0,75.09100000000001
1988,69,98.57797101449276,-0.5000045454545159,26.859,0.754640341880342,90554,19.10145576366756,23.7,100.0,75.34899999999999
1989,81,98.64014492753624,-0.41757999999998674,31.004,0.7583799999999998,87981,18.67916863176606,22.2,100.0,75.593
1990,82,98.70231884057972,-0.33515545454542917,24.704,0.754,84851,18.256881499864676,20.8,100,75.824
1991,86,98.7644927536232,-0.2527309090909,36.288000000000004,0.7595,81550,17.834594367963177,19.5,100,76.041
1992,88,99.0,-0.17030636363634244,54.045,0.765,89319,17.41230723606168,18.2,100,76.241
1993,90,99.0,-0.08788181818181329,61.208,0.7705,87074,16.99002010416018,17.1,100,76.42699999999999
1994,91,99.0,-0.005457272727255713,59.555,0.7759999999999999,87346,16.567732972258796,16.1,100,76.59899999999999
1995,92,99.0,0.07696727272730186,61.855,0.7815,88333,16.145445840357297,15.3,100,76.759
1996,92,99.0,0.159391818181831,61.784,0.787,90636,15.723158708455799,14.6,100,76.90899999999999
1997,92,99.0,0.2418163636363886,70.07,0.7925,115125,15.3008715765543,14.0,100,77.05199999999999
1998,94,99.0,0.9,58.827,0.7979999999999999,124360,14.878584444652915,13.5,100,77.19
