year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,-1.8307104660043478,-16.79658119658143,0.032,2.753391069378231,375.7757983193278,-80.48021021535442,64.46614994740477,37.478,41.25565533834583
1961,-0.21176470588216034,-15.062905982906159,0.048,2.7509900778763496,370.6197759103634,-78.71308986070926,64.33903013119047,37.751999999999995,41.68958977443606
1962,1.4071810542400272,-13.32923076923089,0.063,2.7485890863744693,365.4637535014008,-76.94596950606365,64.2119103149762,38.042,42.123524210526284
1963,3.0261268143622146,-11.59555555555562,0.079,2.746188094872588,360.30773109243637,-75.17884915141849,64.08479049876192,38.349000000000004,42.55745864661651
1964,4.645072574484402,-9.861880341880806,0.09300000000000001,2.743787103370707,355.15170868347377,-73.41172879677288,63.957670682547615,38.671,42.991393082706736
1965,6.26401833460659,-8.128205128205536,0.107,2.7413861118688256,349.99568627450935,-71.64460844212726,63.83055086633334,39.004,43.42532751879696
1966,7.882964094728777,-6.394529914530267,0.106,2.7389851203669453,344.83966386554494,-69.8774880874821,63.703431050119065,39.343,43.85926195488719
1967,9.501909854850965,-4.660854700854998,0.07400000000000001,2.736584128865064,339.68364145658234,-68.1103677328365,63.57631123390476,39.679,44.293196390977414
1968,11.120855614973152,-2.9271794871797283,0.08800000000000001,2.734183137363183,334.5276190476179,-66.34324737819088,63.449191417690486,40.01,44.72713082706764
1969,12.739801375095794,-1.193504273504459,0.086,2.7317821458613016,329.3715966386553,-64.57612702354572,63.32207160147618,40.333,45.161065263157866
1970,14.358747135217982,0.5401709401708104,0.098,2.7293811543594213,324.2155742296909,-62.80900666890011,63.19495178526191,40.649,45.59499969924809
1971,15.97769289534017,2.2738461538460797,0.096,2.72698016285754,319.0595518207283,-61.0418863142545,63.06783196904763,40.961000000000006,46.02893413533832
1972,17.596638655462357,4.007521367520894,0.094,6.374860893999999,313.9035294117639,-59.27476595960934,62.94071215283333,41.276,46.462868571428544
1973,19.215584415584544,5.741196581196164,0.145,1.10989279,308.7475070028013,-57.50764560496373,62.81359233661905,41.597,46.89680300751877
1974,20.834530175706732,7.474871794871433,0.13,4.5592410480000005,303.59148459383687,-55.740525250318115,62.68647252040478,41.925,47.330737443608996
1975,22.45347593582892,9.208547008546702,0.141,7.84558432,298.43546218487427,-53.97340489567296,62.559352704190474,42.263000000000005,47.76467187969922
1976,24.072421695951107,10.942222222221972,0.128,4.943455305,293.27943977590985,-52.206284541027344,62.4322328879762,42.611999999999995,48.19860631578945
1977,25.691367456073294,12.675897435897241,0.127,2.7125742138462536,288.12341736694725,-50.43916418638173,62.305113071761895,42.97,48.632540751879674
1978,27.310313216195482,14.40957264957251,0.127,13.12604338,282.96739495798283,-48.67204383173657,62.17799325554762,43.333,49.0664751879699
1979,28.92925897631767,16.14324786324778,0.139,1.9941443630000002,277.8113725490184,-46.90492347709096,62.050873439333344,43.696999999999996,49.500409624060126
1980,30.54820473644031,17.876923076922594,0.187,2.705371239340611,272.6553501400558,-45.13780312244535,61.92375362311904,44.056000000000004,49.93434406015035
1981,32.1671504965625,19.610598290597864,0.172,18.16752815,267.4993277310914,-43.37068276780019,61.796633806904765,44.402,50.36827849624058
1982,33.78609625668469,21.344273504273133,0.168,4.200082135,262.3433053221288,-41.60356241315458,61.66951399069049,44.733000000000004,50.802212932330804
1983,9.0,23.077948717948402,0.16399999999999998,2.698168264834968,257.1872829131644,-39.836442058508965,61.542394174476186,45.04600000000001,51.23614736842103
1984,18.0,24.81162393162367,0.182,9.109222986,252.03126050420178,-38.06932170386381,61.41527435826191,45.342,51.670081804511256
1985,18.0,26.54529914529894,0.18899999999999997,4.1664928969999995,242.1,-36.302201349218194,61.288154542047636,45.626999999999995,52.10401624060148
1986,47.0,28.27897435897421,0.195,2.6909652903293253,237.8,-34.535080994573036,61.16103472583333,45.907,52.53795067669171
1987,55.0,30.01264957264948,0.201,2.900000007,233.4,-32.76796063992742,61.03391490961906,46.19,52.97188511278193
1988,66.0,31.746324786324294,0.228,4.599999988,229.3,-31.00084028528181,60.90679509340475,46.481,53.40581954887216
1989,54.0,33.47999999999956,0.233,6.1000000210000005,225.2,-29.233719930636653,60.77967527719048,46.783,53.839753984962385
1990,61.0,36,0.168,6.099999986,221.2,-27.46659957599104,60.6525554609762,47.095,54.27368842105261
1991,63.0,38,0.174,5.100000023,216.8,-25.699479221345428,60.5254356447619,47.411,43.0
1992,67.0,39,0.16899999999999998,1.099999971,212.4,-23.93235886670027,60.398315828547624,47.726000000000006,53.5
1993,63.0,41,0.165,2.1,207.8,-22.165238512054657,60.27119601233335,48.038000000000004,64.0
1994,74.0,42,0.162,3.20000002,203.2,-20.398118157409044,60.144076196119045,48.348,62.8778
1995,45.0,44,0.158,4.400000008,198.3,-18.630997802763886,60.01695637990477,48.658,61.7556
1996,53.0,45,0.155,11.6,193.4,-16.863877448118274,59.889836563690466,48.973,60.6333
1997,63.0,47,0.17,6.5,188.5,-15.096757093472661,59.76271674747619,49.301,59.5111
1998,54.0,49,0.142,2.6621533923067533,183.4,-13.329636738827503,59.635596931261915,49.641999999999996,58.3889
1999,45.0,50,0.156,1.025537409,178.3,-11.56251638418189,59.50847711504761,49.998999999999995,57.2667
2000,49.0,52,0.121,5.426987367000001,173.0,-9.795396029536278,67.5,50.368,56.1444
2001,53.0,54,0.11800000000000001,2.188906815,167.5,-8.02827567489112,64.6667,50.744,55.0222
2002,57.0,56,0.11599999999999999,2.6525494262992293,161.9,-6.261155320245507,61.8333,51.123000000000005,53.9
2003,60.0,57,0.14400000000000002,0.568510176,155.9,-4.494034965599894,59.0,51.501000000000005,55.55
2004,64.0,59,0.14800000000000002,2.76140199,149.7,0.015485317,56.1667,51.883,57.2
2005,68.0,61,0.152,4.265425195,143.5,0.083395608,53.3333,52.275,58.85
2006,71.0,63,0.156,2.3097501240000002,137.3,0.410800874,50.5,52.691,60.5
2007,74.0,64,0.159,3.205047637,131.1,1.291538239,52.177,53.136,62.15
2008,77.0,66,0.155,3.207377203,125.0,2.600957632,53.854,53.611999999999995,63.8
2009,80.0,68,0.152,3.311677665,119.0,4.7,55.5311,54.113,65.45
2010,83.0,70,0.154,4.431841531,113.1,6.0,57.2081,54.628,67.1
2011,86.0,72,0.157,9.334144235,107.6,9.366147995,58.8851,55.144,63.38631157894736
2012,87.0,74,0.153,2.6285395112804197,102.7,11.63054371,60.5621,55.645,63.82024601503758
2013,87.0,76,0.155,0.820272407,98.2,13.89668941,62.2392,56.117,64.25418045112781
2014,87.0,77,0.156,2.541075109,94.1,17.2,63.91617878,56.556000000000004,64.68811488721803
2015,87.0,79,0.152,4.796779821,90.7,16.711409290145184,57.474560055619065,56.958999999999996,65.12204932330826
2016,87.0,80.28923076923047,0.154,5.57374806,87.3,18.478529644790797,57.34744023940476,57.328,65.55598375939849
2017,90.44919786096261,82.02290598290574,0.18066228070175416,2.6165345537710145,84.2,20.24564999943641,57.22032042319046,57.673,65.98991819548871
2018,92.0681436210848,83.75658119658101,0.1820275257108288,2.6141335622691333,81.4,22.012770354081567,57.09320060697621,58.003,66.42385263157894
2019,93.68708938120699,85.49025641025628,0.183392770719903,2.611732570767252,78.5,23.77989070872718,56.96608079076191,57.52107890122727,66.85778706766916
2020,95.30603514132918,87.2239316239311,0.18475801572897765,2.6093315792653717,66.41445378151184,25.547011063372793,56.838960974547604,57.86827814143771,67.29172150375939
