year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,-49.022522522522195,-31.44099378882038,0.038,0.1615059829059824,1.49928131461877,282.9575561137681,-57.37420357639985,43.20399999999999,66.37982683982682
1961,-46.58687258687223,-29.470920383964312,0.051,0.16915606837606845,1.621610595178339,278.69446560246433,-54.865116978199694,43.511,65.57021645021655
1962,-44.15122265122227,-27.500846979108246,0.059000000000000004,0.1768061538461545,1.743939875737908,274.4313750911606,-52.35603037999954,43.817,64.76060606060605
1963,-41.71557271557322,-25.53077357425218,0.066,0.18445623931623878,1.8662691562974771,270.16828457985685,-49.84694378179938,44.121,63.95099567099578
1964,-39.279922779923254,-23.560700169396114,0.073,0.19210632478632483,1.9885984368570462,265.9051940685531,-47.337857183600136,44.424,63.14138528138528
1965,-36.84427284427329,-21.590626764540048,0.076,0.1997564102564109,2.1109277174166152,261.64210355724936,-44.82877058539998,44.728,62.331774891774785
1966,-34.40862290862333,-19.62055335968398,0.094,0.20740649572649517,2.233256997976156,257.3790130459456,-42.319683987199824,45.033,61.522164502164514
1967,-31.972972972973366,-17.65047995482837,0.128,0.21505658119658122,2.355586278535725,253.11592253464187,-39.81059738899967,45.34,60.71255411255402
1968,-29.537323037323404,-15.680406549972304,0.066,0.22270666666666727,2.477915559095294,248.85283202333812,-37.30151079079951,45.65,59.902943722943746
1969,-27.10167310167344,-13.710333145116238,0.122,0.23035675213675155,2.600244839654863,244.58974151203438,-34.792424192599356,45.961999999999996,59.09333333333325
1970,-24.66602316602348,-11.740259740260171,0.212,0.2380068376068376,2.722574120214432,240.32665100073064,-32.28333759440011,46.273,58.28372294372298
1971,-22.230373230373516,-9.770186335404105,0.152,0.24565692307692366,2.844903400774001,236.0635604894269,-29.774250996199953,46.578,57.47411255411248
1972,-19.794723294723553,-7.800112930548039,0.172,0.25330700854700794,2.96723268133357,231.80046997812315,-27.265164397999797,46.876000000000005,56.66450216450221
1973,-17.35907335907359,-5.830039525691973,0.17800000000000002,0.260957094017094,3.089561961893139,227.5373794668194,-24.75607779979964,47.166000000000004,55.85489177489171
1974,-14.923423423423628,-3.8599661208359066,0.09699999999999999,0.26860717948718005,3.211891242452708,223.27428895551566,-22.246991201599485,47.449,55.04528138528144
1975,-12.487773487773666,-1.8898927159798404,0.08199999999999999,0.2762572649572643,3.3342205230122772,219.0111984442119,-19.73790460339933,47.722,54.235670995670944
1976,-10.052123552123703,0.08018068887577101,0.071,0.2839073504273504,3.4565498035718463,214.74810793290817,-17.228818005200083,47.985,53.42606060606067
1977,-7.6164736164737405,2.050254093731837,0.073,0.29155743589743643,3.5788790841314153,210.48501742160443,-14.719731406999927,48.244,52.616450216450176
1978,-5.180823680823778,4.020327498587903,0.073,0.2992075213675207,3.7012083646909844,217.0,-12.21064480879977,48.503,51.806839826839905
1979,-2.7451737451738154,5.99040090344397,0.069,0.30685760683760677,3.8235376452505534,210.9,-9.701558210599615,48.771,50.99722943722941
1980,-0.30952380952385283,7.960474308300036,0.057999999999999996,0.3145076923076928,3.9458669258101224,205.2,-7.1924716123994585,49.06100000000001,50.18761904761914
