year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1960,88.8608695652174,99.0,6.660489510489498,2.532,9896.146341463405,-11.455480467750817,16.80001304347843,76.10769230769256,77.05655795727705,60.633
1961,88.98478260869567,99.0,6.566433566433545,2.62,9949.243902439019,-11.159749538471829,17.966679446640683,74.81269230769249,77.51451609068465,61.25899999999999
1962,89.10869565217394,99.0,6.472377622377593,2.6519999999999997,10002.341463414632,-10.86401860919284,19.13334584980248,73.51769230769241,77.97247422409237,61.87
1963,89.23260869565217,99.0,6.378321678321669,2.9139999999999997,10055.439024390245,-10.568287679913851,20.300012252964734,72.22269230769234,78.43043235750008,62.468999999999994
1964,89.35652173913044,99.0,6.284265734265716,3.2569999999999997,10108.536585365844,-10.272556750634863,21.466678656126987,70.92769230769272,78.8883904909078,63.06
1965,89.48043478260871,99.0,6.190209790209764,3.303,10161.634146341457,-9.976825821355874,22.633345059288786,69.63269230769265,79.34634862431551,63.641999999999996
1966,89.60434782608698,99.0,6.096153846153811,3.22,10214.73170731707,-9.681094892076999,23.80001146245104,68.33769230769258,79.80430675772311,64.21600000000001
1967,89.72826086956522,99.0,6.002097902097887,3.198,10267.829268292684,-9.38536396279801,24.966677865612837,67.0426923076925,80.26226489113083,64.775
1968,89.85217391304349,99.0,5.9080419580419345,3.366,10320.926829268283,-9.089633033519021,26.13334426877509,65.74769230769243,80.72022302453854,65.313
1969,89.97608695652175,99.0,5.813986013985982,3.4330000000000003,10374.024390243896,-8.793902104240033,27.30001067193689,64.45269230769236,81.17818115794626,65.824
1970,90.10000000000002,99.0,5.719930069930058,4.428,10427.12195121951,-8.498171174961044,28.466677075099142,63.15769230769274,81.63613929135397,66.301
1971,90.22391304347826,99.0,5.625874125874105,4.72,10480.219512195123,-8.202440245682055,29.63334347826094,61.86269230769267,82.09409742476157,66.736
1972,90.34782608695653,99.0,5.531818181818153,4.388,10533.317073170721,-7.906709316403067,30.800009881423193,60.567692307692596,82.55205555816929,67.128
1973,90.4717391304348,99.0,5.437762237762229,5.2010000000000005,10586.414634146335,-7.610978387124078,31.966676284585446,59.27269230769252,83.010013691577,67.47399999999999
1974,90.59565217391307,99.0,5.343706293706276,5.178,10639.512195121948,-7.315247457845203,33.133342687747245,57.97769230769245,83.46797182498472,67.773
1975,90.7195652173913,99.0,5.249650349650324,5.347,10692.609756097561,-7.019516528566214,34.3000090909095,56.68269230769238,83.92592995839243,68.02
1976,90.84347826086957,99.0,5.155594405594371,5.45,10745.707317073175,-6.7237855992872255,35.466675494071296,55.38769230769276,84.38388809180003,68.212
1977,90.96739130434784,99.0,5.061538461538447,5.229,10798.804878048773,-6.428054670008237,36.63334189723355,54.09269230769269,84.84184622520775,68.355
1978,91.09130434782611,99.0,4.967482517482495,5.757000000000001,10851.902439024387,-6.132323740729248,37.80000830039535,52.797692307692614,85.29980435861546,68.462
1979,91.21521739130435,99.0,4.873426573426542,6.181,10905.0,-5.836592811450259,38.9666747035576,51.50269230769254,85.75776249202318,68.54899999999999
1980,91.33913043478262,99.0,4.779370629370618,6.007999999999999,12828.0,-5.540861882171271,40.133341106719854,50.20769230769247,86.21572062543089,68.64
1981,91.46304347826089,99.0,4.685314685314665,6.485,12876.0,-5.245130952892282,41.30000750988165,56.6,86.67367875883849,68.764
1982,91.58695652173915,99.0,4.591258741258713,5.912000000000001,12928.0,-4.949400023613407,42.466673913043905,55.0,87.1316368922462,68.936
1983,91.7108695652174,99.0,4.497202797202789,6.332999999999999,12605.0,-4.653669094334418,43.633340316205704,53.1,87.58959502565392,69.16199999999999
1984,91.83478260869566,99.0,4.403146853146836,6.65,12967.0,-4.35793816505543,44.80000671936796,50.9,88.04755315906164,69.442
1985,91.95869565217393,99.0,4.309090909090884,6.757000000000001,12822.0,-4.062207235776441,45.966673122529755,49.2,88.50551129246935,69.76
1986,92.0826086956522,99.0,4.215034965034931,7.039,13672.0,-3.7664763064974522,47.13333952569201,48.5,88.96346942587695,70.094
