year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1987,92.20652173913044,99.0,4.120979020979007,6.977,13458.0,-3.4707453772184635,48.30000592885426,47.6,89.42142755928467,70.414
1988,92.3304347826087,99.0,4.026923076923055,7.211,13002.0,-3.175014447939475,49.46667233201606,44.6,89.87938569269238,70.7
1989,92.45434782608697,99.0,3.932867132867102,7.186,13225.0,-2.8792835186606,50.63333873517831,39.8,90.3373438261001,70.945
1990,92.57826086956524,99,3.838811188811178,7.184,11886.0,-2.583552589381611,51.80000513834011,35.7,89.8403244,71.152
1991,92.70217391304348,99,3.7447552447552255,5.087,11112.0,-2.2878216601026224,52.966671541502365,34.2,90.47187805,71.331
1992,92.82608695652175,99,3.650699300699273,5.416,10259.0,-1.9920907308236337,54.13333794466416,33.8,91.10298157,71.502
1993,90.0,99,3.556643356643349,5.207000000000001,9350.0,-1.696359801544645,55.300004347826416,31.9,91.73137665,71.68
1994,88.0,99,3.4625874125873963,5.278,9099.0,-1.4006288722656564,56.466670750988214,28.0,92.35436249,71.87100000000001
1995,95.0,99,3.368531468531444,5.461,8911.0,-1.1048979429866677,57.63333715415047,24.1,92.96923065,72.08
1996,93.0,99,3.2744755244754913,5.896,8940.0,1.1851039140000001,58.80000355731272,21.4,93.57328033,72.309
1997,97.0,99,3.180419580419567,5.316,9003.0,1.439981341,59.96666996047452,19.7,94.16379547,72.55
1998,94.0,99,3.0863636363636147,6.272,9252.0,3.3787356219999998,61.13333636363677,18.3,94.73807526,72.795
1999,95.0,99,2.5,5.784,9607.0,4.339027922,62.3,17.0,95.29451752,73.038
2000,95.0,99,2.5,5.922000000000001,9997.0,4.549135778,63.4667,15.8,95.83591461,73.267
2001,91.0,99,2.7,5.869,9645.0,0.6694876326871508,64.6333,15.0,96.36617279,73.47
2002,96.0,99,3.0,5.334,9758.0,1.4940286790000001,65.8,14.5,96.88918304,73.642
2003,96.0,99,3.5,5.502999999999999,9951.0,2.222222222,66.9667,14.2,97.40885162,73.781
2004,94.0,99,2.8,5.435,10391.0,4.674428357,68.1333,14.0,97.92906952,73.892
2005,97.0,99,2.6,5.47,10855.0,4.723377527,69.3,13.7,98.45845795,73.986
2006,93.0,99,2.5,5.297999999999999,11383.0,5.137025162,70.4667,13.3,99.0,74.08
2007,95.0,99,2.1,4.595,12088.0,6.473486857999999,71.6333,12.5,99.43867493,74.19
2008,95.0,99,1.8,4.542,12716.0,5.471711774,72.8,11.6,99.77095032,74.324
2009,96.0,99,1.8,4.2,12637.0,3.0353350669189467,73.9667,10.7,99.94021606,74.484
2010,95.0,99,1.9,4.1530000000000005,13028.0,3.358760114,75.1333,10.1,99.99267578,74.66199999999999
2011,96.0,99,1.8636363636363455,4.531000000000001,13299.0,2.3398922840000003,76.3,10.0,100.0,74.846
2012,95.0,99,1.769580419580393,4.32,13207.0,3.922527854755913,77.4667,10.5,100.0,75.01899999999999
2013,98.0,99,1.675524475524469,3.7769999999999997,13562.0,2.9252653210000004,78.6333,11.4,100.0,75.171
2014,95.0,99,1.5814685314685164,3.61,14023.0,3.629641308,79.8,12.5,100.0,75.29899999999999
2015,91.0,99,1.4874125874125639,3.7560000000000002,14534.0,3.841623807,80.9667,13.0,102.24425529470011,75.406
2016,95.0,99.0,1.3933566433566114,3.805,14920.0,2.405918307,82.1333,12.0,102.70221342810771,75.498
2017,95.92391304347828,99.0,1.2993006993006873,5.570426065162913,14929.0,5.401182501150743,83.3,9.9,103.16017156151543,75.589
2018,96.04782608695655,99.0,1.2052447552447347,5.589519401953169,15302.0,5.696913430429731,84.4667,7.8,103.61812969492314,75.688
2019,96.17173913043479,99.0,1.1111888111887822,5.6086127387434175,15713.0,5.99264435970872,85.6333,6.1,104.07608782833086,77.26145528930448
2020,96.29565217391306,99.0,1.017132867132858,5.627706075533666,13082.0,6.288375288987709,86.8,-1.5923076923072585,104.53404596173857,77.49585973115137
