year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,89.30382580382579,100.0,3.4499999999999886,2.197,0.6323401709401715,12392,4.03,5.843525816540904,121.02708216783208,51.9,100.0,69.12390244,-3.01909090909092
1961,89.42165242165242,100.0,3.39823529411764,2.484,0.6370977777777789,13349,4.06,8.207245914,120.38163111888093,49.8,100.0,69.7602439,-2.9381818181818176
1962,89.53947903947903,100.0,3.3464705882352916,2.8989999999999996,0.6418553846153845,14299,4.09,6.203650457999999,119.73618006993001,47.6,100.0,69.1497561,-2.8572727272727434
1963,89.65730565730564,100.0,3.294705882352943,3.235,0.6466129914529919,15212,4.12,5.609727978,119.09072902097887,45.4,100.0,69.24804878,-2.776363636363641
1964,89.77513227513228,100.0,3.2429411764705804,3.426,0.6513705982905993,15682,4.15,2.7977022789999997,118.44527797202795,43.2,100.0,70.31170732,-2.6954545454545666
1965,89.89295889295889,100.0,3.191176470588232,3.665,0.6561282051282049,15916,4.18,3.26802372,117.79982692307681,41.1,100.0,70.17170732,-2.614545454545464
1966,90.0107855107855,100.0,3.1394117647058835,4.1080000000000005,0.6608858119658123,16636,4.2139999999999995,5.984794225,117.15437587412566,39.3,100.0,70.92609756,-2.5336363636363615
1967,90.12861212861213,100.0,3.0876470588235208,4.463,0.6656434188034197,17707,4.248,7.178612466000001,116.50892482517474,37.8,100.0,70.95658537,-2.4527272727272873
1968,90.24643874643874,100.0,3.0358823529411723,4.717,0.6704010256410253,19072,4.282,6.544554655,115.8634737762236,36.4,100.0,70.78,-2.3718181818181847
1969,90.36426536426535,100.0,2.9841176470588238,5.07,0.6751586324786327,20038,4.316,6.098059996,115.21802272727268,35.1,100.0,70.81195122,-2.2909090909091105
1970,90.48209198209199,100.0,2.932352941176461,5.534,0.6799162393162401,20356,4.35,5.2686965169999995,114.57257167832154,33.5,100.0,71.55878049,-2.210000000000008
1971,90.5999185999186,100.0,2.8805882352941126,5.771,0.6846738461538457,20610,4.37,1.818107989,113.92712062937062,31.8,100.0,71.80682927,-2.129090909090934
1972,90.7177452177452,100.0,2.828823529411764,6.051,0.6894314529914531,21072,4.39,3.6904857489999996,113.28166958041948,29.8,100.0,72.07536585,-2.048181818181831
1973,90.83557183557184,100.0,2.7770588235294014,6.474,0.6941890598290605,22274,4.41,7.125862303,112.63621853146833,27.6,100.0,72.02634146,-1.9672727272727286
1974,90.95339845339845,100.0,2.725294117647053,6.527,0.6989466666666679,23137,4.43,5.500141129,111.99076748251741,25.3,100.0,72.73439024,-1.8863636363636545
1975,91.07122507122506,100.0,2.6735294117647044,6.182,0.7037042735042736,22500,4.45,4.058419212337043,111.34531643356627,23.1,100.0,72.64731707,-1.8054545454545519
1976,91.1890516890517,100.0,2.6217647058823417,6.6,0.708461880341881,23848,4.468,7.125385166,110.69986538461535,21.1,100.0,72.99195122,-1.7245454545454777
1977,91.3068783068783,100.0,2.569999999999993,6.372999999999999,0.7132194871794884,24440,4.486000000000001,2.560500799,110.0544143356642,19.5,100.0,73.36463415,-1.643636363636375
1978,91.42470492470491,100.0,2.5182352941176447,6.653,0.717977094017094,25270,4.504,3.2401397910000003,109.40896328671329,18.2,100.0,73.69317073,-1.5627272727272725
1979,91.54253154253152,100.0,2.466470588235296,6.882999999999999,0.7227347008547014,26643,4.522,5.9591594510000006,108.76351223776214,17.0,100.0,74.00268293,-1.4818181818181984
