year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,42.78378378378375,34.526495726495796,0.22899999999999998,0.4523264957264974,1998,3.12,3.9461027332815277,94.0,3.587496581538744,41.569999999999936,59.369,21.502169731800677
1961,43.97439544807958,35.657094017094096,0.23,0.458158632478634,1983,3.16,3.9775674344323164,89.8,5.2286770306923245,40.93999999999983,59.769,21.134905582922784
1962,45.165007112375406,36.787692307692396,0.247,0.46399076923077054,2001,3.2,3.818019558,86.9,6.86985747984636,40.309999999999945,60.177,20.76764143404489
1963,46.35561877667169,37.918290598290696,0.239,0.4698229059829071,1991,3.24,2.516748594,84.8,8.51103792899994,39.679999999999836,60.611000000000004,20.400377285166883
1964,47.54623044096752,39.048888888888996,0.209,0.47565504273504366,2036,3.28,3.906433831,82.8,10.152218378153975,39.049999999999955,61.078,20.03311313628899
1965,48.73684210526335,40.179487179487296,0.239,0.48148717948718023,2051,3.32,2.536953544,80.7,11.79339882730801,38.419999999999845,61.57899999999999,19.665848987410982
1966,49.92745376955918,41.310085470085596,0.23399999999999999,0.4873193162393168,1980,3.5980000000000003,5.023789432,78.2,13.43457927646159,37.789999999999964,62.104,19.29858483853309
1967,51.11806543385501,42.440683760683896,0.253,0.49315145299145335,2111,3.8760000000000003,6.4390244260000005,75.4,15.075759725615626,37.159999999999854,62.631,18.93132068965508
1968,52.30867709815084,43.571282051282196,0.271,0.4989835897435917,2216,4.154,5.80109417,73.1,16.716940174769206,36.52999999999997,63.144,18.564056540777187
1969,53.49928876244667,44.701880341880496,0.354,0.5048157264957283,2254,4.4319999999999995,7.716819663,71.4,18.35812062392324,35.899999999999864,63.63399999999999,18.196792391899294
1970,54.6899004267425,45.8324786324788,0.28800000000000003,0.5106478632478648,2312,4.71,3.8466298510000003,70.1,19.999301073076822,35.26999999999998,64.097,17.829528243021286
1971,55.88051209103833,46.9630769230771,0.251,0.5164800000000014,2248,4.806,1.306905397,69.2,21.640481522230857,34.63999999999987,64.528,17.462264094143393
1972,57.071123755334156,48.0936752136754,0.272,0.522312136752138,2252,4.902,4.323679147091049,68.5,23.281661971384892,34.00999999999999,64.934,17.094999945265386
1973,58.26173541963044,49.2242735042737,0.278,0.5281442735042745,2302,4.998,7.057398935,67.5,24.922842420538473,33.37999999999988,65.321,16.727735796387492
1974,59.45234708392627,50.354871794872,0.217,0.5339764102564111,2340,5.093999999999999,3.845830836,66.0,26.564022869692508,32.75,65.694,16.360471647509485
1975,60.6429587482221,51.4854700854703,0.21,0.5398085470085476,2356,5.19,6.126233161,63.9,28.205203318846088,32.11999999999989,66.067,15.993207498631591
1976,61.83357041251793,52.6160683760686,0.2,0.5456406837606842,2385,5.266,3.335106692,61.1,29.846383768000123,31.49000000000001,66.459,15.625943349753697
1977,63.02418207681376,53.7466666666669,0.205,0.5514728205128225,2499,5.3420000000000005,5.100590264,57.6,31.48756421715416,30.8599999999999,66.874,15.25867920087569
1978,64.21479374110959,54.8772649572652,0.237,0.5573049572649591,2607,5.417999999999999,5.653836857999999,53.7,33.12874466630774,30.22999999999979,67.308,14.891415051997797
1979,65.40540540540542,56.0078632478635,0.259,0.5631370940170957,2723,5.494,6.403556926,49.8,34.769925115461774,29.59999999999991,67.751,14.52415090311979
1980,46,57.13846153846134,0.22699999999999998,0.5689692307692322,2823,5.57,5.846026516,46.2,36.411105564615355,28.9699999999998,68.171,14.156886754241896
1981,45,58.26905982905964,0.264,0.5748013675213688,2951,5.632000000000001,5.699524767000001,43.0,38.05228601376939,28.339999999999918,68.529,13.789622605363888
1982,57,59.39965811965794,0.29,0.5806335042735054,3049,5.694,4.141495702,40.1,39.69346646292297,27.70999999999981,68.801,13.422358456485995
1983,64,60.53025641025624,0.31,0.5864656410256419,3163,5.756,4.81399097,36.9,41.334646912077005,27.079999999999927,68.975,13.055094307608101
1984,66,61.66085470085454,0.243,0.5922977777777785,3278,5.818,5.099146558,33.5,42.97582736123104,26.449999999999818,69.057,12.687830158730094
1985,70,62.79145299145284,0.244,0.598129914529915,3371,5.88,4.999406369,30.1,44.61700781038462,25.819999999999936,69.079,13.3
1986,75,63.92205128205114,0.225,0.6039620512820516,3490,5.922000000000001,4.355546917,27.0,46.258188259538656,25.189999999999827,69.086,12.38
1987,77,65.05264957264944,0.244,0.6097941880341899,3474,5.9639999999999995,1.7256106930000001,24.6,47.899368708692236,24.559999999999945,69.12100000000001,11.46
1988,83,66.18324786324774,0.207,0.6156263247863265,3515,6.006,2.4726850380000003,22.9,49.54054915784627,23.929999999999836,69.209,10.54
1989,87,67.31384615384604,0.203,0.6214584615384631,3558,6.047999999999999,2.2993014119999997,22.2,51.18172960700031,23.299999999999955,69.352,9.62
1990,86,68,0.223,0.626,3739,6.09,6.3999953110000005,21.9,52.5966568,22.669999999999845,69.509,8.7
1991,86,70,0.23800000000000002,0.632,4094,6.1,4.599987243,21.8,54.30726242,22.039999999999964,69.62,8.72
1992,88,71,0.292,0.638,3920,6.11,4.3999912519999995,21.6,56.01741791,21.409999999999854,69.639,8.74
1993,90,72,0.281,0.644,4169,6.12,6.900063252000001,21.2,57.72486496,20.779999999999973,69.557,8.76
1994,88,73,0.305,0.65,4462,6.13,5.599918727,20.7,59.42690277,20.149999999999864,69.403,8.78
1995,93,74,0.32299999999999995,0.6559999999999999,4694,6.14,5.500085232000001,20.0,61.12082291,19.519999999999982,69.259,8.8
1996,92,75,0.384,0.662,5229,6.122000000000001,3.799967205,19.3,62.80391693,18.889999999999873,69.237,8.7286
1997,97,76,0.41200000000000003,0.6679999999999999,5734,6.104,6.405399697999999,18.6,64.47348785,18.25999999999999,69.419,8.6571
1998,94,77,0.42100000000000004,0.674,5611,6.086,4.698423046,17.9,66.12681579999999,17.62999999999988,69.845,8.5857
1999,99,79,0.461,0.68,5742,6.068,4.300540498,17.2,67.76231384,17.0,70.503,8.5143
2000,99,80,0.545,0.6859999999999999,6188,6.05,6.00003316,16.5,69.38275909,16.37,71.333,8.4429
