year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1978,83.67999999999995,96.62188034188034,5.261176470588225,3.615,0.6005042735042725,17956.173170731723,9.989409510586142,57.20006521739151,19.551700404858366,100.0,70.53878049
1979,84.05076923076922,96.70324786324787,5.129852941176466,3.9139999999999997,0.6069444444444425,18062.350000000006,9.706026356247207,57.78101552795033,19.11613360323895,100.0,70.42731707
1980,84.42153846153838,96.78461538461539,4.998529411764707,3.832,0.6133846153846143,21685.0,9.422643201908272,58.36196583850938,18.68056680161942,100.0,70.17536585
1981,84.79230769230765,96.86598290598289,4.867205882352948,4.148,0.6198247863247843,21668.0,9.139260047569223,58.942916149068424,23.6,100.0,70.34439024
1982,85.16307692307691,96.94735042735041,4.735882352941189,3.7910000000000004,0.6262649572649561,21579.0,8.855876893230288,59.52386645962747,22.1,100.0,70.48268293
1983,85.53384615384607,97.02871794871794,4.60455882352943,4.062,0.6327051282051261,21147.0,8.572493738891353,60.10481677018652,20.8,100.0,70.27487805
1984,85.90461538461534,97.11008547008547,4.473235294117615,4.261,0.6391452991452979,21549.0,8.289110584552418,60.685767080745336,19.5,100.0,70.21853659
1985,86.27538461538461,97.19145299145299,4.341911764705856,4.3260000000000005,0.645585470085468,21493.0,8.00572743021337,61.26671739130438,18.2,100.0,70.88609756
1986,86.64615384615377,97.27282051282052,4.210588235294097,4.498,0.6520256410256398,22027.0,7.722344275874434,61.84766770186343,17.0,100.0,71.41902439
1987,87.01692307692304,97.35418803418804,4.079264705882338,4.449,0.6584658119658116,21944.0,7.438961121535499,62.428618012422476,15.8,100.0,71.4702439
1988,87.3876923076923,97.43555555555554,3.9479411764705787,4.59,0.6649059829059816,21706.0,7.155577967196564,63.00956832298152,14.7,100.0,71.48829268
1989,87.75846153846146,97.51692307692306,3.81661764705882,4.575,0.6713461538461534,21327.0,6.872194812857515,63.59051863354057,13.7,100.0,71.84463415
1990,88.12923076923073,98,3.685294117647061,4.897,0.669,19783.0,6.58881165851858,64.17146894409939,12.8,100,72.1704878
1991,88.5,98,3.553970588235302,3.628,0.677,15498.0,6.305428504179645,64.75241925465843,12.0,100,72.18536585
1992,83.0,98,3.422647058823543,3.51,0.685,13837.0,6.02204534984071,65.33336956521748,11.4,100,71.24146341
1993,85.0,98,3.291323529411784,3.636,0.693,12765.0,5.7386621955017745,65.91431987577653,10.8,100,71.52243902
1994,87.0,98,3.159999999999968,3.508,0.701,13455.0,5.455279041162726,66.49527018633557,10.4,100,71.80341463
1995,90.0,98,3.6,3.68,0.7090000000000001,14429.0,5.1718958868237905,67.0762204968944,10.0,100,72.08439024
1996,91.0,98,2.6,3.845,0.7170000000000001,15398.0,5.873698253,67.65717080745344,9.6,100,72.36536585
1997,92.0,98,2.6,4.119,0.725,16499.0,6.645474107,68.23812111801249,9.3,100,72.49512195
1998,93.0,98,2.9,4.312,0.733,16901.0,1.8618809090000001,68.81907142857153,8.9,100,72.31707317
1999,93.0,98,2.7,4.537,0.741,16788.0,4.038363269467936,69.4,8.6,100,72.64195122
2000,93.0,98,2.5,4.468999999999999,0.7490000000000001,17412.0,3.767496172,69.98100000000001,8.3,100,72.80780488
2001,94.0,98,1.9,4.75,0.7549,17898.0,3.434404365,70.5619,8.0,100,74.51292683
2002,95.0,98,1.8,5.012,0.7608,18737.0,5.246474528999999,71.1429,7.7,100,74.71731707
2003,94.0,99,1.5,5.322,0.7667,19789.0,5.557907035,71.7238,7.4,100,74.61390244
2004,96.0,99,1.9,5.249,0.7726,20561.0,4.082810688,72.3048,7.0,100,75.5202439
2005,96.0,99,1.5,5.356,0.7785,21404.0,4.163840897,72.8857,6.7,100,75.24463415
2006,96.0,99,1.7,5.417999999999999,0.7844,22453.0,4.785120878,73.4667,6.4,100,75.83682927
2007,96.0,99,1.4,5.736000000000001,0.7903,23656.0,5.15000498,74.0476,6.1,100,75.70560976
2008,96.0,99,1.6,5.457000000000001,0.7962,24155.0,2.0533655,74.6286,5.9,100,75.91219512
2009,96.0,99,1.1,5.061,0.8021,22421.0,1.2045317260783577,75.2095,5.7,100,76.16829268
2010,97.0,99,1.4,4.898,0.8079999999999999,22148.0,0.9211485717394226,75.7905,5.5,100,76.47560976
2011,96.0,99,0.9275000000000091,4.813,0.815,22142.0,0.6377654174003737,76.3714,5.3,100,76.77560976
2012,96.0,99,0.7961764705882501,4.462,0.8170000000000001,21701.0,0.3543822630614386,76.9524,5.2,100,76.92439024
2013,96.0,100,0.6648529411764912,4.332,0.82,21666.0,0.07099910872250348,77.5333,5.1,100,77.12682927
2014,95.0,100,0.5335294117646754,4.176,0.823,21739.0,-0.21238404561643165,78.1143,5.0,100,77.47804878
2015,94.0,100,0.40220588235291643,4.23,0.8270000000000001,22371.0,1.6414420669999998,78.6952,4.9,100.0,77.27560976
2016,93.0,99.71384615384616,0.2708823529411575,4.405,0.845230769230767,23278.0,2.9292878030000002,79.2762,4.9,100.0,78.02195122
2017,98.13999999999999,99.79521367521366,0.13955882352939852,5.537812656641606,0.8516709401709388,24078.0,-1.0625335086333507,79.8571,4.9,100.0,77.82682927
2018,98.51076923076914,99.87658119658118,0.008235294117639569,5.599174012617766,0.8581111111111106,24836.0,-1.3459166629722858,80.4381,4.8,100.0,78.07073171
2019,98.88153846153841,99.95794871794871,-0.12308823529411939,5.660535368593912,0.8645512820512806,25636.0,-1.629299817311221,81.01899999999999,4.8,100.0,78.09060981319112
2020,99.25230769230768,100.03931623931624,-0.25441176470587834,5.721896724570058,0.8709914529914524,22415.600000000006,-1.9126829716502698,81.6,1.257894736842104,100.0,78.30076811743311
