year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1960,77.00615384615378,95.15726495726494,7.625,1.369,0.48458119658119614,16044.990243902459,15.09030628868743,46.742959627329355,27.391902834008192,100.0,64.60865854
1961,77.37692307692305,95.23863247863247,7.493676470588241,1.426,0.49102136752136616,16151.167073170742,14.806923134348494,47.3239099378884,26.956336032388663,100.0,65.0155122
1962,77.74769230769232,95.32,7.362352941176482,1.4509999999999998,0.49746153846153796,16257.343902439054,14.52353998000956,47.90486024844722,26.520769230769247,100.0,65.4082439
1963,78.11846153846147,95.40136752136752,7.231029411764723,1.605,0.503901709401708,16363.520731707336,14.24015682567051,48.48581055900627,26.08520242914983,100.0,65.78787805
1964,78.48923076923074,95.48273504273504,7.099705882352907,1.807,0.5103418803418798,16469.69756097562,13.956773671331575,49.066760869565314,25.649635627530415,100.0,66.15443902
1965,78.86000000000001,95.56410256410257,6.968382352941148,1.85,0.5167820512820498,16575.87439024393,13.67339051699264,49.64771118012436,25.214068825911,100.0,66.51204878
1966,79.23076923076917,95.6454700854701,6.837058823529389,1.8230000000000002,0.5232222222222216,16682.051219512214,13.390007362653705,50.22866149068341,24.778502024291583,100.0,66.86278049
1967,79.60153846153844,95.72683760683759,6.7057352941176305,1.8330000000000002,0.5296623931623916,16788.228048780496,13.106624208314656,50.80961180124223,24.342935222672054,100.0,67.20873171
1968,79.97230769230771,95.80820512820512,6.5744117647058715,1.952,0.5361025641025634,16894.40487804881,12.823241053975721,51.39056211180127,23.907368421052638,100.0,67.54892683
1969,80.34307692307686,95.88957264957264,6.443088235294113,2.015,0.5425427350427334,17000.58170731709,12.539857899636786,51.97151242236032,23.471801619433222,100.0,67.88136585
1970,80.71384615384613,95.97094017094017,6.311764705882354,2.625,0.5489829059829052,17106.758536585374,12.25647474529785,52.552462732919366,23.036234817813806,100.0,68.2004878
1971,81.0846153846154,96.05230769230769,6.180441176470595,2.818,0.5554230769230752,17212.935365853686,11.973091590958916,53.13341304347841,22.60066801619439,100.0,68.50163415
1972,81.45538461538456,96.13367521367522,6.049117647058836,2.634,0.561863247863247,17319.11219512197,11.689708436619867,53.71436335403746,22.165101214574975,100.0,68.77873171
1973,81.82615384615383,96.21504273504274,5.917794117647077,3.135,0.5683034188034171,17425.28902439025,11.406325282280932,54.29531366459628,21.72953441295556,100.0,69.0292439
1974,82.19692307692299,96.29641025641024,5.786470588235261,3.137,0.5747435897435889,17531.465853658563,11.122942127941997,54.876263975155325,21.29396761133603,100.0,69.25270732
1975,82.56769230769225,96.37777777777777,5.655147058823502,3.262,0.5811837606837589,17637.642682926846,10.839558973603062,55.45721428571437,20.858400809716613,100.0,70.00195122
1976,82.93846153846152,96.45914529914529,5.523823529411743,3.355,0.5876239316239307,17743.81951219513,10.556175819264013,56.03816459627342,20.422834008097198,100.0,70.45536585
1977,83.30923076923068,96.54051282051282,5.392499999999984,3.2489999999999997,0.5940641025641007,17849.99634146344,10.272792664925078,56.619114906832465,19.98726720647778,100.0,70.74439024
