year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,-22.529729729729752,-6.750427350427344,0.047,0.22450085470085668,5.128524958243517,251.3,-41.585584537252544,44.431999999999995,79.48792955665022
1961,-20.600386100386004,-5.533675213675451,0.057,0.22982888888889086,15.52991332,244.7,-40.118342951881914,45.132,78.0520282977559
1962,-18.67104247104271,-4.3169230769231035,0.066,0.23515692307692504,0.726608377,238.0,-38.65110136651083,45.833999999999996,76.61612703886158
1963,-16.741698841698962,-3.100170940170756,0.096,0.24048495726495922,5.009222258075027,231.6,-37.1838597811402,46.531000000000006,75.18022577996726
1964,-14.812355212355214,-1.8834188034188628,0.125,0.2458129914529934,27.69088635,225.2,-35.71661819576957,47.214,73.74432452107294
1965,-12.883011583011466,-0.6666666666665151,0.161,0.2511410256410276,16.1383305,218.9,-34.249376610398485,47.868,72.30842326217862
1966,-10.953667953668173,0.5500854700853779,0.17600000000000002,0.25646905982906176,0.230961965,212.6,-32.782135025027856,48.476000000000006,70.8725220032843
1967,-9.024324324324425,1.7668376068377256,0.19,0.26179709401709594,3.567132897,206.5,-31.314893439657226,49.032,69.43662074438998
1968,-7.094980694980677,2.9835897435896186,0.212,0.2671251282051301,10.19644263,200.7,-29.84765185428614,49.536,68.00071948549567
1969,-5.165637065636929,4.200341880341966,0.242,0.2724531623931643,1.248532088,195.9,-28.38041026891551,49.99,66.56481822660135
1970,-3.2362934362936358,5.417094017093859,0.374,0.2777811965811985,11.98593115,192.6,-26.913168683544882,50.403999999999996,65.12891696770657
1971,-1.3069498069498877,6.633846153846207,0.33799999999999997,0.28310923076923267,1.842886437,190.7,-25.445927098174252,50.788000000000004,63.693015708812254
1972,0.6223938223938603,7.8505982905981,0.369,0.28843726495726685,4.6513141575695585,189.6,-23.978685512803168,51.16,62.257114449917935
1973,2.5517374517376084,9.067350427350448,0.375,0.29376529914530103,4.611546590846729,189.1,-22.511443927432538,51.538999999999994,60.82121319102362
1974,4.481081081080902,10.28410256410234,0.37200000000000005,0.2990933333333352,12.16261106,188.0,-21.044202342061908,51.935,59.3853119321293
1975,6.41042471042465,11.500854700854688,0.384,0.3044213675213694,4.532011457401069,185.9,-19.576960756690823,52.358000000000004,57.94941067323498
1976,8.339768339768398,12.717606837606581,0.38,0.30974940170940357,8.54610493,182.8,-18.109719171320194,52.817,56.51350941434066
