year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1985,33,65.24102564102577,0.6629999999999999,0.5171692307692304,4018,4.56,3.050541446433499,145.8,47.59631913768453,36.46968008791214,53.115,20.28683760683748
1986,42,66.11076923076939,0.595,0.5225815384615391,3821,4.686,3.08392103677393,141.0,49.0751317915383,35.85578835164847,53.695,19.996051282051212
1987,35,66.98051282051279,0.623,0.527993846153846,3848,4.812,2.463479373,136.2,50.55394444539206,35.241896615384576,54.284,19.70526495726483
1988,28,67.8502564102564,0.654,0.5334061538461548,3914,4.938,2.909505419,131.3,52.03275709924583,34.62800487912091,54.881,19.414478632478563
1989,52,68.72000000000003,0.742,0.5388184615384617,3940,5.064,3.790128534,126.4,53.51156975310005,34.01411314285724,55.486000000000004,19.12369230769218
1990,41,68,0.8390000000000001,0.535,4049,5.19,4.635787879,121.5,54.7538414,33.40022140659357,56.099,8.6
1991,43,70,0.858,0.5422,4162,5.28,5.266522121,116.8,56.30331421,32.78632967032968,56.721000000000004,10.1286
1992,45,71,0.932,0.5494,4131,5.37,1.646500039,112.1,57.85233688,32.17243793406601,57.351000000000006,11.6571
1993,52,72,1.075,0.5566,4209,5.46,4.269294855,107.4,59.39865112,31.558546197802343,57.989,13.1857
1994,58,73,1.163,0.5638,4308,5.55,4.667266263,102.8,64.1,30.94465446153845,58.631,14.7143
1995,64,74,1.3,0.5710000000000001,4411,5.64,4.678277099999999,98.3,62.47234344,30.33076272527478,59.276,16.2429
1996,61,75,1.272,0.5782,4506,5.718,4.361340294,93.7,63.99430847,29.716870989011113,59.922,17.7714
1997,58,76,1.389,0.5854,4631,5.796,4.954208743,89.1,67.330431,29.102979252747218,60.566,19.3
1998,61,77,1.368,0.5926,4762,5.874,5.029354755,84.5,71.2,28.48908751648355,61.20399999999999,22.3
1999,77,78,1.276,0.5998,4683,5.952000000000001,0.426885423,80.0,70.929888,27.875195780219883,61.835,25.3
