year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1960,73.90090090090098,99.0,28.93,0.6439675213675216,199092,1.41,3.062113177314586,141.3,100.0,59.343
1961,74.41773352299674,99.0,33.086,0.6470176068376068,180427,1.456,3.1301629807751112,131.8,100.0,60.099
1962,74.9345661450925,99.0,42.211999999999996,0.6500676923076929,182714,1.5019999999999998,3.198212784235608,122.9,100.0,60.841
1963,75.45139876718827,99.0,44.776,0.6531177777777781,175031,1.548,3.2662625876961044,114.3,100.0,61.565
1964,75.96823138928403,99.0,59.52,0.6561678632478634,174835,1.594,3.3343123911566295,106.4,100.0,62.265
1965,76.48506401137979,99.0,74.733,0.6592179487179495,162605,1.64,3.402362194617126,98.6,100.0,62.934
1966,77.00189663347555,99.0,66.914,0.6622680341880347,166176,1.67,12.31556112,91.7,100.0,63.566
1967,77.51872925557143,99.0,43.903,0.6653181196581199,154839,1.7,2.380541166,85.3,100.0,64.158
1968,78.03556187766719,99.0,35.313,0.6683682051282052,154087,1.73,9.355455835,79.6,100.0,64.71300000000001
1969,78.55239449976295,99.0,38.792,0.6714182905982913,144849,1.76,2.735418635,74.6,100.0,65.23100000000001
1970,79.06922712185872,99.0,33.504,0.6744683760683765,212090,1.79,3.1817496089999997,70.0,100.0,65.715
1971,79.58605974395448,99.0,33.852,0.6775184615384617,213716,1.746,7.671405977,65.7,100.0,66.169
1972,80.10289236605024,99.0,32.306999999999995,0.680568547008547,209300,1.702,4.401129175,61.8,100.0,66.602
1973,80.61972498814612,99.0,26.659000000000002,0.6836186324786331,184411,1.6580000000000001,3.9467606223011558,58.1,100.0,67.02
1974,81.13655761024188,99.0,20.014,0.6866687179487183,151554,1.614,4.014810425761652,54.6,100.0,67.426
1975,81.65339023233764,99.0,16.401,0.6897188034188035,125491,1.57,4.082860229222177,51.2,100.0,67.824
1976,82.1702228544334,99.0,16.948,0.6927688888888897,125522,1.6380000000000001,9.098076499,48.0,100.0,68.217
1977,82.68705547652917,99.0,14.874,0.6958189743589749,113439,1.706,4.218959836143171,44.8,100.0,68.602
1978,83.20388809862493,99.0,17.09,0.6988690598290601,114282,1.774,7.359335593,41.8,100.0,68.977
1979,83.72072072072069,99.0,13.58,0.7019191452991453,122127,1.8419999999999999,13.914124,38.9,100.0,69.342
1980,67,99.0,17.97,0.7049692307692315,91698,1.91,4.423109246524689,36.0,100.0,69.693
1981,79,99.0,17.457,0.7080193162393167,71101,1.952,4.4911590499851854,33.0,100.0,70.028
1982,83,99.0,13.994000000000002,0.7110694017094019,60014,1.994,4.559208853445682,30.0,100.0,70.344
1983,89,99.0,13.659,0.7141194871794871,61952,2.036,10.41418846,27.2,100.0,70.64
1984,89,99.0,17.115,0.7171695726495733,62352,2.0780000000000003,5.239900363,24.8,100.0,70.914
1985,90,99.0,16.757,0.7202196581196585,56415,2.12,4.7633582638272,23.0,100.0,71.167
1986,91,99.0,19.22,0.7232697435897437,58558,2.1519999999999997,8.565233495,21.6,100.0,71.398
1987,92,99.0,16.183,0.726319829059829,53821,2.184,8.142556264,20.5,100.0,71.61
1988,94,99.0,16.131,0.7293699145299151,53394,2.2159999999999997,4.9675076742087185,19.5,100.0,71.805
1989,94,99.0,17.101,0.7324200000000003,55057,2.248,25.8951771,18.5,100.0,71.985
1990,71,99,24.271,0.713,42293,2.28,27.919,17.5,100,72.15
1991,80,99,5.001,0.7203,25734,2.292,29.9428,19.2,100,72.3
1992,88,99,10.992,0.7276,49958,2.3040000000000003,31.9666,15.8,100,72.435
1993,97,99,18.71,0.7349,72818,2.316,33.99046707,15.2,100,72.556
1994,99,99,23.366,0.7422,84473,2.3280000000000003,8.436165768,14.7,100,72.666
1995,99,99,34.010999999999996,0.7495,88724,2.34,4.858291223999999,14.3,100,72.764
1996,99,99,30.71,0.7568,88101,2.404,0.6051269779999999,13.9,100,72.852
1997,96,99,31.994,0.7641,85898,2.468,2.473325247,13.5,100,72.931
1998,95,99,28.154,0.7714,83168,2.532,3.662055103,13.0,100,73.00399999999999
1999,94,99,27.581999999999997,0.7787,76642,2.596,5.7160555122742664,12.7,100,73.074
2000,98,99,26.098000000000003,0.7859999999999999,76572,2.66,4.694581988,12.4,100,73.142
2001,99,99,27.302,0.7866,74600,2.734,0.729026414,12.1,100,73.21
2002,99,99,27.138,0.7872,75613,2.8080000000000003,3.000000009,11.9,100,73.28
2003,99,99,27.601,0.7878,87687,2.8819999999999997,17.32000038,11.8,100,73.355
2004,98,99,28.750999999999998,0.7884,95417,2.9560000000000004,10.7621943,11.6,100,73.439
2005,99,99,31.401999999999997,0.789,101862,3.03,10.07595099,11.4,100,73.538
2006,99,99,31.006,0.7896,104886,3.0439999999999996,7.52024923,11.2,100,73.66
2007,99,99,30.026999999999997,0.7902,105568,3.0580000000000003,5.9916612460000005,11.1,100,73.807
2008,99,99,31.165,0.7908,102112,3.072,2.4798438330000003,10.9,100,73.976
2009,99,99,30.944000000000003,0.7914,89279,3.0860000000000003,6.396553546879318,10.7,100,74.16199999999999
2010,98,99,29.869,0.792,81954,3.1,6.464603350339814,10.4,100,74.358
2011,99,99,28.505,0.794,84411,3.0366431372548846,9.628436082,10.0,100,74.55
2012,98,99,30.113000000000003,0.7959999999999999,84583,3.0703073906485514,6.626388081,9.6,100,74.72800000000001
2013,99,99,27.307,0.787,80734,3.1039716440422183,1.149038847,9.3,100,74.885
2014,95,99,25.203000000000003,0.799,77189,3.137635897435885,0.500109942,9.0,100,75.01899999999999
2015,99,99,26.498,0.8,74621,3.171300150829552,1.846999262,8.7,100.0,75.13
2016,99,99.0,25.813000000000002,0.8147723076923077,74591,3.204964404223219,6.872902171102822,8.5,100.0,75.22399999999999
2017,103.36036036036046,99.0,21.375468045112825,0.8178223931623938,70533,3.2386286576168857,6.9409519745633474,8.3,100.0,75.311
2018,103.87719298245622,99.0,21.157605781695622,0.820872478632479,70724,3.2722929110105525,7.009001778023844,8.1,100.0,75.398
2019,104.39402560455198,99.0,20.939743518278476,0.8239225641025643,72057,3.305957164404205,7.077051581484341,7.9,100.0,77.474739333723
2020,104.91085822664775,99.0,20.72188125486133,0.8269726495726495,47326.77514124289,3.339621417797872,7.145101384944866,-17.532598870056063,100.0,77.71423798947984
