year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,-1.1531531531531982,34.05128205128176,14.811111111111018,-0.6068091932457804,10.103964413335433,296.6526153846153,-157.6282180644448,34.525999999999996,181.81454545454653
1961,0.9084874348031917,35.287179487178946,14.519444444444389,-0.576351407129458,10.03782926824303,291.5275384615379,-152.84635340789282,34.889,178.26181818181885
1962,2.9701280227595817,36.52307692307659,14.22777777777776,-0.5458936210131355,9.971694123150627,286.40246153846056,-148.064488751339,35.29,174.70909090909208
1963,5.031768610715517,37.758974358973774,13.936111111111018,-0.5154358348968131,9.905558978058224,281.277384615385,-143.28262409478702,35.734,171.1563636363644
1964,7.093409198671907,38.994871794871415,13.644444444444389,-0.48497804878049067,9.83942383296582,276.15230769230766,-138.50075943823504,36.22,167.60363636363672
1965,9.155049786628297,40.230769230769056,13.35277777777776,-0.45452026266416823,9.773288687873418,271.0272307692303,-133.71889478168123,36.745,164.05090909090995
1966,11.216690374584687,41.46666666666624,13.061111111111018,-0.4240624765478458,9.707153542781015,265.90215384615294,-128.93703012512924,37.303000000000004,160.49818181818227
1967,13.278330962541077,42.70256410256388,12.769444444444389,-0.39360469043152335,9.641018397688583,260.7770769230774,-124.15516546857725,37.882,156.9454545454555
1968,15.339971550497467,43.93846153846107,12.47777777777776,-0.3631469043152009,9.57488325259618,255.65200000000004,-119.37330081202344,38.469,153.39272727272783
1969,17.401612138453856,45.17435897435871,12.186111111111018,-0.3326891181988785,9.508748107503777,280.9,-114.59143615547146,39.056999999999995,149.84000000000106
1970,19.463252726410246,46.4102564102559,11.894444444444389,-0.30223133208255604,9.442612962411374,272.0,-109.80957149891947,39.635,146.28727272727338
1971,21.524893314366636,47.64615384615354,11.60277777777776,-0.2717735459662336,9.376477817318971,263.7,-105.02770684236566,40.194,142.7345454545466
1972,23.586533902323026,48.882051282050725,11.311111111111018,-0.24131575984991116,9.310342672226568,255.7,-100.24584218581367,40.735,139.18181818181893
1973,25.648174490279416,50.117948717948366,11.019444444444389,-0.21085797373358872,9.244207527134165,247.5,-95.46397752926168,41.263000000000005,135.62909090909125
1974,27.709815078235806,51.35384615384555,10.72777777777776,-0.18040018761726628,9.178072382041762,239.4,-90.68211287270788,41.784,132.07636363636448
1975,29.771455666192196,52.58974358974319,10.436111111111018,-0.14994240150094384,9.11193723694933,231.3,-85.90024821615589,42.31100000000001,128.5236363636368
1976,31.833096254148586,53.825641025640834,10.144444444444389,-0.1194846153846214,9.045802091856928,223.7,-81.1183835596039,42.861000000000004,124.97090909091003
1977,33.894736842104976,55.06153846153802,9.85277777777776,0.027000000000000003,8.979666946764524,216.2,-76.33651890305009,43.446999999999996,121.41818181818235
1978,35.956377430061366,56.29743589743566,9.561111111111018,0.026000000000000002,8.913531801672121,208.7,-71.5546542464981,44.077,117.86545454545558
1979,38.018018018017756,57.53333333333285,9.269444444444389,0.05,8.847396656579718,201.4,-66.7727895899443,44.751000000000005,114.3127272727279
1980,6,58.76923076923049,8.97777777777776,0.049,8.781261511487315,193.8,-61.99092493339231,45.464,110.76000000000113
1981,13,60.005128205127676,8.686111111111018,0.071,13.90772904,186.4,-57.20906027684032,46.20399999999999,107.20727272727345
1982,15,61.24102564102532,8.394444444444389,0.07,3.413941475,179.1,-52.42719562028651,46.95399999999999,103.65454545454577
1983,16,62.4769230769225,8.10277777777776,0.068,11.31071362,172.0,-47.64533096373452,47.702,100.101818181819
1984,28,63.712820512820144,7.811111111111018,0.11,4.482105129,165.0,-42.863466307182534,48.442,96.54909090909132
1985,41,64.94871794871779,7.519444444444389,0.128,4.211775036000001,158.1,-38.08160165062873,49.173,92.99636363636455
1986,53,66.18461538461497,7.22777777777776,0.10400000000000001,11.73057663,151.6,-33.29973699407674,49.901,89.44363636363687
1987,63,67.42051282051261,6.936111111111018,0.2,28.69626536,145.2,-28.51787233752475,50.632,85.8909090909101
1988,70,68.6564102564098,6.644444444444389,0.213,4.987289699,138.9,-23.736007680970943,51.372,82.33818181818242
1989,76,69.89230769230744,6.35277777777776,0.113,7.432626446,132.8,-18.954143024418954,52.122,78.78545454545565
1990,96,72,6.061111111111018,0.242,10.87643469,127.0,-14.172278367866966,52.878,75.23272727272797
1991,91,72,5.769444444444389,0.354,8.053774915470825,121.5,0.034340307,53.633,71.6800000000012
1992,86,72,5.47777777777776,0.414,4.600891432,116.0,0.260303587,54.38399999999999,68.12727272727352
1993,79,74,5.186111111111018,0.344,1.98636659,110.8,1.1846891640000001,55.131,64.57454545454584
1994,86,75,4.894444444444389,0.40700000000000003,4.95150367,105.7,1.56777966,55.878,61.02181818181907
1995,87,77,4.60277777777776,0.486,7.074117277999999,100.7,6.682752609,56.636,57.46909090909139
1996,87,78,4.311111111111018,0.578,5.565172862000001,95.6,11.78690243,57.418,53.91636363636462
1997,87,80,4.019444444444389,0.738,5.3738385189999995,90.8,16.87752342,58.236000000000004,50.36363636363694
1998,86,81,3.72777777777776,0.701,5.914030835,86.1,21.95190811,59.089,46.81090909091017
1999,90,83,3.4361111111110176,0.682,7.983972022000001,81.5,27.00845528,59.974,43.25818181818249
2000,92,84,3.2,0.698,6.93302424,77.1,32.04995728,60.88399999999999,39.70545454545572
2001,88,85,3.2,0.645,8.203773861,72.8,37.08031845,61.808,36.15272727272804
2002,86,87,3.1,0.693,10.72784061,68.8,42.10343552,62.728,32.600000000000364
2003,95,88,0.8,0.61,7.664334042,64.8,41.1,63.623999999999995,35.2
2004,89,89,2.3,0.484,5.896408192000001,61.1,52.1435318,64.483,28.4
2005,95,90,1.7,0.609,7.12255965,57.4,59.80811164,65.289,21.6
2006,95,92,1.3,0.58,6.849365932,53.9,62.20143509,66.031,14.8
2007,95,93,1.2,0.568,17.92582494,50.7,71.8,66.709,8.0
2008,96,94,1.0,0.599,4.7683542260000005,47.6,72.30080414,67.325,6.84
2009,93,95,0.5194444444443889,0.546,6.657223796,44.8,77.36448669,67.882,5.68
2010,91,96,0.2277777777777601,0.6729999999999999,11.73085436,42.2,82.43516541,68.384,4.52
2011,95,97,-0.06388888888898236,0.986,7.890913893,39.9,87.51110077,68.84,3.36
