year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1991,69.0,58,0.159,0.35,1.56,4.2257994189999994,170.9,8.595435143,200.15004285714167,54.36600000000001,48.550549450549454
1992,73.0,59,0.16899999999999998,0.355,1.62,2.9577108260000005,166.7,9.962705612,191.766707142855,54.776,48.68406593406593
1993,75.0,60,0.205,0.36,1.68,5.836172088,162.7,11.32727051,183.383371428572,55.042,48.8175824175824
1994,81.0,61,0.221,0.365,1.74,2.020400448,158.9,12.686423300000001,175.00003571428533,55.174,48.951098901098874
1995,67.0,62,0.225,0.37,1.8,6.0451986479999995,155.4,14.03745937,166.61669999999867,55.203,49.08461538461535
1996,66.0,63,0.207,0.375,1.8619999999999999,4.324284031,152.0,14.5,158.233364285712,55.17,49.21813186813188
1997,66.0,63,0.19399999999999998,0.38,1.9240000000000002,5.734688377,148.8,16.70435524,149.850028571429,55.133,49.35164835164835
1998,70.0,64,0.187,0.385,1.986,3.961012138,145.4,18.01480484,141.46669285714233,55.138999999999996,49.485164835164824
1999,74.0,65,0.23399999999999999,0.39,2.048,5.341449372,142.2,19.3074131,133.08335714285568,55.218,49.6186813186813
2000,78.0,66,0.233,0.395,2.11,5.8599921010000005,138.8,20.58498192,124.70002142857265,55.391000000000005,49.75219780219777
2001,76.0,67,0.256,0.4009,2.158,5.3304108569999995,135.4,21.9,116.316685714286,55.668,49.8857142857143
2002,75.0,68,0.285,0.4068,2.206,4.6444700260000005,132.1,23.11058426,107.93334999999934,56.025,50.019230769230774
2003,73.0,69,0.312,0.4127,2.254,3.444044849,128.8,24.36641884,99.55001428571268,56.43600000000001,48.9
2004,72.0,69,0.324,0.4186,2.302,4.429629024,125.7,25.62280655,91.16667857142966,56.887,49.425
2005,70.0,70,0.299,0.4245,2.35,1.7115776280000001,122.8,26.883644099999998,82.783342857143,57.355,49.95
2006,74.0,71,0.47100000000000003,0.4304,2.416,3.9470137469999997,120.1,27.9,74.4,57.817,50.475
2007,82.0,72,0.531,0.4363,2.4819999999999998,5.986515522,117.6,29.43333054,66.0167,58.255,51.0
2008,75.0,73,0.507,0.4422,2.548,4.893393918,115.3,30.72432709,57.6333,58.653999999999996,51.525
2009,79.0,74,0.521,0.4481,2.614,2.319226924,113.0,32.02407455,49.25,59.00899999999999,52.05
2010,76.0,75,0.5529999999999999,0.45399999999999996,2.68,2.1168501269999997,110.8,34.2,40.8667,59.318000000000005,52.575
2011,75.0,75,0.5589999999999999,0.45799999999999996,2.533482352941178,2.9627503510000004,108.6,36.9,32.4833,59.59,53.1
2012,80.0,76,0.562,0.466,2.5785936651583654,4.8102834130000005,106.3,38.4,24.1,59.842,52.2
2013,77.0,77,0.581,0.475,2.623704977375567,7.193096519,104.0,37.27555466,15.716657142857002,60.092,51.3
2014,78.0,78,0.613,0.48100000000000004,2.6688162895927547,6.357520953,101.8,34.1,7.333321428570343,60.345,50.4
2015,82.0,78,0.6,0.485,2.7139276018099565,2.094457981,99.6,39.89450778253058,-1.0500142857163155,60.608000000000004,49.5
2016,82.0,79.58769230769212,0.602,0.4879353846153851,2.759038914027144,3.981287767,97.4,41.191656680469805,-9.433349999999336,60.885,51.88846153846151
2017,90.6068548387093,80.44034188034175,0.5005250626566422,0.4935673504273499,2.804150226244346,4.694888006841552,95.1,42.48880557840903,-17.816685714285995,61.174,52.021978021977986
2018,92.01484604105553,81.29299145299137,0.5101106213810382,0.49919931623931646,2.8492615384615334,4.732170496857918,92.8,43.78595447634825,-26.200021428572654,61.47,52.15549450549452
2019,93.42283724340177,82.145641025641,0.5196961801054378,0.5048312820512812,2.894372850678735,4.769452986874299,90.3,45.083103374287475,-34.58335714285931,63.68824547048507,52.28901098901099
2020,94.83082844574756,82.9982905982904,0.5292817388298339,0.5104632478632478,2.9394841628959227,4.806735476890665,69.46881355932146,46.3802522722267,-42.966692857142334,64.11497907656337,52.42252747252746
