year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,10.351356304985075,31.839316239316076,0.066,0.17254529914529826,0.55,2.569786075908439,310.9,-31.44868160412716,460.033449999999,37.271,44.41153846153844
1961,11.759347507331313,32.6919658119657,0.053,0.17817726495726482,0.564,3.141280459,306.0,-30.151532706187936,451.65011428571233,37.727,44.545054945054915
1962,13.167338709677097,33.54461538461533,0.055999999999999994,0.1838092307692314,0.578,2.644351055941172,301.0,-28.854383808248713,443.2667785714293,38.188,44.678571428571445
1963,14.575329912023335,34.39726495726495,0.047,0.18944119658119618,0.5920000000000001,4.730027975,295.9,-27.55723491030949,434.88344285714265,38.655,44.81208791208792
1964,15.983321114369119,35.24991452991435,0.054000000000000006,0.19507316239316275,0.606,6.650759119,290.7,-26.260086012370266,426.500107142856,39.13,44.94560439560439
1965,17.391312316715357,36.102564102563974,0.057,0.20070512820512754,0.62,5.293862834,285.5,-24.962937114431043,418.11677142856934,39.615,45.079120879120865
1966,18.79930351906114,36.9552136752136,0.040999999999999995,0.2063370940170941,0.632,3.575862733,280.4,-23.66578821649182,409.7334357142863,40.109,45.21263736263734
1967,20.20729472140738,37.807863247863224,0.051,0.2119690598290589,0.644,1.078398666,275.6,-22.368639318552596,401.35009999999966,40.61,45.34615384615381
1968,21.615285923753618,38.66051282051285,0.054000000000000006,0.21760102564102546,0.6559999999999999,3.842335636,271.0,-21.071490420613372,392.966764285713,41.117,45.47967032967034
1969,23.0232771260994,39.51316239316225,0.07,0.22323299145299202,0.6679999999999999,2.8774979760000003,266.5,-19.77434152267415,384.58342857142634,41.63,45.613186813186815
1970,24.43126832844564,40.36581196581187,0.096,0.22886495726495681,0.68,2.097757578,262.2,-18.477192624734926,376.2000928571433,42.152,45.74670329670329
1971,25.839259530791423,41.2184615384615,0.09699999999999999,0.23449692307692338,0.6940000000000001,2.9798934660885124,257.9,-17.180043726795702,367.81675714285666,42.684,45.88021978021976
1972,27.247250733137662,42.07111111111112,0.128,0.24012888888888817,0.708,6.426367544,253.5,-15.882894828856479,359.43342142857,43.229,46.013736263736234
1973,28.655241935483446,42.92376068376052,0.122,0.24576085470085474,0.722,3.7061653189999997,248.8,-14.585745930917255,351.050085714287,43.781000000000006,46.14725274725271
1974,30.063233137829684,43.776410256410145,0.129,0.2513928205128213,0.736,3.339312161,243.8,-13.288597032978032,342.6667500000003,44.336999999999996,46.28076923076924
1975,31.471224340175922,44.62905982905977,0.135,0.2570247863247861,0.75,3.129023426153992,238.7,-11.991448135038809,334.28341428571366,44.882,46.41428571428571
1976,32.879215542521706,45.481709401709395,0.078,0.26265675213675266,0.784,0.8843563329999999,233.4,-10.694299237099585,325.900078571427,45.398999999999994,46.547802197802184
1977,34.287206744867945,46.33435897435879,0.087,0.26828871794871745,0.818,4.983663725,228.3,-9.397150339160362,317.516742857144,45.883,46.68131868131866
1978,35.69519794721373,47.18700854700842,0.102,0.273920683760684,0.852,1.2550780320000001,223.4,-8.100001441221139,309.1334071428573,46.335,46.81483516483513
1979,37.10318914955997,48.03965811965804,0.102,0.2795526495726488,0.8859999999999999,6.535747409,218.8,-6.802852543281915,300.75007142857066,46.763999999999996,46.94835164835166
1980,38.51118035190575,48.89230769230767,0.14,0.28518461538461537,0.92,6.781763872000001,214.4,-5.505703645342692,292.366735714284,47.19,47.081868131868134
1981,39.91917155425199,49.74495726495729,0.113,0.29081658119658194,0.978,9.954231167,210.4,-4.208554747403468,283.983400000001,47.643,47.21538461538461
1982,41.32716275659823,50.59760683760669,0.125,0.2964485470085467,1.036,2.235066345,206.4,-2.911405849464245,275.6000642857143,48.145,47.34890109890108
1983,42.73515395894401,51.450256410256316,0.111,0.3020805128205133,1.094,3.427283346284952,202.6,-1.6142569515250216,267.21672857142767,48.71,47.482417582417554
1984,44.14314516129025,52.30290598290594,0.12,0.3077124786324781,1.1520000000000001,7.929839564,198.9,-0.3171080535857982,258.833392857141,49.339,47.61593406593403
1985,17.0,53.155555555555566,0.17300000000000001,0.31334444444444465,1.21,7.530324837,195.1,0.9800408443534252,250.450057142858,50.034,47.74945054945056
1986,17.0,54.00820512820496,0.157,0.31897641025640944,1.268,2.171141598,191.3,2.2771897422926486,242.06672142857133,50.79,47.88296703296703
1987,25.0,54.86085470085459,0.11900000000000001,0.324608376068376,1.3259999999999998,3.576413306350446,187.4,3.574338640231872,233.68338571428467,51.581,48.016483516483504
1988,30.0,55.71350427350421,0.11800000000000001,0.33024034188034257,1.3840000000000001,3.405245295,183.3,4.871487538171095,225.300049999998,52.372,48.14999999999998
1989,48.0,56.56615384615384,0.131,0.33587230769230736,1.442,3.650978286383179,179.3,6.168636436110319,216.916714285715,53.132,48.28351648351645
1990,74.0,57,0.14300000000000002,0.345,1.5,8.976134361,175.1,7.227713108,208.53337857142833,53.812,48.41703296703298
